,q1_freq,q2_freq,q1_hash,q2_hash
180,1,7,180,1929
181,2,4,181,24253
182,2,5,182,34255
183,3,6,183,30611
184,9,1,184,34256
185,26,37,185,1319
186,44,1,186,34257
187,10,7,187,34258
188,4,11,188,34259
189,6,7,189,12209
190,7,22,190,10650
191,29,41,191,2978
192,4,1,192,34260
193,7,8,193,15703
194,1,4,194,32359
195,6,5,195,32406
196,19,12,196,27938
197,5,5,197,1902
198,1,10,198,1001
199,18,16,199,5483
200,9,11,200,14386
201,19,1,201,34261
202,10,10,202,34262
203,8,1,203,34263
204,5,7,204,16664
205,4,5,205,9456
206,6,1,206,34264
207,4,4,207,15795
208,10,10,208,34265
209,1,8,209,6899
210,3,16,210,7848
211,2,28,211,1273
212,7,7,212,25985
213,10,10,213,28329
214,4,6,214,25824
215,1,6,215,31819
216,24,11,216,34266
217,5,4,217,8972
218,4,1,218,34267
219,9,6,219,10809
220,17,17,220,15821
221,14,15,221,457
222,2,5,222,30146
223,9,1,223,34268
224,17,22,224,15388
225,33,33,225,33042
226,1,7,226,15277
227,5,6,227,20485
228,5,4,228,34269
229,4,4,229,33946
230,5,1,230,34270
231,4,1,231,34271
232,4,11,232,34272
233,7,10,233,33916
234,19,15,234,34273
235,4,5,235,34274
236,146,34,236,1669
237,1,4,237,21034
238,7,9,238,20968
239,6,7,239,5653
240,5,1,240,34275
241,6,6,241,15935
242,5,6,242,34276
243,6,4,243,34277
244,12,13,244,28970
245,6,7,245,20163
246,40,47,246,1219
247,1,6,247,9009
248,1,4,248,34278
249,5,1,249,34279
250,12,18,250,15269
251,4,7,251,7972
252,4,4,252,34280
253,2,6,253,14567
254,19,18,254,1574
255,5,20,255,2409
256,8,8,256,34281
257,7,1,257,34282
258,10,13,258,19879
259,6,9,259,34283
260,24,27,260,7314
261,30,23,261,5372
262,1,19,262,802
263,5,7,263,27173
264,4,1,264,34284
265,19,1,265,34285
266,1,38,266,491
267,14,2,267,21181
268,24,21,268,6384
269,7,1,269,34286
270,52,22,270,23901
271,4,4,271,9876
272,4,2,272,34287
273,25,19,273,8248
274,7,1,274,34288
275,36,20,275,15685
276,8,12,276,21624
277,19,15,277,9158
278,5,6,278,11892
279,1,4,279,9653
280,7,5,280,13048
281,1,7,281,28852
282,1,4,282,34289
283,12,24,283,6928
284,16,12,284,2571
285,8,19,285,4561
286,29,32,286,3675
287,8,1,287,34290
288,12,13,288,15358
289,8,1,289,34291
290,1,5,290,12403
291,13,19,291,34292
292,22,5,292,34293
293,2,6,293,12136
294,4,3,294,34294
295,4,2,295,31417
296,1,16,296,16719
297,1,6,297,20188
298,4,4,298,34295
299,2,7,299,24521
300,5,4,300,18949
301,6,1,301,34296
302,4,7,302,17341
303,1,6,303,5531
304,34,25,304,20449
305,49,17,305,4071
306,10,11,306,5636
307,1,18,307,88
308,4,9,308,18241
309,1,5,309,34297
310,25,20,310,11818
311,14,24,311,34298
312,12,9,312,5679
313,6,7,313,13467
314,7,8,314,27137
315,32,41,315,10329
316,5,4,316,34295
317,1,18,317,17214
318,24,21,268,10094
319,21,12,318,3780
320,7,1,319,34299
321,24,14,320,20604
322,6,1,321,34300
323,16,2,322,34301
324,15,17,323,23189
325,4,4,324,22609
326,6,7,325,34302
327,9,9,326,29897
328,7,6,327,8132
329,16,8,328,17328
330,2,9,329,1639
331,13,13,330,5048
332,5,3,331,8332
333,7,5,332,34303
334,51,41,333,26574
335,5,5,334,34304
336,17,17,335,18873
337,1,40,336,33038
338,20,22,337,9208
339,9,13,338,18418
340,10,8,339,10243
341,4,4,340,34305
342,14,13,341,22035
343,26,20,342,15965
344,19,21,343,20562
345,7,9,344,11994
346,23,23,345,8967
347,9,10,346,16751
348,7,2,347,34306
349,20,25,348,514
350,4,4,349,34307
351,1,26,350,3846
352,12,3,351,34308
353,5,1,352,34309
354,12,20,353,14989
355,4,4,354,340
356,11,11,355,16983
357,15,8,356,14711
358,6,8,357,30699
359,9,4,358,34310
360,1,7,359,12681
361,15,12,360,19788
362,4,4,361,18007
363,4,1,362,34311
364,18,18,363,6144
365,7,5,364,31062
366,1,7,365,25435
367,10,12,366,5562
368,11,1,367,34312
369,1,77,368,18889
370,14,14,369,28399
371,7,7,370,17900
372,8,7,371,1586
373,1,5,372,474
374,20,16,373,17142
375,25,16,374,9482
376,12,10,375,21962
377,1,49,376,124
378,1,4,377,34313
379,5,9,378,11025
380,44,47,379,7361
381,1,4,380,12323
382,4,1,381,34314
383,2,5,382,13296
384,9,14,383,32640
385,6,1,384,34315
386,15,11,385,32336
387,1,27,386,16266
388,1,4,387,22587
389,1,5,388,34316
390,31,29,389,21795
391,5,5,390,34317
392,15,7,391,400
393,14,17,392,4538
394,1,10,393,3195
395,5,1,394,34318
396,7,5,395,34319
397,5,4,396,28973
398,7,8,397,16270
399,4,1,398,34320
400,8,7,399,34321
401,7,10,400,34322
402,6,1,401,34323
403,1,4,402,34324
404,5,1,403,34325
405,20,5,404,30674
406,29,31,405,3909
407,4,1,406,34326
408,7,4,407,19301
409,11,7,408,22296
410,1,19,409,34327
411,6,18,410,14647
412,5,1,411,34328
413,4,1,412,34329
414,5,4,413,20082
415,6,11,414,21006
416,8,8,415,34330
417,6,1,416,34331
418,5,5,417,32986
419,27,34,418,9787
420,7,4,419,31665
421,1,5,420,27467
422,33,23,421,4750
423,1,13,422,14322
424,1,6,423,34332
425,6,1,424,34333
426,4,1,425,34334
427,6,1,426,34335
428,4,2,427,34336
429,1,4,428,24917
430,32,31,429,20541
431,4,1,430,34337
432,7,7,431,5119
433,21,24,432,6044
434,9,9,433,11259
435,16,8,434,34338
436,4,1,435,34339
437,30,10,436,5840
438,5,1,437,34340
439,6,16,206,10552
440,4,5,438,34341
441,1,4,439,20329
442,1,4,440,30073
443,6,6,441,34342
444,16,12,442,24158
445,5,4,443,34343
446,1,5,444,34344
447,23,33,445,16392
448,1,5,446,20085
449,11,11,447,12340
450,1,19,448,3168
451,1,18,449,88
452,5,1,450,34345
453,12,15,451,11584
454,5,7,452,13984
455,5,9,453,3870
456,10,13,454,15022
457,1,6,455,21957
458,8,9,456,34346
459,15,13,457,34347
460,7,1,458,34348
461,12,10,459,9850
462,13,33,460,2490
463,12,3,461,34349
464,15,14,462,11427
465,36,27,463,3694
466,14,20,464,5316
467,4,4,465,34350
468,1,6,466,5332
469,2,7,467,6184
470,2,8,468,33653
471,30,31,469,1753
472,5,3,470,34351
473,7,5,471,17953
474,4,5,472,26931
475,4,3,473,1280
476,5,1,474,34352
477,1,5,475,9821
478,2,4,476,34353
479,1,4,477,10079
480,5,5,478,34354
481,4,2,479,34355
482,8,1,480,34356
483,4,1,481,34357
484,5,11,482,8536
485,25,26,483,8934
486,14,4,484,34358
487,15,12,485,24161
488,12,19,486,34359
489,1,4,487,22545
490,9,3,488,29727
491,23,28,489,5830
492,1,4,490,34360
493,38,28,491,11317
494,1,4,492,34361
495,1,13,493,7245
496,6,1,494,34362
497,12,13,495,11419
498,36,1,496,34363
499,8,9,497,15926
500,15,1,498,34364
501,12,10,499,3755
502,11,7,500,27831
503,8,5,501,20041
504,2,5,502,34365
505,4,1,503,34366
506,36,22,504,9629
507,4,2,505,34367
508,1,4,506,32944
509,11,11,507,5253
510,6,2,508,26243
511,3,4,509,12446
512,2,19,510,4530
513,7,11,511,19240
514,41,34,148,3309
515,4,6,512,22671
516,6,7,513,9707
517,25,17,514,6288
518,9,8,515,34368
519,5,5,516,14617
520,12,1,517,34369
521,8,20,518,348
522,6,1,519,34370
523,1,5,520,34371
524,1,6,521,6161
525,5,2,522,34372
526,12,2,523,34373
527,12,22,524,13049
528,26,27,525,7599
529,6,23,526,5697
530,22,32,527,13559
531,20,20,528,34374
532,25,27,529,10416
533,6,2,530,14654
534,3,5,531,26765
535,4,4,532,34375
536,7,5,533,34376
537,4,7,534,11751
538,13,12,535,15961
539,15,19,536,5314
540,9,32,537,11845
541,6,5,538,7367
542,7,1,539,34377
543,11,10,540,1573
544,15,15,541,20206
545,6,1,542,34378
546,6,7,543,34379
547,4,1,544,34380
548,9,8,545,34381
549,6,3,546,4589
550,11,4,547,34382
551,2,4,548,34383
552,15,3,549,16283
553,8,32,550,11845
554,19,14,551,34161
555,10,1,552,34384
556,10,5,553,34385
557,1,4,554,31319
558,2,6,555,34386
559,27,51,556,3945
560,5,2,557,34387
561,6,11,558,23585
562,4,1,559,34388
563,6,1,560,34389
564,5,1,561,34390
565,4,6,562,30269
566,38,31,563,34391
567,1,5,564,34392
568,19,19,565,24460
569,4,1,566,34393
570,4,1,567,34394
571,10,15,568,8603
572,1,6,569,13612
573,4,2,570,34395
574,1,5,571,27942
575,9,1,572,34396
576,13,15,573,6136
577,5,5,574,22294
578,9,8,575,32817
579,19,22,576,8961
580,6,7,577,4730
581,5,2,578,27930
582,1,4,579,24050
583,5,1,580,34397
584,11,11,581,5497
585,3,15,582,34398
586,11,6,408,6732
587,12,1,583,34399
588,88,42,584,7203
589,1,10,585,9115
590,13,13,586,22826
591,40,49,587,15325
592,9,15,588,5271
593,7,4,589,14894
594,7,1,590,34400
595,4,1,591,34401
596,5,4,592,34402
597,22,22,593,34403
598,9,2,594,34404
599,6,1,595,34405
600,8,1,596,34406
601,13,17,597,4942
602,44,43,598,7470
603,1,6,599,10828
604,4,4,600,25588
605,4,1,601,34407
606,7,1,602,34408
607,22,18,603,9598
608,16,12,284,28691
609,3,14,604,22495
610,11,11,605,9180
611,2,4,606,9288
612,11,11,607,15985
613,2,18,608,34409
614,8,1,609,34410
615,4,4,610,12318
616,9,1,611,34411
617,4,1,612,34412
618,19,15,551,17746
619,9,2,613,34413
620,5,2,614,15371
621,19,10,615,34414
622,10,11,616,7562
623,7,23,617,12333
624,6,5,618,23183
625,14,10,619,4661
626,4,1,620,34415
627,45,14,621,1157
628,22,20,622,11571
629,18,18,623,15261
630,4,4,624,8683
631,1,5,625,13939
632,4,1,626,34416
633,6,1,627,34417
634,1,52,628,270
635,1,5,629,33863
636,3,5,630,15204
637,13,13,631,19521
638,9,9,632,3965
639,1,11,633,6747
640,29,15,634,8051
641,2,7,635,25602
642,20,1,636,34418
643,14,18,637,26811
644,1,8,638,16426
645,13,9,639,11281
646,7,17,640,32948
647,6,6,641,34419
648,8,1,642,34420
649,6,2,643,34421
650,1,13,644,14322
651,2,24,645,7889
652,1,33,646,9803
653,4,1,647,34422
654,32,25,648,2183
655,1,4,649,23552
656,5,2,650,34423
657,22,6,603,33980
658,28,8,651,8157
659,5,1,652,34424
660,13,25,653,8577
661,15,22,654,21131
662,50,49,655,1083
663,1,4,656,19121
664,11,1,657,34425
665,6,2,658,34426
666,3,4,659,14604
667,4,1,660,34427
668,2,7,661,34428
669,4,4,662,34429
670,7,13,663,12743
671,49,41,664,16328
672,5,6,665,26998
673,8,1,666,34430
674,4,6,667,10548
675,6,2,668,34431
676,6,8,669,14142
677,2,13,670,1420
678,29,1,671,34432
679,4,2,672,34433
680,1,5,673,14360
681,8,4,674,34434
682,6,6,675,34435
683,9,5,676,34436
684,2,5,677,30221
685,4,1,678,34437
686,7,2,679,30712
687,16,26,680,1204
688,11,8,681,13634
689,38,31,682,6636
690,1,7,683,23570
691,21,11,684,9075
692,8,2,685,34438
693,1,5,686,974
694,4,1,687,34439
695,30,31,688,20541
696,12,9,689,8004
697,5,21,690,7082
698,1,12,691,7065
699,1,7,692,34428
700,2,5,693,34440
701,2,22,694,2540
702,5,8,695,2165
703,7,8,696,7764
704,15,13,697,10698
705,1,19,698,8479
706,9,4,699,34441
707,1,11,700,22323
708,11,15,701,18960
709,6,5,702,34442
710,22,22,703,5258
711,13,12,704,34443
712,8,9,705,11119
713,8,13,706,11216
714,18,11,707,149
715,31,17,708,7093
716,1,5,709,21893
717,5,2,710,34444
718,5,5,711,34445
719,4,1,712,34446
720,23,13,713,12737
721,6,8,714,34447
722,34,28,715,136
723,4,2,716,34448
724,1,5,717,32888
725,12,13,718,34449
726,4,13,719,34157
727,6,5,720,33617
728,12,19,721,4062
729,1,5,722,34450
730,4,1,723,34451
731,6,6,724,34452
732,1,6,725,34453
733,1,5,726,17980
734,15,15,727,10335
735,16,16,728,13617
736,12,7,375,3819
737,5,1,729,34454
738,1,14,730,34455
739,16,20,731,3684
740,30,2,732,34456
741,1,4,733,34457
742,7,8,734,31047
743,8,3,735,23030
744,1,7,736,34458
745,45,15,172,9496
746,2,4,737,34459
747,7,6,738,34460
748,22,13,739,5870
749,3,7,740,34461
750,1,4,741,9028
751,4,8,742,34462
752,4,1,743,34463
753,1,16,744,14587
754,1,6,745,21957
755,1,12,746,25670
756,4,4,747,34464
757,4,1,748,34465
758,27,24,749,2355
759,21,25,750,1376
760,8,8,751,34466
761,6,1,752,34467
762,5,1,753,34468
763,24,49,754,17724
764,7,1,755,34469
765,11,8,756,4393
766,6,3,757,19833
767,5,5,758,27658
768,8,7,759,30916
769,30,17,760,12602
770,18,22,761,15388
771,6,8,762,30513
772,20,22,763,4301
773,11,6,764,34470
774,1,6,765,34471
775,1,4,766,34472
776,20,20,767,8264
777,27,27,768,11039
778,1,4,769,34473
779,1,18,770,8493
780,32,32,771,5724
781,19,15,772,110
782,7,5,773,34474
783,1,4,774,22621
784,5,12,775,18940
785,5,5,776,4971
786,13,22,777,3208
787,7,5,778,30060
788,1,4,779,8461
789,6,5,780,20930
790,2,5,781,9499
791,1,8,782,7410
792,1,4,783,34475
793,4,1,784,34476
794,12,3,785,34477
795,1,5,786,23291
796,2,4,787,34478
797,1,6,788,321
798,1,5,789,11373
799,6,6,790,25395
800,4,1,791,34479
801,5,1,792,34480
802,9,11,200,34481
803,15,12,793,34482
804,7,6,212,12946
805,1,6,794,25290
806,1,10,795,19944
807,16,11,796,34483
808,27,7,797,5533
809,31,16,708,5864
810,11,31,798,10267
811,49,31,305,34391
812,5,5,799,22501
813,21,6,800,34484
814,8,4,801,25463
815,19,10,802,34485
816,4,8,803,10612
817,26,27,804,4165
818,1,5,805,5510
819,2,15,806,11223
820,23,50,807,13350
821,6,7,808,27789
822,7,7,809,34486
823,4,1,810,34487
824,7,11,811,20013
825,27,66,812,3576
826,4,4,813,15432
827,4,8,814,27792
828,1,6,815,12795
829,12,19,816,18152
830,4,2,817,20093
831,6,1,818,34488
832,4,5,819,22733
833,7,10,820,6388
834,17,16,821,11699
835,13,14,822,2286
836,15,15,823,7033
837,11,11,824,27155
838,2,5,825,18027
839,4,14,826,2674
840,2,4,827,27381
841,6,5,828,8737
842,1,5,829,34489
843,1,5,830,34490
844,1,17,831,16162
845,5,61,832,15215
846,16,15,833,21460
847,6,1,834,34491
848,6,3,835,34492
849,2,146,836,236
850,6,6,837,22657
851,5,11,838,34493
852,38,53,839,6037
853,2,7,840,7820
854,14,1,841,34494
855,5,1,842,34495
856,4,5,843,34496
857,11,11,844,29124
858,13,13,845,24495
859,11,12,846,34497
860,1,4,847,34498
861,4,1,848,34499
862,2,5,849,34500
863,20,15,850,26167
864,12,11,851,31388
865,4,26,852,9993
866,1,5,853,34501
867,4,6,854,32182
868,4,4,855,34502
869,16,12,856,21735
870,5,1,857,34503
871,2,4,858,26236
872,1,4,859,34504
873,25,24,860,24268
874,5,8,861,2239
875,4,5,862,34505
876,6,1,863,34506
877,1,20,864,11423
878,1,6,865,863
879,4,1,866,34507
880,5,6,867,10714
881,26,27,868,7599
882,56,2,869,34508
883,1,5,870,7796
884,4,4,871,34509
885,7,6,872,25293
886,8,5,873,21703
887,13,17,874,6288
888,3,7,875,34510
889,13,5,876,34511
890,5,2,877,34512
891,8,7,878,19334
892,9,4,879,23415
893,4,1,880,34513
894,1,6,881,28633
895,12,11,882,33519
896,7,7,883,34514
897,13,4,884,23743
898,1,5,885,1585
899,11,11,886,7368
900,4,14,887,619
901,1,4,888,34515
902,5,5,889,17847
903,27,37,797,5406
904,23,39,890,2617
905,1,6,891,13744
906,7,1,892,34516
907,6,6,893,19027
908,12,14,894,12649
909,10,7,895,19413
910,31,32,896,16944
911,22,23,897,3003
912,42,35,898,3452
913,4,6,899,34517
914,6,7,900,8549
915,13,12,901,22249
916,5,5,902,34518
917,17,13,903,11957
918,2,4,904,31490
919,8,13,905,20270
920,4,1,906,34519
921,20,20,528,1335
922,16,13,907,11569
923,2,4,908,34520
924,40,34,909,9787
925,1,29,910,671
926,8,1,911,34521
927,7,15,912,12967
928,1,5,913,29256
929,1,6,914,20936
930,1,4,915,34522
931,6,9,916,19238
932,43,5,917,5597
933,6,1,918,34523
934,18,17,919,3586
935,41,40,148,246
936,10,9,920,33343
937,6,13,921,8464
938,1,5,922,2497
939,1,5,923,29922
940,1,8,924,17691
941,17,11,925,24069
942,1,4,926,11199
943,4,18,927,13052
944,3,4,928,34402
945,1,7,929,34524
946,17,14,930,2286
947,4,2,931,34525
948,16,3,932,21901
949,6,8,933,9131
950,15,46,934,3368
951,7,4,935,26408
952,11,1,936,34526
953,22,23,937,15084
954,2,25,938,20259
955,8,5,203,34527
956,1,5,939,34528
957,4,6,940,34529
958,2,4,941,34530
959,1,4,942,34531
960,6,1,943,34532
961,1,4,944,34533
962,8,2,945,34534
963,11,13,946,24495
964,25,16,947,16267
965,8,8,948,27580
966,8,5,949,34535
967,4,5,950,34536
968,6,5,951,34537
969,10,1,952,34538
970,16,19,77,19082
971,36,36,953,1426
972,4,1,954,34539
973,6,9,955,12390
974,7,4,956,34540
975,16,16,957,14001
976,4,1,958,34541
977,29,20,959,850
978,7,7,960,34542
979,6,9,961,21160
980,4,26,962,34543
981,21,21,963,9980
982,3,4,964,28643
983,8,1,965,34544
984,6,9,966,34545
985,2,7,967,34546
986,4,1,968,34547
987,6,7,969,8823
988,4,1,970,34548
989,6,8,971,27062
990,1,7,972,7032
991,13,11,76,20052
992,34,15,973,7321
993,5,2,974,34549
994,7,1,975,34550
995,1,4,976,34551
996,7,2,977,17311
997,4,1,978,34552
998,4,6,979,32802
999,14,10,980,16124
1000,1,4,981,16109
1001,7,8,982,31968
1002,9,1,983,34553
1003,3,4,984,34554
1004,47,25,985,13000
1005,6,2,986,11889
1006,6,10,245,14667
1007,33,40,987,1358
1008,26,27,988,6670
1009,6,1,426,34555
1010,3,7,989,20861
1011,6,5,990,34556
1012,5,9,991,1411
1013,8,8,992,16985
1014,6,5,993,889
1015,17,9,994,25116
1016,1,5,995,34557
1017,7,4,996,21145
1018,14,12,997,34482
1019,7,7,998,34558
1020,5,5,999,5491
1021,4,4,1000,26287
1022,6,1,494,34559
1023,10,1,1001,34560
1024,7,9,1002,14663
1025,6,29,1003,11530
1026,15,9,1004,11259
1027,11,4,1005,25204
1028,18,16,919,5661
1029,1,4,1006,34561
1030,1,5,1007,20930
1031,35,32,1008,5122
1032,4,4,1009,34562
1033,7,4,1010,34563
1034,4,2,1011,2354
1035,7,8,1012,31047
1036,9,4,1013,25198
1037,25,20,1014,20790
1038,5,5,1015,34564
1039,2,4,1016,34565
1040,7,7,1017,30019
1041,1,4,1018,23988
1042,34,29,1019,3220
1043,2,4,1020,34566
1044,15,14,541,3816
1045,1,4,1021,19286
1046,9,9,1022,16222
1047,17,24,1023,7191
1048,4,1,1024,34567
1049,5,1,1025,34568
1050,4,1,1026,34569
1051,11,19,1027,7793
1052,1,4,1028,29018
1053,49,28,1029,5229
1054,1,22,1030,13049
1055,9,14,1031,34570
1056,3,4,1032,34571
1057,21,15,1033,34572
1058,4,1,1034,34573
1059,8,22,1035,2650
1060,6,6,1036,2793
1061,15,17,1037,5201
1062,4,2,1038,19283
1063,24,39,1039,3700
1064,7,5,1040,26339
1065,13,12,1041,34574
1066,5,1,1042,34575
1067,4,23,1043,489
1068,34,38,1044,4947
1069,4,2,1045,34576
1070,1,7,1046,9744
1071,13,11,1047,14780
1072,15,1,1048,34577
1073,1,4,1049,34578
1074,13,13,1050,34579
1075,38,20,1051,3591
1076,14,24,1052,7325
1077,5,5,1053,21354
1078,5,1,1054,34580
1079,9,1,1055,34581
1080,12,47,1056,7361
1081,1,4,1057,13039
1082,1,6,1058,20138
1083,5,1,1059,34582
1084,10,18,1060,12775
1085,15,12,1061,34583
1086,4,4,1062,21437
1087,1,9,1063,22115
1088,5,1,1064,34584
1089,18,28,1065,9155
1090,5,1,1066,34585
1091,4,1,1067,34586
1092,10,17,1068,34587
1093,10,1,1069,34588
1094,4,1,1070,34589
1095,1,4,1071,32573
1096,4,1,848,34590
1097,4,4,1072,34591
1098,9,11,1073,12969
1099,8,8,1074,11771
1100,31,38,1075,1494
1101,2,6,1076,31210
1102,10,13,1077,22349
1103,29,21,1078,7242
1104,4,2,1038,34592
1105,31,35,1079,6639
1106,10,2,1080,34593
1107,11,9,1081,18297
1108,5,1,1082,34594
1109,49,30,1083,3089
1110,18,12,1084,12357
1111,4,4,1085,34595
1112,2,9,1086,20944
1113,5,5,1087,34596
1114,1,5,1088,34597
1115,1,4,1089,6754
1116,11,10,701,34598
1117,4,1,1090,34599
1118,7,9,1091,13409
1119,7,5,778,1874
1120,4,5,1092,34600
1121,9,1,1093,34601
1122,6,7,1094,24817
1123,4,2,1095,32008
1124,7,9,1096,19697
1125,1,5,1097,22815
1126,1,6,1098,34602
1127,5,25,1099,9274
1128,5,5,1100,34603
1129,20,25,1101,374
1130,18,19,1102,21163
1131,6,5,1103,34604
1132,11,6,1104,34605
1133,10,11,1105,34606
1134,38,40,563,8786
1135,6,9,1106,32436
1136,6,1,1107,34607
1137,27,1,1108,34608
1138,26,26,1109,1806
1139,16,21,1110,34609
1140,10,1,1111,34610
1141,4,1,1112,34611
1142,4,1,1113,34612
1143,17,10,1114,10326
1144,11,1,1115,34613
1145,1,9,1116,29700
1146,6,8,1117,34614
1147,11,10,1118,34615
1148,8,5,1119,6807
1149,8,11,1120,7790
1150,22,20,1121,2175
1151,40,53,1122,6037
1152,1,18,1123,13664
1153,14,20,1124,11818
1154,10,49,1125,17724
1155,13,12,1126,7540
1156,4,1,1127,34616
1157,9,14,1128,12134
1158,5,1,1129,34617
1159,18,17,1130,17182
1160,1,4,1131,11782
1161,4,1,1132,34618
1162,1,5,1133,7760
1163,6,4,1134,34619
1164,4,5,1135,21796
1165,4,1,1136,34620
1166,19,27,1137,5622
1167,1,6,1138,33041
1168,10,11,1139,16417
1169,20,18,1140,15433
1170,2,4,1141,28352
1171,20,18,1142,10946
1172,5,5,1143,34621
1173,39,48,1144,26
1174,11,1,1145,34622
1175,5,8,1146,28229
1176,28,38,1147,1494
1177,1,12,1148,3108
1178,1,6,1149,34623
1179,16,20,1110,1140
1180,5,6,1150,34624
1181,4,5,1151,34625
1182,1,11,1152,19853
1183,11,9,1153,34164
1184,4,9,1154,20403
1185,4,1,1155,34626
1186,14,10,392,19577
1187,12,1,1156,34627
1188,14,20,1157,19512
1189,5,4,1158,34628
1190,13,7,1159,4744
1191,5,5,204,8744
1192,1,4,1160,22262
1193,9,5,1161,34629
1194,1,4,1162,34630
1195,8,17,1163,18873
1196,4,1,1164,34631
1197,5,3,1165,19978
1198,1,16,1166,16719
1199,7,11,1002,5760
1200,1,5,1167,21020
1201,146,27,236,10362
1202,3,8,1168,22551
1203,11,10,936,34632
1204,1,14,1169,27276
1205,7,3,1170,34633
1206,11,3,1171,5448
1207,1,4,1172,26447
1208,36,33,1173,11852
1209,18,11,1174,22742
1210,34,29,1175,8872
1211,1,4,1176,34634
1212,11,1,1177,34635
1213,14,6,1178,28031
1214,4,2,1179,34636
1215,1,6,1180,34637
1216,9,13,1128,34638
1217,8,4,1181,24441
1218,5,6,1182,4178
1219,1,21,1183,7914
1220,9,8,1184,12525
1221,4,7,1185,30200
1222,1,5,1186,5038
1223,23,13,162,11957
1224,4,4,1187,34639
1225,26,26,1188,4876
1226,6,1,1189,34640
1227,10,7,1190,19602
1228,4,7,1191,34641
1229,4,1,1192,34642
1230,3,5,1193,34643
1231,1,5,1194,34644
