,2gram_nostpwrd_cooccurence,2gram_nostpwrd_distinct,2gram_cooccurence,2gram_distinct
113,2.0,14.0,4.0,55.0
114,2.0,2.0,2.0,19.0
115,0.0,7.0,0.0,33.0
116,1.0,15.0,3.0,56.0
117,1.0,4.0,5.0,36.0
118,3.0,6.0,6.0,30.0
119,0.0,16.0,0.0,28.0
120,0.0,11.0,5.0,106.0
121,0.0,10.0,1.0,35.0
122,1.0,6.0,1.0,32.0
123,1.0,11.0,2.0,70.0
124,4.0,129.0,8.0,469.0
125,0.0,12.0,0.0,28.0
126,1.0,10.0,3.0,32.0
127,0.0,16.0,0.0,59.0
128,0.0,4.0,1.0,17.0
129,1.0,21.0,1.0,31.0
130,0.0,2.0,1.0,13.0
131,0.0,9.0,0.0,49.0
132,1.0,59.0,4.0,146.0
133,0.0,8.0,1.0,20.0
134,2.0,12.0,5.0,66.0
135,1.0,8.0,4.0,32.0
136,2.0,70.0,4.0,232.0
137,1.0,10.0,1.0,27.0
138,2.0,32.0,2.0,95.0
139,0.0,38.0,0.0,102.0
140,1.0,8.0,1.0,18.0
141,8.0,74.0,11.0,134.0
142,4.0,49.0,6.0,100.0
143,5.0,26.0,11.0,179.0
144,1.0,67.0,1.0,211.0
145,1.0,7.0,3.0,26.0
146,1.0,29.0,1.0,81.0
147,3.0,20.0,6.0,67.0
148,1.0,26.0,1.0,58.0
149,2.0,23.0,2.0,81.0
150,1.0,9.0,5.0,78.0
151,3.0,53.0,3.0,179.0
152,3.0,41.0,3.0,80.0
153,2.0,67.0,4.0,197.0
154,4.0,59.0,9.0,159.0
155,2.0,14.0,0.0,43.0
156,2.0,8.0,6.0,44.0
157,1.0,12.0,2.0,39.0
158,4.0,22.0,6.0,82.0
159,1.0,25.0,5.0,113.0
160,1.0,32.0,0.0,80.0
161,0.0,20.0,3.0,77.0
162,3.0,55.0,3.0,131.0
163,2.0,33.0,2.0,54.0
164,1.0,8.0,3.0,28.0
165,0.0,16.0,3.0,46.0
166,1.0,13.0,2.0,90.0
167,1.0,4.0,2.0,25.0
168,1.0,6.0,1.0,46.0
169,9.0,92.0,21.0,448.0
170,2.0,8.0,6.0,44.0
171,1.0,67.0,1.0,193.0
172,1.0,67.0,2.0,148.0
173,2.0,2.0,3.0,50.0
174,1.0,36.0,5.0,158.0
175,2.0,35.0,3.0,111.0
176,1.0,18.0,1.0,33.0
177,0.0,26.0,0.0,69.0
178,2.0,24.0,2.0,69.0
179,4.0,6.0,7.0,49.0
180,1.0,18.0,1.0,79.0
181,2.0,18.0,2.0,47.0
182,1.0,24.0,4.0,69.0
183,0.0,4.0,2.0,18.0
184,0.0,24.0,0.0,66.0
185,0.0,113.0,1.0,373.0
186,1.0,23.0,0.0,90.0
187,1.0,15.0,1.0,37.0
188,5.0,32.0,8.0,74.0
189,2.0,17.0,5.0,47.0
190,3.0,22.0,3.0,45.0
191,1.0,7.0,1.0,26.0
192,3.0,2.0,2.0,26.0
193,1.0,8.0,2.0,39.0
194,1.0,1.0,2.0,4.0
195,1.0,4.0,0.0,30.0
196,1.0,6.0,2.0,57.0
197,1.0,33.0,1.0,111.0
198,2.0,1.0,4.0,13.0
199,1.0,49.0,3.0,150.0
200,3.0,30.0,2.0,66.0
201,7.0,42.0,13.0,156.0
202,2.0,20.0,2.0,48.0
203,2.0,61.0,1.0,184.0
204,0.0,3.0,0.0,16.0
205,3.0,67.0,3.0,117.0
206,0.0,10.0,0.0,23.0
207,1.0,2.0,0.0,26.0
208,2.0,18.0,2.0,45.0
209,1.0,69.0,1.0,201.0
210,1.0,6.0,1.0,35.0
211,0.0,16.0,0.0,44.0
212,0.0,39.0,0.0,82.0
213,5.0,21.0,7.0,43.0
214,1.0,5.0,1.0,15.0
215,0.0,15.0,0.0,68.0
216,2.0,22.0,5.0,55.0
217,2.0,25.0,2.0,173.0
218,1.0,16.0,2.0,31.0
219,0.0,14.0,1.0,77.0
220,1.0,23.0,1.0,36.0
221,3.0,55.0,6.0,126.0
222,0.0,36.0,1.0,71.0
223,1.0,31.0,2.0,125.0
224,1.0,8.0,0.0,30.0
225,6.0,30.0,12.0,124.0
226,2.0,14.0,1.0,36.0
227,1.0,28.0,1.0,52.0
228,2.0,2.0,5.0,24.0
229,2.0,7.0,1.0,26.0
230,1.0,2.0,1.0,13.0
231,3.0,5.0,6.0,74.0
232,0.0,12.0,0.0,18.0
233,2.0,4.0,5.0,32.0
234,1.0,24.0,4.0,89.0
235,2.0,36.0,3.0,105.0
236,5.0,16.0,8.0,62.0
237,0.0,10.0,0.0,40.0
238,0.0,16.0,0.0,129.0
239,2.0,12.0,3.0,34.0
240,0.0,20.0,0.0,54.0
241,1.0,31.0,3.0,70.0
242,2.0,14.0,3.0,34.0
243,0.0,1.0,1.0,4.0
244,1.0,13.0,1.0,29.0
245,2.0,109.0,3.0,196.0
246,2.0,12.0,2.0,24.0
247,1.0,51.0,1.0,111.0
248,0.0,83.0,0.0,188.0
249,5.0,150.0,8.0,477.0
250,0.0,7.0,1.0,31.0
251,2.0,57.0,2.0,124.0
252,3.0,39.0,6.0,125.0
253,0.0,12.0,1.0,35.0
254,0.0,11.0,0.0,27.0
255,2.0,4.0,3.0,27.0
256,3.0,44.0,2.0,74.0
257,0.0,14.0,0.0,46.0
258,1.0,12.0,3.0,46.0
259,0.0,14.0,0.0,98.0
260,0.0,24.0,0.0,30.0
261,1.0,3.0,2.0,24.0
262,4.0,21.0,2.0,59.0
263,8.0,74.0,11.0,134.0
264,5.0,12.0,5.0,87.0
265,1.0,4.0,3.0,14.0
266,2.0,14.0,3.0,46.0
267,4.0,12.0,9.0,72.0
268,0.0,15.0,1.0,32.0
269,0.0,2.0,1.0,26.0
270,8.0,34.0,12.0,142.0
271,1.0,21.0,1.0,66.0
272,2.0,1.0,2.0,19.0
273,1.0,16.0,0.0,55.0
274,2.0,123.0,5.0,282.0
275,1.0,6.0,1.0,18.0
276,2.0,54.0,5.0,147.0
277,2.0,29.0,1.0,51.0
278,0.0,7.0,2.0,39.0
279,1.0,4.0,3.0,14.0
280,0.0,3.0,0.0,15.0
281,3.0,4.0,5.0,59.0
282,0.0,8.0,0.0,48.0
283,1.0,39.0,1.0,116.0
284,1.0,2.0,3.0,30.0
285,2.0,22.0,3.0,71.0
286,6.0,72.0,12.0,246.0
287,2.0,26.0,4.0,86.0
288,3.0,28.0,7.0,84.0
289,2.0,8.0,5.0,32.0
290,0.0,2.0,0.0,9.0
291,1.0,16.0,3.0,34.0
292,1.0,7.0,1.0,21.0
293,6.0,17.0,5.0,62.0
294,2.0,8.0,2.0,24.0
295,0.0,7.0,1.0,68.0
296,2.0,6.0,4.0,30.0
297,0.0,22.0,0.0,54.0
298,0.0,42.0,0.0,92.0
299,1.0,15.0,3.0,54.0
300,2.0,23.0,3.0,112.0
301,1.0,18.0,3.0,117.0
302,1.0,7.0,1.0,20.0
303,0.0,32.0,0.0,120.0
304,3.0,94.0,4.0,198.0
305,1.0,123.0,1.0,188.0
306,3.0,19.0,5.0,63.0
307,2.0,97.0,4.0,303.0
308,3.0,39.0,7.0,158.0
309,2.0,5.0,4.0,35.0
310,1.0,23.0,3.0,63.0
311,0.0,6.0,1.0,40.0
312,2.0,8.0,1.0,21.0
313,0.0,25.0,1.0,91.0
314,1.0,16.0,2.0,60.0
315,2.0,7.0,3.0,13.0
316,3.0,46.0,5.0,84.0
317,0.0,18.0,1.0,75.0
318,0.0,11.0,1.0,26.0
319,2.0,16.0,4.0,57.0
320,0.0,12.0,1.0,75.0
321,1.0,29.0,1.0,125.0
322,2.0,13.0,3.0,62.0
323,1.0,2.0,2.0,15.0
324,2.0,100.0,2.0,195.0
325,2.0,2.0,7.0,42.0
326,1.0,4.0,0.0,41.0
327,0.0,5.0,0.0,12.0
328,4.0,6.0,5.0,32.0
329,0.0,5.0,0.0,22.0
330,2.0,8.0,3.0,14.0
331,0.0,29.0,0.0,98.0
332,1.0,13.0,1.0,57.0
333,4.0,13.0,2.0,41.0
334,1.0,4.0,0.0,24.0
335,0.0,2.0,0.0,4.0
336,1.0,68.0,2.0,199.0
337,0.0,28.0,0.0,82.0
338,0.0,28.0,1.0,55.0
339,3.0,25.0,3.0,69.0
340,2.0,1.0,2.0,37.0
341,0.0,6.0,2.0,24.0
342,0.0,7.0,1.0,34.0
343,1.0,11.0,1.0,28.0
344,4.0,26.0,5.0,77.0
345,2.0,11.0,3.0,64.0
346,2.0,114.0,4.0,338.0
347,2.0,18.0,5.0,81.0
348,7.0,50.0,16.0,190.0
349,1.0,10.0,2.0,48.0
350,1.0,8.0,1.0,28.0
351,0.0,25.0,1.0,122.0
352,3.0,62.0,4.0,164.0
353,1.0,96.0,2.0,264.0
354,1.0,12.0,2.0,45.0
355,0.0,11.0,1.0,40.0
356,2.0,12.0,3.0,24.0
357,1.0,6.0,3.0,22.0
358,1.0,4.0,4.0,19.0
359,1.0,12.0,3.0,46.0
360,2.0,42.0,3.0,113.0
361,1.0,20.0,0.0,57.0
362,0.0,3.0,1.0,5.0
363,0.0,7.0,0.0,18.0
364,3.0,14.0,3.0,53.0
365,2.0,18.0,4.0,59.0
366,1.0,32.0,1.0,106.0
367,3.0,65.0,4.0,158.0
368,0.0,31.0,2.0,119.0
369,7.0,50.0,13.0,170.0
370,1.0,23.0,3.0,93.0
371,3.0,9.0,4.0,46.0
372,1.0,25.0,4.0,100.0
373,0.0,4.0,0.0,20.0
374,2.0,24.0,3.0,46.0
375,0.0,15.0,1.0,48.0
376,1.0,19.0,1.0,66.0
377,0.0,56.0,0.0,200.0
378,2.0,12.0,4.0,65.0
379,1.0,40.0,0.0,109.0
380,1.0,42.0,2.0,191.0
381,1.0,1.0,3.0,14.0
382,0.0,2.0,0.0,10.0
383,4.0,6.0,5.0,31.0
384,2.0,17.0,2.0,51.0
385,2.0,66.0,2.0,166.0
386,0.0,32.0,1.0,95.0
387,0.0,32.0,2.0,118.0
388,0.0,44.0,0.0,73.0
389,0.0,10.0,2.0,30.0
390,2.0,79.0,3.0,239.0
391,1.0,8.0,2.0,34.0
392,3.0,27.0,5.0,69.0
393,2.0,67.0,3.0,330.0
394,0.0,15.0,0.0,56.0
395,0.0,25.0,0.0,72.0
396,0.0,7.0,3.0,34.0
397,0.0,10.0,0.0,43.0
398,1.0,12.0,3.0,63.0
399,0.0,20.0,0.0,51.0
400,1.0,59.0,0.0,167.0
401,0.0,35.0,0.0,76.0
402,6.0,30.0,12.0,132.0
403,0.0,44.0,0.0,116.0
404,0.0,22.0,0.0,94.0
405,2.0,8.0,4.0,41.0
406,1.0,4.0,1.0,17.0
407,7.0,42.0,12.0,132.0
408,0.0,7.0,0.0,37.0
409,0.0,3.0,1.0,20.0
410,0.0,42.0,1.0,229.0
411,1.0,18.0,2.0,58.0
412,1.0,7.0,1.0,94.0
413,5.0,25.0,8.0,74.0
414,0.0,6.0,1.0,30.0
415,1.0,15.0,1.0,41.0
416,1.0,4.0,3.0,19.0
417,0.0,13.0,2.0,78.0
418,0.0,20.0,0.0,36.0
419,1.0,11.0,4.0,45.0
420,2.0,7.0,0.0,25.0
421,0.0,17.0,1.0,54.0
422,1.0,9.0,0.0,66.0
423,0.0,21.0,1.0,57.0
424,0.0,19.0,0.0,71.0
425,1.0,15.0,1.0,33.0
426,1.0,53.0,1.0,151.0
427,0.0,14.0,2.0,44.0
428,0.0,53.0,0.0,142.0
429,0.0,59.0,0.0,140.0
430,6.0,72.0,12.0,246.0
431,3.0,4.0,5.0,46.0
432,1.0,26.0,1.0,61.0
433,0.0,3.0,0.0,24.0
434,1.0,17.0,2.0,43.0
435,1.0,10.0,2.0,49.0
436,1.0,29.0,0.0,175.0
437,0.0,19.0,0.0,58.0
438,1.0,7.0,3.0,26.0
439,0.0,7.0,1.0,15.0
440,5.0,25.0,6.0,56.0
441,0.0,4.0,1.0,24.0
442,0.0,11.0,2.0,64.0
443,1.0,52.0,2.0,135.0
444,1.0,27.0,1.0,102.0
445,1.0,8.0,3.0,42.0
446,3.0,72.0,3.0,320.0
447,1.0,24.0,1.0,73.0
448,0.0,14.0,2.0,58.0
449,0.0,13.0,0.0,22.0
450,2.0,11.0,4.0,33.0
451,5.0,77.0,7.0,200.0
452,3.0,9.0,6.0,66.0
453,1.0,6.0,1.0,35.0
454,1.0,8.0,1.0,14.0
455,1.0,8.0,3.0,28.0
456,2.0,6.0,1.0,37.0
457,0.0,15.0,0.0,24.0
458,1.0,9.0,4.0,61.0
459,0.0,46.0,2.0,119.0
460,7.0,63.0,12.0,168.0
461,0.0,3.0,0.0,29.0
462,0.0,14.0,0.0,37.0
463,1.0,17.0,1.0,31.0
464,0.0,24.0,0.0,50.0
465,0.0,14.0,1.0,54.0
466,2.0,74.0,2.0,138.0
467,2.0,12.0,3.0,75.0
468,1.0,60.0,2.0,133.0
469,1.0,2.0,0.0,13.0
470,1.0,40.0,1.0,84.0
471,6.0,30.0,12.0,124.0
472,2.0,9.0,2.0,13.0
473,0.0,8.0,0.0,27.0
474,0.0,22.0,0.0,85.0
475,1.0,1.0,3.0,19.0
476,2.0,0.0,3.0,14.0
477,0.0,10.0,1.0,47.0
478,1.0,3.0,2.0,33.0
479,0.0,11.0,0.0,32.0
480,1.0,8.0,2.0,37.0
481,1.0,1.0,2.0,24.0
482,3.0,36.0,2.0,122.0
483,1.0,7.0,3.0,61.0
484,1.0,56.0,2.0,128.0
485,2.0,12.0,2.0,32.0
486,1.0,37.0,0.0,59.0
487,2.0,8.0,4.0,41.0
488,2.0,8.0,1.0,21.0
489,1.0,5.0,1.0,11.0
490,1.0,16.0,3.0,77.0
491,3.0,18.0,5.0,54.0
492,2.0,5.0,2.0,21.0
493,1.0,18.0,2.0,53.0
494,5.0,12.0,4.0,38.0
495,2.0,4.0,0.0,39.0
496,2.0,18.0,3.0,75.0
497,1.0,20.0,1.0,58.0
498,0.0,7.0,0.0,14.0
499,0.0,2.0,2.0,52.0
500,0.0,30.0,0.0,91.0
501,0.0,11.0,1.0,31.0
502,5.0,58.0,9.0,153.0
503,1.0,47.0,1.0,108.0
504,0.0,10.0,1.0,25.0
505,1.0,1.0,0.0,9.0
506,2.0,8.0,0.0,54.0
507,2.0,24.0,3.0,67.0
508,1.0,16.0,2.0,30.0
509,2.0,8.0,4.0,62.0
510,0.0,10.0,0.0,27.0
511,0.0,13.0,3.0,90.0
512,3.0,25.0,5.0,54.0
513,2.0,35.0,3.0,194.0
514,2.0,13.0,2.0,42.0
515,0.0,21.0,3.0,68.0
516,1.0,37.0,1.0,85.0
517,0.0,9.0,1.0,53.0
518,2.0,19.0,6.0,123.0
519,0.0,8.0,1.0,31.0
520,7.0,42.0,16.0,232.0
521,0.0,7.0,1.0,33.0
522,0.0,5.0,0.0,29.0
523,0.0,20.0,1.0,56.0
524,3.0,21.0,5.0,51.0
525,1.0,23.0,3.0,89.0
526,2.0,8.0,1.0,27.0
527,0.0,27.0,0.0,96.0
528,4.0,17.0,6.0,37.0
529,3.0,156.0,5.0,490.0
530,2.0,28.0,1.0,125.0
531,0.0,35.0,2.0,65.0
532,0.0,15.0,1.0,36.0
533,3.0,9.0,3.0,14.0
534,2.0,23.0,2.0,41.0
535,1.0,12.0,3.0,54.0
536,1.0,3.0,1.0,25.0
537,0.0,4.0,0.0,10.0
538,2.0,4.0,1.0,31.0
539,3.0,14.0,4.0,46.0
540,2.0,39.0,2.0,111.0
541,1.0,12.0,3.0,42.0
542,2.0,10.0,2.0,42.0
543,1.0,21.0,3.0,48.0
544,2.0,4.0,1.0,21.0
545,1.0,2.0,2.0,54.0
546,1.0,1.0,0.0,14.0
547,2.0,7.0,4.0,21.0
548,6.0,44.0,4.0,231.0
549,3.0,34.0,5.0,60.0
550,0.0,150.0,1.0,312.0
551,1.0,5.0,3.0,59.0
552,7.0,42.0,13.0,156.0
553,3.0,33.0,3.0,75.0
554,1.0,41.0,4.0,108.0
555,0.0,12.0,0.0,36.0
556,1.0,14.0,4.0,75.0
557,3.0,9.0,5.0,39.0
558,1.0,8.0,2.0,31.0
559,0.0,6.0,1.0,26.0
560,2.0,170.0,2.0,372.0
561,0.0,20.0,1.0,111.0
562,0.0,6.0,3.0,49.0
563,1.0,26.0,1.0,96.0
564,0.0,18.0,0.0,38.0
565,1.0,15.0,4.0,45.0
566,2.0,38.0,3.0,76.0
567,0.0,16.0,0.0,46.0
568,1.0,6.0,2.0,24.0
569,0.0,52.0,0.0,142.0
570,1.0,17.0,1.0,53.0
571,0.0,14.0,1.0,37.0
572,2.0,27.0,3.0,65.0
573,3.0,10.0,3.0,28.0
574,1.0,4.0,1.0,32.0
575,1.0,99.0,1.0,223.0
576,0.0,19.0,1.0,67.0
577,0.0,7.0,0.0,37.0
578,1.0,7.0,0.0,44.0
579,0.0,36.0,1.0,101.0
580,2.0,25.0,1.0,91.0
581,7.0,58.0,12.0,158.0
582,2.0,14.0,2.0,34.0
583,1.0,2.0,2.0,24.0
584,1.0,27.0,1.0,69.0
585,4.0,12.0,10.0,90.0
586,1.0,4.0,1.0,24.0
587,3.0,26.0,2.0,37.0
588,2.0,18.0,3.0,46.0
589,2.0,1.0,2.0,15.0
590,2.0,11.0,3.0,38.0
591,1.0,8.0,1.0,18.0
592,1.0,55.0,0.0,130.0
593,3.0,4.0,3.0,7.0
594,0.0,3.0,0.0,25.0
595,2.0,17.0,2.0,48.0
596,0.0,37.0,1.0,85.0
597,1.0,6.0,3.0,36.0
598,3.0,21.0,5.0,74.0
599,2.0,14.0,7.0,84.0
600,7.0,50.0,16.0,190.0
601,0.0,11.0,0.0,37.0
602,2.0,8.0,2.0,33.0
603,0.0,2.0,1.0,4.0
604,1.0,15.0,1.0,64.0
605,0.0,8.0,0.0,27.0
606,3.0,94.0,3.0,199.0
607,1.0,18.0,1.0,48.0
608,1.0,1.0,1.0,32.0
609,0.0,40.0,4.0,130.0
610,3.0,19.0,1.0,55.0
611,0.0,8.0,0.0,24.0
612,3.0,37.0,3.0,125.0
613,1.0,26.0,2.0,77.0
614,1.0,23.0,0.0,70.0
615,1.0,7.0,2.0,30.0
616,7.0,50.0,18.0,252.0
617,2.0,34.0,2.0,118.0
618,1.0,49.0,2.0,158.0
619,2.0,9.0,4.0,65.0
620,2.0,32.0,2.0,94.0
621,0.0,7.0,1.0,34.0
622,0.0,1.0,0.0,11.0
623,1.0,11.0,1.0,38.0
624,0.0,25.0,0.0,59.0
625,1.0,26.0,1.0,54.0
626,3.0,14.0,3.0,34.0
627,2.0,6.0,2.0,26.0
628,0.0,31.0,2.0,60.0
629,1.0,7.0,0.0,30.0
630,0.0,23.0,0.0,32.0
631,1.0,2.0,2.0,16.0
632,0.0,1.0,1.0,2.0
633,1.0,10.0,2.0,59.0
634,0.0,120.0,3.0,471.0
635,5.0,32.0,6.0,132.0
636,1.0,4.0,1.0,4.0
637,3.0,29.0,7.0,77.0
638,2.0,24.0,2.0,56.0
639,1.0,3.0,0.0,6.0
640,3.0,70.0,3.0,156.0
641,7.0,54.0,12.0,154.0
642,1.0,29.0,1.0,51.0
643,1.0,14.0,0.0,51.0
644,0.0,10.0,0.0,47.0
645,3.0,4.0,4.0,25.0
646,2.0,8.0,6.0,44.0
647,1.0,28.0,4.0,158.0
648,2.0,17.0,1.0,51.0
649,0.0,4.0,1.0,44.0
650,4.0,17.0,4.0,47.0
651,9.0,92.0,21.0,448.0
652,5.0,20.0,11.0,110.0
653,0.0,14.0,0.0,59.0
654,1.0,8.0,1.0,13.0
655,1.0,11.0,0.0,32.0
656,9.0,114.0,21.0,539.0
657,1.0,14.0,1.0,27.0
658,2.0,5.0,3.0,38.0
659,1.0,37.0,0.0,180.0
660,1.0,11.0,3.0,31.0
661,2.0,24.0,3.0,103.0
662,2.0,7.0,3.0,28.0
663,0.0,22.0,0.0,57.0
664,3.0,44.0,3.0,141.0
665,0.0,8.0,0.0,20.0
666,1.0,21.0,2.0,45.0
667,1.0,15.0,1.0,79.0
668,1.0,6.0,2.0,32.0
669,2.0,4.0,4.0,26.0
670,0.0,4.0,0.0,21.0
671,1.0,5.0,2.0,20.0
672,2.0,66.0,2.0,161.0
673,6.0,37.0,16.0,249.0
674,2.0,12.0,4.0,50.0
675,4.0,12.0,8.0,56.0
676,2.0,11.0,3.0,36.0
677,1.0,16.0,1.0,108.0
678,3.0,4.0,3.0,16.0
679,0.0,15.0,0.0,25.0
680,0.0,189.0,1.0,571.0
681,1.0,1.0,2.0,24.0
682,2.0,24.0,5.0,100.0
683,2.0,21.0,4.0,53.0
684,6.0,40.0,11.0,130.0
685,0.0,11.0,2.0,58.0
686,6.0,30.0,16.0,224.0
687,2.0,7.0,3.0,43.0
688,0.0,10.0,2.0,58.0
689,0.0,11.0,0.0,34.0
690,0.0,19.0,0.0,75.0
691,2.0,45.0,4.0,128.0
692,6.0,57.0,11.0,157.0
693,4.0,6.0,7.0,58.0
694,1.0,2.0,1.0,8.0
695,6.0,30.0,12.0,124.0
696,3.0,24.0,6.0,79.0
697,0.0,19.0,0.0,66.0
698,0.0,24.0,0.0,64.0
699,1.0,15.0,4.0,58.0
700,3.0,6.0,6.0,33.0
701,0.0,40.0,0.0,98.0
702,2.0,7.0,3.0,34.0
703,0.0,4.0,1.0,25.0
704,2.0,9.0,1.0,37.0
705,0.0,46.0,0.0,118.0
706,0.0,2.0,0.0,8.0
707,0.0,26.0,0.0,107.0
708,1.0,11.0,1.0,51.0
709,2.0,21.0,2.0,57.0
710,2.0,2.0,4.0,67.0
711,4.0,29.0,8.0,143.0
712,1.0,11.0,2.0,37.0
713,2.0,85.0,2.0,248.0
714,1.0,10.0,1.0,76.0
715,2.0,57.0,3.0,130.0
716,2.0,0.0,2.0,30.0
717,2.0,19.0,4.0,39.0
718,1.0,1.0,1.0,20.0
719,10.0,62.0,22.0,424.0
720,1.0,11.0,1.0,34.0
721,1.0,8.0,1.0,58.0
722,2.0,64.0,5.0,244.0
723,3.0,14.0,4.0,22.0
724,2.0,5.0,3.0,20.0
725,1.0,31.0,1.0,89.0
726,1.0,2.0,2.0,11.0
727,1.0,28.0,1.0,66.0
728,2.0,8.0,2.0,30.0
729,0.0,2.0,0.0,26.0
730,0.0,12.0,1.0,35.0
731,0.0,8.0,1.0,52.0
732,3.0,41.0,3.0,106.0
733,0.0,39.0,1.0,180.0
734,5.0,12.0,5.0,32.0
735,3.0,67.0,7.0,263.0
736,3.0,21.0,4.0,82.0
737,0.0,8.0,0.0,26.0
738,2.0,19.0,3.0,56.0
739,4.0,17.0,6.0,37.0
740,9.0,92.0,21.0,448.0
741,5.0,50.0,9.0,172.0
742,1.0,8.0,2.0,31.0
743,3.0,6.0,6.0,30.0
744,0.0,13.0,0.0,33.0
745,2.0,71.0,3.0,169.0
746,3.0,35.0,5.0,90.0
747,1.0,28.0,1.0,88.0
748,2.0,2.0,8.0,77.0
749,1.0,11.0,2.0,44.0
750,3.0,6.0,2.0,27.0
751,6.0,36.0,15.0,162.0
752,0.0,24.0,0.0,62.0
753,1.0,20.0,2.0,111.0
754,0.0,13.0,0.0,22.0
755,0.0,27.0,1.0,84.0
756,4.0,6.0,5.0,32.0
757,10.0,112.0,15.0,242.0
758,0.0,19.0,0.0,35.0
759,2.0,15.0,2.0,57.0
760,1.0,1.0,1.0,19.0
761,7.0,42.0,14.0,200.0
762,2.0,14.0,6.0,67.0
763,2.0,65.0,5.0,158.0
764,2.0,18.0,2.0,18.0
765,1.0,5.0,1.0,11.0
766,1.0,7.0,0.0,26.0
767,2.0,19.0,2.0,41.0
768,1.0,10.0,4.0,49.0
769,1.0,17.0,1.0,48.0
770,1.0,5.0,0.0,15.0
771,1.0,8.0,1.0,22.0
