,bigram_coocurence,bigram_distinct,bigram_nostpwrd_coocurence,bigram_nostpwrd_distinct
190,3.0,45.0,3.0,22.0
191,1.0,26.0,1.0,7.0
192,2.0,26.0,3.0,2.0
193,2.0,39.0,1.0,8.0
194,2.0,4.0,1.0,1.0
195,0.0,30.0,1.0,4.0
196,2.0,57.0,1.0,6.0
197,1.0,111.0,1.0,33.0
198,4.0,13.0,2.0,1.0
199,3.0,150.0,1.0,49.0
200,2.0,66.0,3.0,30.0
201,13.0,156.0,7.0,42.0
202,2.0,48.0,2.0,20.0
203,1.0,184.0,2.0,61.0
204,0.0,16.0,0.0,3.0
205,3.0,117.0,3.0,67.0
206,0.0,23.0,0.0,10.0
207,0.0,26.0,1.0,2.0
208,2.0,45.0,2.0,18.0
209,1.0,201.0,1.0,69.0
210,1.0,35.0,1.0,6.0
211,0.0,44.0,0.0,16.0
212,0.0,82.0,0.0,39.0
213,7.0,43.0,5.0,21.0
214,1.0,15.0,1.0,5.0
215,0.0,68.0,0.0,15.0
216,5.0,55.0,2.0,22.0
217,2.0,173.0,2.0,25.0
218,2.0,31.0,1.0,16.0
219,1.0,77.0,0.0,14.0
220,1.0,36.0,1.0,23.0
221,6.0,126.0,3.0,55.0
222,1.0,71.0,0.0,36.0
223,2.0,125.0,1.0,31.0
224,0.0,30.0,1.0,8.0
225,12.0,124.0,6.0,30.0
226,1.0,36.0,2.0,14.0
227,1.0,52.0,1.0,28.0
228,5.0,24.0,2.0,2.0
229,1.0,26.0,2.0,7.0
230,1.0,13.0,1.0,2.0
231,6.0,74.0,3.0,5.0
232,0.0,18.0,0.0,12.0
233,5.0,32.0,2.0,4.0
234,4.0,89.0,1.0,24.0
235,3.0,105.0,2.0,36.0
236,8.0,62.0,5.0,16.0
237,0.0,40.0,0.0,10.0
238,0.0,129.0,0.0,16.0
239,3.0,34.0,2.0,12.0
240,0.0,54.0,0.0,20.0
241,3.0,70.0,1.0,31.0
242,3.0,34.0,2.0,14.0
243,1.0,4.0,0.0,1.0
244,1.0,29.0,1.0,13.0
245,3.0,196.0,2.0,109.0
246,2.0,24.0,2.0,12.0
247,1.0,111.0,1.0,51.0
248,0.0,188.0,0.0,83.0
249,8.0,477.0,5.0,150.0
250,1.0,31.0,0.0,7.0
251,2.0,124.0,2.0,57.0
252,6.0,125.0,3.0,39.0
253,1.0,35.0,0.0,12.0
254,0.0,27.0,0.0,11.0
255,3.0,27.0,2.0,4.0
256,2.0,74.0,3.0,44.0
257,0.0,46.0,0.0,14.0
258,3.0,46.0,1.0,12.0
259,0.0,98.0,0.0,14.0
260,0.0,30.0,0.0,24.0
261,2.0,24.0,1.0,3.0
262,2.0,59.0,4.0,21.0
263,11.0,134.0,8.0,74.0
264,5.0,87.0,5.0,12.0
265,3.0,14.0,1.0,4.0
266,3.0,46.0,2.0,14.0
267,9.0,72.0,4.0,12.0
268,1.0,32.0,0.0,15.0
269,1.0,26.0,0.0,2.0
270,12.0,142.0,8.0,34.0
271,1.0,66.0,1.0,21.0
272,2.0,19.0,2.0,1.0
273,0.0,55.0,1.0,16.0
274,5.0,282.0,2.0,123.0
275,1.0,18.0,1.0,6.0
276,5.0,147.0,2.0,54.0
277,1.0,51.0,2.0,29.0
278,2.0,39.0,0.0,7.0
279,3.0,14.0,1.0,4.0
280,0.0,15.0,0.0,3.0
281,5.0,59.0,3.0,4.0
282,0.0,48.0,0.0,8.0
283,1.0,116.0,1.0,39.0
284,3.0,30.0,1.0,2.0
285,3.0,71.0,2.0,22.0
286,12.0,246.0,6.0,72.0
287,4.0,86.0,2.0,26.0
288,7.0,84.0,3.0,28.0
289,5.0,32.0,2.0,8.0
290,0.0,9.0,0.0,2.0
291,3.0,34.0,1.0,16.0
292,1.0,21.0,1.0,7.0
293,5.0,62.0,6.0,17.0
294,2.0,24.0,2.0,8.0
295,1.0,68.0,0.0,7.0
296,4.0,30.0,2.0,6.0
297,0.0,54.0,0.0,22.0
298,0.0,92.0,0.0,42.0
299,3.0,54.0,1.0,15.0
300,3.0,112.0,2.0,23.0
301,3.0,117.0,1.0,18.0
302,1.0,20.0,1.0,7.0
303,0.0,120.0,0.0,32.0
304,4.0,198.0,3.0,94.0
305,1.0,188.0,1.0,123.0
306,5.0,63.0,3.0,19.0
307,4.0,303.0,2.0,97.0
308,7.0,158.0,3.0,39.0
309,4.0,35.0,2.0,5.0
310,3.0,63.0,1.0,23.0
311,1.0,40.0,0.0,6.0
312,1.0,21.0,2.0,8.0
313,1.0,91.0,0.0,25.0
314,2.0,60.0,1.0,16.0
315,3.0,13.0,2.0,7.0
316,5.0,84.0,3.0,46.0
317,1.0,75.0,0.0,18.0
318,1.0,26.0,0.0,11.0
319,4.0,57.0,2.0,16.0
320,1.0,75.0,0.0,12.0
321,1.0,125.0,1.0,29.0
322,3.0,62.0,2.0,13.0
323,2.0,15.0,1.0,2.0
324,2.0,195.0,2.0,100.0
325,7.0,42.0,2.0,2.0
326,0.0,41.0,1.0,4.0
327,0.0,12.0,0.0,5.0
328,5.0,32.0,4.0,6.0
329,0.0,22.0,0.0,5.0
330,3.0,14.0,2.0,8.0
331,0.0,98.0,0.0,29.0
332,1.0,57.0,1.0,13.0
333,2.0,41.0,4.0,13.0
334,0.0,24.0,1.0,4.0
335,0.0,4.0,0.0,2.0
336,2.0,199.0,1.0,68.0
337,0.0,82.0,0.0,28.0
338,1.0,55.0,0.0,28.0
339,3.0,69.0,3.0,25.0
340,2.0,37.0,2.0,1.0
341,2.0,24.0,0.0,6.0
342,1.0,34.0,0.0,7.0
343,1.0,28.0,1.0,11.0
344,5.0,77.0,4.0,26.0
345,3.0,64.0,2.0,11.0
346,4.0,338.0,2.0,114.0
347,5.0,81.0,2.0,18.0
348,16.0,190.0,7.0,50.0
349,2.0,48.0,1.0,10.0
350,1.0,28.0,1.0,8.0
351,1.0,122.0,0.0,25.0
352,4.0,164.0,3.0,62.0
353,2.0,264.0,1.0,96.0
354,2.0,45.0,1.0,12.0
355,1.0,40.0,0.0,11.0
356,3.0,24.0,2.0,12.0
357,3.0,22.0,1.0,6.0
358,4.0,19.0,1.0,4.0
359,3.0,46.0,1.0,12.0
360,3.0,113.0,2.0,42.0
361,0.0,57.0,1.0,20.0
362,1.0,5.0,0.0,3.0
363,0.0,18.0,0.0,7.0
364,3.0,53.0,3.0,14.0
365,4.0,59.0,2.0,18.0
366,1.0,106.0,1.0,32.0
367,4.0,158.0,3.0,65.0
368,2.0,119.0,0.0,31.0
369,13.0,170.0,7.0,50.0
370,3.0,93.0,1.0,23.0
371,4.0,46.0,3.0,9.0
372,4.0,100.0,1.0,25.0
373,0.0,20.0,0.0,4.0
374,3.0,46.0,2.0,24.0
375,1.0,48.0,0.0,15.0
376,1.0,66.0,1.0,19.0
377,0.0,200.0,0.0,56.0
378,4.0,65.0,2.0,12.0
379,0.0,109.0,1.0,40.0
380,2.0,191.0,1.0,42.0
381,3.0,14.0,1.0,1.0
382,0.0,10.0,0.0,2.0
383,5.0,31.0,4.0,6.0
384,2.0,51.0,2.0,17.0
385,2.0,166.0,2.0,66.0
386,1.0,95.0,0.0,32.0
387,2.0,118.0,0.0,32.0
388,0.0,73.0,0.0,44.0
389,2.0,30.0,0.0,10.0
390,3.0,239.0,2.0,79.0
391,2.0,34.0,1.0,8.0
392,5.0,69.0,3.0,27.0
393,3.0,330.0,2.0,67.0
394,0.0,56.0,0.0,15.0
395,0.0,72.0,0.0,25.0
396,3.0,34.0,0.0,7.0
397,0.0,43.0,0.0,10.0
398,3.0,63.0,1.0,12.0
399,0.0,51.0,0.0,20.0
400,0.0,167.0,1.0,59.0
401,0.0,76.0,0.0,35.0
402,12.0,132.0,6.0,30.0
403,0.0,116.0,0.0,44.0
404,0.0,94.0,0.0,22.0
405,4.0,41.0,2.0,8.0
406,1.0,17.0,1.0,4.0
407,12.0,132.0,7.0,42.0
408,0.0,37.0,0.0,7.0
409,1.0,20.0,0.0,3.0
410,1.0,229.0,0.0,42.0
411,2.0,58.0,1.0,18.0
412,1.0,94.0,1.0,7.0
413,8.0,74.0,5.0,25.0
414,1.0,30.0,0.0,6.0
415,1.0,41.0,1.0,15.0
416,3.0,19.0,1.0,4.0
417,2.0,78.0,0.0,13.0
418,0.0,36.0,0.0,20.0
419,4.0,45.0,1.0,11.0
420,0.0,25.0,2.0,7.0
421,1.0,54.0,0.0,17.0
422,0.0,66.0,1.0,9.0
423,1.0,57.0,0.0,21.0
424,0.0,71.0,0.0,19.0
425,1.0,33.0,1.0,15.0
426,1.0,151.0,1.0,53.0
427,2.0,44.0,0.0,14.0
428,0.0,142.0,0.0,53.0
429,0.0,140.0,0.0,59.0
430,12.0,246.0,6.0,72.0
431,5.0,46.0,3.0,4.0
432,1.0,61.0,1.0,26.0
433,0.0,24.0,0.0,3.0
434,2.0,43.0,1.0,17.0
435,2.0,49.0,1.0,10.0
436,0.0,175.0,1.0,29.0
437,0.0,58.0,0.0,19.0
438,3.0,26.0,1.0,7.0
439,1.0,15.0,0.0,7.0
440,6.0,56.0,5.0,25.0
441,1.0,24.0,0.0,4.0
442,2.0,64.0,0.0,11.0
443,2.0,135.0,1.0,52.0
444,1.0,102.0,1.0,27.0
445,3.0,42.0,1.0,8.0
446,3.0,320.0,3.0,72.0
447,1.0,73.0,1.0,24.0
448,2.0,58.0,0.0,14.0
449,0.0,22.0,0.0,13.0
450,4.0,33.0,2.0,11.0
451,7.0,200.0,5.0,77.0
452,6.0,66.0,3.0,9.0
453,1.0,35.0,1.0,6.0
454,1.0,14.0,1.0,8.0
455,3.0,28.0,1.0,8.0
456,1.0,37.0,2.0,6.0
457,0.0,24.0,0.0,15.0
458,4.0,61.0,1.0,9.0
459,2.0,119.0,0.0,46.0
460,12.0,168.0,7.0,63.0
461,0.0,29.0,0.0,3.0
462,0.0,37.0,0.0,14.0
463,1.0,31.0,1.0,17.0
464,0.0,50.0,0.0,24.0
465,1.0,54.0,0.0,14.0
466,2.0,138.0,2.0,74.0
467,3.0,75.0,2.0,12.0
468,2.0,133.0,1.0,60.0
469,0.0,13.0,1.0,2.0
470,1.0,84.0,1.0,40.0
471,12.0,124.0,6.0,30.0
472,2.0,13.0,2.0,9.0
473,0.0,27.0,0.0,8.0
474,0.0,85.0,0.0,22.0
475,3.0,19.0,1.0,1.0
476,3.0,14.0,2.0,0.0
477,1.0,47.0,0.0,10.0
478,2.0,33.0,1.0,3.0
479,0.0,32.0,0.0,11.0
480,2.0,37.0,1.0,8.0
481,2.0,24.0,1.0,1.0
482,2.0,122.0,3.0,36.0
483,3.0,61.0,1.0,7.0
484,2.0,128.0,1.0,56.0
485,2.0,32.0,2.0,12.0
486,0.0,59.0,1.0,37.0
487,4.0,41.0,2.0,8.0
488,1.0,21.0,2.0,8.0
489,1.0,11.0,1.0,5.0
490,3.0,77.0,1.0,16.0
491,5.0,54.0,3.0,18.0
492,2.0,21.0,2.0,5.0
493,2.0,53.0,1.0,18.0
494,4.0,38.0,5.0,12.0
495,0.0,39.0,2.0,4.0
496,3.0,75.0,2.0,18.0
497,1.0,58.0,1.0,20.0
498,0.0,14.0,0.0,7.0
499,2.0,52.0,0.0,2.0
500,0.0,91.0,0.0,30.0
501,1.0,31.0,0.0,11.0
502,9.0,153.0,5.0,58.0
503,1.0,108.0,1.0,47.0
504,1.0,25.0,0.0,10.0
505,0.0,9.0,1.0,1.0
506,0.0,54.0,2.0,8.0
507,3.0,67.0,2.0,24.0
508,2.0,30.0,1.0,16.0
509,4.0,62.0,2.0,8.0
510,0.0,27.0,0.0,10.0
511,3.0,90.0,0.0,13.0
512,5.0,54.0,3.0,25.0
513,3.0,194.0,2.0,35.0
514,2.0,42.0,2.0,13.0
515,3.0,68.0,0.0,21.0
516,1.0,85.0,1.0,37.0
517,1.0,53.0,0.0,9.0
518,6.0,123.0,2.0,19.0
519,1.0,31.0,0.0,8.0
520,16.0,232.0,7.0,42.0
521,1.0,33.0,0.0,7.0
522,0.0,29.0,0.0,5.0
523,1.0,56.0,0.0,20.0
524,5.0,51.0,3.0,21.0
525,3.0,89.0,1.0,23.0
526,1.0,27.0,2.0,8.0
527,0.0,96.0,0.0,27.0
528,6.0,37.0,4.0,17.0
529,5.0,490.0,3.0,156.0
530,1.0,125.0,2.0,28.0
531,2.0,65.0,0.0,35.0
532,1.0,36.0,0.0,15.0
533,3.0,14.0,3.0,9.0
534,2.0,41.0,2.0,23.0
535,3.0,54.0,1.0,12.0
536,1.0,25.0,1.0,3.0
537,0.0,10.0,0.0,4.0
538,1.0,31.0,2.0,4.0
539,4.0,46.0,3.0,14.0
540,2.0,111.0,2.0,39.0
541,3.0,42.0,1.0,12.0
542,2.0,42.0,2.0,10.0
543,3.0,48.0,1.0,21.0
544,1.0,21.0,2.0,4.0
545,2.0,54.0,1.0,2.0
546,0.0,14.0,1.0,1.0
547,4.0,21.0,2.0,7.0
548,4.0,231.0,6.0,44.0
549,5.0,60.0,3.0,34.0
550,1.0,312.0,0.0,150.0
551,3.0,59.0,1.0,5.0
552,13.0,156.0,7.0,42.0
553,3.0,75.0,3.0,33.0
554,4.0,108.0,1.0,41.0
555,0.0,36.0,0.0,12.0
556,4.0,75.0,1.0,14.0
557,5.0,39.0,3.0,9.0
558,2.0,31.0,1.0,8.0
559,1.0,26.0,0.0,6.0
560,2.0,372.0,2.0,170.0
561,1.0,111.0,0.0,20.0
562,3.0,49.0,0.0,6.0
563,1.0,96.0,1.0,26.0
564,0.0,38.0,0.0,18.0
565,4.0,45.0,1.0,15.0
566,3.0,76.0,2.0,38.0
567,0.0,46.0,0.0,16.0
568,2.0,24.0,1.0,6.0
569,0.0,142.0,0.0,52.0
570,1.0,53.0,1.0,17.0
571,1.0,37.0,0.0,14.0
572,3.0,65.0,2.0,27.0
573,3.0,28.0,3.0,10.0
574,1.0,32.0,1.0,4.0
575,1.0,223.0,1.0,99.0
576,1.0,67.0,0.0,19.0
577,0.0,37.0,0.0,7.0
578,0.0,44.0,1.0,7.0
579,1.0,101.0,0.0,36.0
580,1.0,91.0,2.0,25.0
581,12.0,158.0,7.0,58.0
582,2.0,34.0,2.0,14.0
583,2.0,24.0,1.0,2.0
584,1.0,69.0,1.0,27.0
585,10.0,90.0,4.0,12.0
586,1.0,24.0,1.0,4.0
587,2.0,37.0,3.0,26.0
588,3.0,46.0,2.0,18.0
589,2.0,15.0,2.0,1.0
590,3.0,38.0,2.0,11.0
591,1.0,18.0,1.0,8.0
592,0.0,130.0,1.0,55.0
593,3.0,7.0,3.0,4.0
594,0.0,25.0,0.0,3.0
595,2.0,48.0,2.0,17.0
596,1.0,85.0,0.0,37.0
597,3.0,36.0,1.0,6.0
598,5.0,74.0,3.0,21.0
599,7.0,84.0,2.0,14.0
600,16.0,190.0,7.0,50.0
601,0.0,37.0,0.0,11.0
602,2.0,33.0,2.0,8.0
603,1.0,4.0,0.0,2.0
604,1.0,64.0,1.0,15.0
605,0.0,27.0,0.0,8.0
606,3.0,199.0,3.0,94.0
607,1.0,48.0,1.0,18.0
608,1.0,32.0,1.0,1.0
609,4.0,130.0,0.0,40.0
610,1.0,55.0,3.0,19.0
611,0.0,24.0,0.0,8.0
612,3.0,125.0,3.0,37.0
613,2.0,77.0,1.0,26.0
614,0.0,70.0,1.0,23.0
615,2.0,30.0,1.0,7.0
616,18.0,252.0,7.0,50.0
617,2.0,118.0,2.0,34.0
618,2.0,158.0,1.0,49.0
619,4.0,65.0,2.0,9.0
620,2.0,94.0,2.0,32.0
621,1.0,34.0,0.0,7.0
622,0.0,11.0,0.0,1.0
623,1.0,38.0,1.0,11.0
624,0.0,59.0,0.0,25.0
625,1.0,54.0,1.0,26.0
626,3.0,34.0,3.0,14.0
627,2.0,26.0,2.0,6.0
628,2.0,60.0,0.0,31.0
629,0.0,30.0,1.0,7.0
630,0.0,32.0,0.0,23.0
631,2.0,16.0,1.0,2.0
632,1.0,2.0,0.0,1.0
633,2.0,59.0,1.0,10.0
634,3.0,471.0,0.0,120.0
635,6.0,132.0,5.0,32.0
636,1.0,4.0,1.0,4.0
637,7.0,77.0,3.0,29.0
638,2.0,56.0,2.0,24.0
639,0.0,6.0,1.0,3.0
640,3.0,156.0,3.0,70.0
641,12.0,154.0,7.0,54.0
642,1.0,51.0,1.0,29.0
643,0.0,51.0,1.0,14.0
644,0.0,47.0,0.0,10.0
645,4.0,25.0,3.0,4.0
646,6.0,44.0,2.0,8.0
647,4.0,158.0,1.0,28.0
648,1.0,51.0,2.0,17.0
649,1.0,44.0,0.0,4.0
650,4.0,47.0,4.0,17.0
651,21.0,448.0,9.0,92.0
652,11.0,110.0,5.0,20.0
653,0.0,59.0,0.0,14.0
654,1.0,13.0,1.0,8.0
655,0.0,32.0,1.0,11.0
656,21.0,539.0,9.0,114.0
657,1.0,27.0,1.0,14.0
658,3.0,38.0,2.0,5.0
659,0.0,180.0,1.0,37.0
660,3.0,31.0,1.0,11.0
661,3.0,103.0,2.0,24.0
662,3.0,28.0,2.0,7.0
663,0.0,57.0,0.0,22.0
664,3.0,141.0,3.0,44.0
665,0.0,20.0,0.0,8.0
666,2.0,45.0,1.0,21.0
667,1.0,79.0,1.0,15.0
668,2.0,32.0,1.0,6.0
669,4.0,26.0,2.0,4.0
670,0.0,21.0,0.0,4.0
671,2.0,20.0,1.0,5.0
672,2.0,161.0,2.0,66.0
673,16.0,249.0,6.0,37.0
674,4.0,50.0,2.0,12.0
675,8.0,56.0,4.0,12.0
676,3.0,36.0,2.0,11.0
677,1.0,108.0,1.0,16.0
678,3.0,16.0,3.0,4.0
679,0.0,25.0,0.0,15.0
680,1.0,571.0,0.0,189.0
681,2.0,24.0,1.0,1.0
682,5.0,100.0,2.0,24.0
683,4.0,53.0,2.0,21.0
684,11.0,130.0,6.0,40.0
685,2.0,58.0,0.0,11.0
686,16.0,224.0,6.0,30.0
687,3.0,43.0,2.0,7.0
688,2.0,58.0,0.0,10.0
689,0.0,34.0,0.0,11.0
690,0.0,75.0,0.0,19.0
691,4.0,128.0,2.0,45.0
692,11.0,157.0,6.0,57.0
693,7.0,58.0,4.0,6.0
694,1.0,8.0,1.0,2.0
695,12.0,124.0,6.0,30.0
696,6.0,79.0,3.0,24.0
697,0.0,66.0,0.0,19.0
698,0.0,64.0,0.0,24.0
699,4.0,58.0,1.0,15.0
700,6.0,33.0,3.0,6.0
701,0.0,98.0,0.0,40.0
702,3.0,34.0,2.0,7.0
703,1.0,25.0,0.0,4.0
704,1.0,37.0,2.0,9.0
705,0.0,118.0,0.0,46.0
706,0.0,8.0,0.0,2.0
707,0.0,107.0,0.0,26.0
708,1.0,51.0,1.0,11.0
709,2.0,57.0,2.0,21.0
710,4.0,67.0,2.0,2.0
711,8.0,143.0,4.0,29.0
712,2.0,37.0,1.0,11.0
713,2.0,248.0,2.0,85.0
714,1.0,76.0,1.0,10.0
715,3.0,130.0,2.0,57.0
716,2.0,30.0,2.0,0.0
717,4.0,39.0,2.0,19.0
718,1.0,20.0,1.0,1.0
719,22.0,424.0,10.0,62.0
720,1.0,34.0,1.0,11.0
721,1.0,58.0,1.0,8.0
722,5.0,244.0,2.0,64.0
723,4.0,22.0,3.0,14.0
724,3.0,20.0,2.0,5.0
725,1.0,89.0,1.0,31.0
726,2.0,11.0,1.0,2.0
727,1.0,66.0,1.0,28.0
728,2.0,30.0,2.0,8.0
729,0.0,26.0,0.0,2.0
730,1.0,35.0,0.0,12.0
731,1.0,52.0,0.0,8.0
732,3.0,106.0,3.0,41.0
733,1.0,180.0,0.0,39.0
734,5.0,32.0,5.0,12.0
735,7.0,263.0,3.0,67.0
736,4.0,82.0,3.0,21.0
737,0.0,26.0,0.0,8.0
738,3.0,56.0,2.0,19.0
739,6.0,37.0,4.0,17.0
740,21.0,448.0,9.0,92.0
741,9.0,172.0,5.0,50.0
742,2.0,31.0,1.0,8.0
743,6.0,30.0,3.0,6.0
744,0.0,33.0,0.0,13.0
745,3.0,169.0,2.0,71.0
746,5.0,90.0,3.0,35.0
747,1.0,88.0,1.0,28.0
748,8.0,77.0,2.0,2.0
749,2.0,44.0,1.0,11.0
750,2.0,27.0,3.0,6.0
751,15.0,162.0,6.0,36.0
752,0.0,62.0,0.0,24.0
753,2.0,111.0,1.0,20.0
754,0.0,22.0,0.0,13.0
755,1.0,84.0,0.0,27.0
756,5.0,32.0,4.0,6.0
757,15.0,242.0,10.0,112.0
758,0.0,35.0,0.0,19.0
759,2.0,57.0,2.0,15.0
760,1.0,19.0,1.0,1.0
761,14.0,200.0,7.0,42.0
762,6.0,67.0,2.0,14.0
763,5.0,158.0,2.0,65.0
764,2.0,18.0,2.0,18.0
765,1.0,11.0,1.0,5.0
766,0.0,26.0,1.0,7.0
767,2.0,41.0,2.0,19.0
768,4.0,49.0,1.0,10.0
769,1.0,48.0,1.0,17.0
770,0.0,15.0,1.0,5.0
771,1.0,22.0,1.0,8.0
