,q1_kcores,q2_kcores,q1_q2_kcores_ratio,q1_q2_kcores_diff,q1_q2_kcores_diff_normed
56,1.0,2.0,0.5,1.0,0.3333333333333333
57,13.0,13.0,1.0,0.0,0.0
58,3.0,3.0,1.0,0.0,0.0
59,2.0,1.0,0.5,1.0,0.3333333333333333
60,1.0,1.0,1.0,0.0,0.0
61,2.0,1.0,0.5,1.0,0.3333333333333333
62,8.0,8.0,1.0,0.0,0.0
63,1.0,1.0,1.0,0.0,0.0
64,1.0,1.0,1.0,0.0,0.0
65,5.0,11.0,0.45454545454545453,6.0,0.375
66,2.0,4.0,0.5,2.0,0.3333333333333333
67,3.0,3.0,1.0,0.0,0.0
68,1.0,2.0,0.5,1.0,0.3333333333333333
69,6.0,6.0,1.0,0.0,0.0
70,1.0,1.0,1.0,0.0,0.0
71,1.0,1.0,1.0,0.0,0.0
72,5.0,5.0,1.0,0.0,0.0
73,2.0,2.0,1.0,0.0,0.0
74,1.0,1.0,1.0,0.0,0.0
75,7.0,7.0,1.0,0.0,0.0
76,7.0,7.0,1.0,0.0,0.0
77,14.0,14.0,1.0,0.0,0.0
78,8.0,12.0,0.6666666666666666,4.0,0.2
79,2.0,3.0,0.6666666666666666,1.0,0.2
80,5.0,5.0,1.0,0.0,0.0
81,1.0,1.0,1.0,0.0,0.0
82,1.0,1.0,1.0,0.0,0.0
83,13.0,13.0,1.0,0.0,0.0
84,13.0,13.0,1.0,0.0,0.0
85,3.0,1.0,0.3333333333333333,2.0,0.5
86,1.0,2.0,0.5,1.0,0.3333333333333333
87,14.0,14.0,1.0,0.0,0.0
88,9.0,9.0,1.0,0.0,0.0
89,6.0,6.0,1.0,0.0,0.0
90,6.0,8.0,0.75,2.0,0.14285714285714285
91,1.0,1.0,1.0,0.0,0.0
92,1.0,1.0,1.0,0.0,0.0
93,1.0,6.0,0.16666666666666666,5.0,0.7142857142857143
94,4.0,4.0,1.0,0.0,0.0
95,28.0,28.0,1.0,0.0,0.0
96,1.0,1.0,1.0,0.0,0.0
97,4.0,4.0,1.0,0.0,0.0
98,5.0,5.0,1.0,0.0,0.0
99,5.0,5.0,1.0,0.0,0.0
100,2.0,1.0,0.5,1.0,0.3333333333333333
101,24.0,22.0,0.9166666666666667,2.0,0.043478260869565216
102,3.0,3.0,1.0,0.0,0.0
103,2.0,2.0,1.0,0.0,0.0
104,2.0,1.0,0.5,1.0,0.3333333333333333
105,2.0,1.0,0.5,1.0,0.3333333333333333
106,6.0,6.0,1.0,0.0,0.0
107,1.0,1.0,1.0,0.0,0.0
108,1.0,1.0,1.0,0.0,0.0
109,1.0,1.0,1.0,0.0,0.0
110,8.0,8.0,1.0,0.0,0.0
111,2.0,3.0,0.6666666666666666,1.0,0.2
112,11.0,13.0,0.8461538461538461,2.0,0.08333333333333333
113,7.0,7.0,1.0,0.0,0.0
114,2.0,2.0,1.0,0.0,0.0
115,1.0,1.0,1.0,0.0,0.0
116,9.0,9.0,1.0,0.0,0.0
117,1.0,1.0,1.0,0.0,0.0
118,1.0,2.0,0.5,1.0,0.3333333333333333
119,4.0,2.0,0.5,2.0,0.3333333333333333
120,1.0,3.0,0.3333333333333333,2.0,0.5
121,1.0,1.0,1.0,0.0,0.0
122,4.0,4.0,1.0,0.0,0.0
123,6.0,11.0,0.5454545454545454,5.0,0.29411764705882354
124,25.0,25.0,1.0,0.0,0.0
125,7.0,7.0,1.0,0.0,0.0
126,1.0,1.0,1.0,0.0,0.0
127,1.0,1.0,1.0,0.0,0.0
128,2.0,4.0,0.5,2.0,0.3333333333333333
129,4.0,5.0,0.8,1.0,0.1111111111111111
130,5.0,4.0,0.8,1.0,0.1111111111111111
131,3.0,3.0,1.0,0.0,0.0
132,12.0,12.0,1.0,0.0,0.0
133,1.0,1.0,1.0,0.0,0.0
134,11.0,11.0,1.0,0.0,0.0
135,3.0,3.0,1.0,0.0,0.0
136,17.0,17.0,1.0,0.0,0.0
137,1.0,1.0,1.0,0.0,0.0
138,1.0,1.0,1.0,0.0,0.0
139,5.0,1.0,0.2,4.0,0.6666666666666666
140,5.0,5.0,1.0,0.0,0.0
141,1.0,1.0,1.0,0.0,0.0
142,4.0,4.0,1.0,0.0,0.0
143,2.0,2.0,1.0,0.0,0.0
144,1.0,1.0,1.0,0.0,0.0
145,8.0,8.0,1.0,0.0,0.0
146,1.0,1.0,1.0,0.0,0.0
147,1.0,1.0,1.0,0.0,0.0
148,30.0,30.0,1.0,0.0,0.0
149,8.0,8.0,1.0,0.0,0.0
150,1.0,1.0,1.0,0.0,0.0
151,11.0,11.0,1.0,0.0,0.0
152,5.0,7.0,0.7142857142857143,2.0,0.16666666666666666
153,3.0,3.0,1.0,0.0,0.0
154,1.0,1.0,1.0,0.0,0.0
155,1.0,5.0,0.2,4.0,0.6666666666666666
156,12.0,12.0,1.0,0.0,0.0
157,10.0,9.0,0.8999999999999999,1.0,0.05263157894736842
158,1.0,1.0,1.0,0.0,0.0
159,2.0,2.0,1.0,0.0,0.0
160,1.0,3.0,0.3333333333333333,2.0,0.5
161,12.0,12.0,1.0,0.0,0.0
162,15.0,8.0,0.5333333333333333,7.0,0.30434782608695654
163,6.0,7.0,0.8571428571428571,1.0,0.07692307692307693
164,1.0,1.0,1.0,0.0,0.0
165,18.0,10.0,0.5555555555555556,8.0,0.2857142857142857
166,2.0,2.0,1.0,0.0,0.0
167,10.0,10.0,1.0,0.0,0.0
168,1.0,1.0,1.0,0.0,0.0
169,3.0,2.0,0.6666666666666666,1.0,0.2
170,3.0,3.0,1.0,0.0,0.0
171,2.0,3.0,0.6666666666666666,1.0,0.2
172,20.0,19.0,0.9500000000000001,1.0,0.02564102564102564
173,4.0,4.0,1.0,0.0,0.0
174,1.0,1.0,1.0,0.0,0.0
175,1.0,1.0,1.0,0.0,0.0
176,21.0,21.0,1.0,0.0,0.0
177,23.0,23.0,1.0,0.0,0.0
178,15.0,15.0,1.0,0.0,0.0
179,14.0,14.0,1.0,0.0,0.0
180,1.0,3.0,0.3333333333333333,2.0,0.5
181,2.0,2.0,1.0,0.0,0.0
182,1.0,1.0,1.0,0.0,0.0
183,3.0,3.0,1.0,0.0,0.0
184,1.0,1.0,1.0,0.0,0.0
185,17.0,17.0,1.0,0.0,0.0
186,10.0,1.0,0.1,9.0,0.8181818181818182
187,6.0,6.0,1.0,0.0,0.0
188,3.0,3.0,1.0,0.0,0.0
189,4.0,4.0,1.0,0.0,0.0
190,7.0,7.0,1.0,0.0,0.0
191,22.0,24.0,0.9166666666666666,2.0,0.043478260869565216
192,1.0,1.0,1.0,0.0,0.0
193,7.0,7.0,1.0,0.0,0.0
194,1.0,1.0,1.0,0.0,0.0
195,4.0,4.0,1.0,0.0,0.0
196,11.0,,,,
197,3.0,3.0,1.0,0.0,0.0
198,1.0,4.0,0.25,3.0,0.6
199,10.0,10.0,1.0,0.0,0.0
200,8.0,8.0,1.0,0.0,0.0
201,2.0,1.0,0.5,1.0,0.3333333333333333
202,7.0,7.0,1.0,0.0,0.0
203,,1.0,,,
204,5.0,5.0,1.0,0.0,0.0
205,4.0,4.0,1.0,0.0,0.0
206,5.0,1.0,0.2,4.0,0.6666666666666666
207,4.0,4.0,1.0,0.0,0.0
208,6.0,6.0,1.0,0.0,0.0
209,1.0,1.0,1.0,0.0,0.0
210,3.0,11.0,0.2727272727272727,8.0,0.5714285714285714
211,2.0,6.0,0.3333333333333333,4.0,0.5
212,6.0,6.0,1.0,0.0,0.0
213,10.0,10.0,1.0,0.0,0.0
214,2.0,2.0,1.0,0.0,0.0
215,1.0,1.0,1.0,0.0,0.0
216,9.0,8.0,0.8888888888888888,1.0,0.058823529411764705
217,4.0,4.0,1.0,0.0,0.0
218,1.0,1.0,1.0,0.0,0.0
219,5.0,5.0,1.0,0.0,0.0
220,12.0,12.0,1.0,0.0,0.0
221,11.0,11.0,1.0,0.0,0.0
222,1.0,1.0,1.0,0.0,0.0
223,3.0,1.0,0.3333333333333333,2.0,0.5
224,14.0,14.0,1.0,0.0,0.0
225,28.0,28.0,1.0,0.0,0.0
226,1.0,4.0,0.25,3.0,0.6
227,2.0,4.0,0.5,2.0,0.3333333333333333
228,3.0,3.0,1.0,0.0,0.0
229,4.0,4.0,1.0,0.0,0.0
230,1.0,1.0,1.0,0.0,0.0
231,1.0,1.0,1.0,0.0,0.0
232,4.0,4.0,1.0,0.0,0.0
233,6.0,6.0,1.0,0.0,0.0
234,14.0,14.0,1.0,0.0,0.0
235,2.0,2.0,1.0,0.0,0.0
236,23.0,23.0,1.0,0.0,0.0
237,1.0,2.0,0.5,1.0,0.3333333333333333
238,6.0,6.0,1.0,0.0,0.0
239,4.0,4.0,1.0,0.0,0.0
240,1.0,1.0,1.0,0.0,0.0
241,5.0,5.0,1.0,0.0,0.0
242,5.0,5.0,1.0,0.0,0.0
243,4.0,4.0,1.0,0.0,0.0
244,12.0,12.0,1.0,0.0,0.0
245,3.0,3.0,1.0,0.0,0.0
246,28.0,30.0,0.9333333333333333,2.0,0.034482758620689655
247,1.0,1.0,1.0,0.0,0.0
248,1.0,1.0,1.0,0.0,0.0
249,1.0,1.0,1.0,0.0,0.0
250,10.0,11.0,0.9090909090909091,1.0,0.047619047619047616
251,4.0,4.0,1.0,0.0,0.0
252,4.0,4.0,1.0,0.0,0.0
253,2.0,2.0,1.0,0.0,0.0
254,17.0,17.0,1.0,0.0,0.0
255,4.0,16.0,0.25,12.0,0.6
256,8.0,8.0,1.0,0.0,0.0
257,1.0,1.0,1.0,0.0,0.0
258,10.0,10.0,1.0,0.0,0.0
259,,2.0,,,
260,22.0,22.0,1.0,0.0,0.0
261,22.0,20.0,0.9090909090909091,2.0,0.047619047619047616
262,1.0,6.0,0.16666666666666666,5.0,0.7142857142857143
263,2.0,2.0,1.0,0.0,0.0
264,1.0,1.0,1.0,0.0,0.0
265,5.0,1.0,0.2,4.0,0.6666666666666666
266,1.0,15.0,0.06666666666666667,14.0,0.875
267,2.0,2.0,1.0,0.0,0.0
268,17.0,17.0,1.0,0.0,0.0
269,2.0,1.0,0.5,1.0,0.3333333333333333
270,10.0,10.0,1.0,0.0,0.0
271,3.0,3.0,1.0,0.0,0.0
272,2.0,2.0,1.0,0.0,0.0
273,17.0,17.0,1.0,0.0,0.0
274,2.0,1.0,0.5,1.0,0.3333333333333333
275,11.0,11.0,1.0,0.0,0.0
276,6.0,6.0,1.0,0.0,0.0
277,14.0,12.0,0.8571428571428571,2.0,0.07692307692307693
278,5.0,5.0,1.0,0.0,0.0
279,1.0,1.0,1.0,0.0,0.0
280,5.0,5.0,1.0,0.0,0.0
281,1.0,6.0,0.16666666666666666,5.0,0.7142857142857143
282,1.0,1.0,1.0,0.0,0.0
283,11.0,17.0,0.6470588235294118,6.0,0.21428571428571427
284,12.0,12.0,1.0,0.0,0.0
285,6.0,6.0,1.0,0.0,0.0
286,,28.0,,,
287,1.0,1.0,1.0,0.0,0.0
288,11.0,11.0,1.0,0.0,0.0
289,1.0,1.0,1.0,0.0,0.0
290,1.0,2.0,0.5,1.0,0.3333333333333333
291,12.0,12.0,1.0,0.0,0.0
292,7.0,4.0,0.5714285714285714,3.0,0.2727272727272727
293,2.0,2.0,1.0,0.0,0.0
294,3.0,3.0,1.0,0.0,0.0
295,3.0,2.0,0.6666666666666666,1.0,0.2
296,1.0,2.0,0.5,1.0,0.3333333333333333
297,1.0,1.0,1.0,0.0,0.0
298,3.0,3.0,1.0,0.0,0.0
299,2.0,3.0,0.6666666666666666,1.0,0.2
300,4.0,4.0,1.0,0.0,0.0
301,2.0,1.0,0.5,1.0,0.3333333333333333
302,1.0,1.0,1.0,0.0,0.0
303,1.0,2.0,0.5,1.0,0.3333333333333333
304,20.0,20.0,1.0,0.0,0.0
305,20.0,12.0,0.6,8.0,0.25
306,4.0,7.0,0.5714285714285714,3.0,0.2727272727272727
307,1.0,9.0,0.1111111111111111,8.0,0.8
308,4.0,4.0,1.0,0.0,0.0
309,1.0,1.0,1.0,0.0,0.0
310,13.0,13.0,1.0,0.0,0.0
311,11.0,10.0,0.9090909090909091,1.0,0.047619047619047616
312,9.0,9.0,1.0,0.0,0.0
313,5.0,5.0,1.0,0.0,0.0
314,7.0,7.0,1.0,0.0,0.0
315,16.0,23.0,0.6956521739130435,7.0,0.1794871794871795
316,3.0,3.0,1.0,0.0,0.0
317,1.0,2.0,0.5,1.0,0.3333333333333333
318,17.0,17.0,1.0,0.0,0.0
319,10.0,10.0,1.0,0.0,0.0
320,1.0,1.0,1.0,0.0,0.0
321,13.0,13.0,1.0,0.0,0.0
322,1.0,1.0,1.0,0.0,0.0
323,2.0,2.0,1.0,0.0,0.0
324,8.0,8.0,1.0,0.0,0.0
325,4.0,4.0,1.0,0.0,0.0
326,6.0,6.0,1.0,0.0,0.0
327,8.0,8.0,1.0,0.0,0.0
328,5.0,5.0,1.0,0.0,0.0
329,10.0,8.0,0.8,2.0,0.1111111111111111
330,2.0,2.0,1.0,0.0,0.0
331,13.0,13.0,1.0,0.0,0.0
332,4.0,3.0,0.75,1.0,0.14285714285714285
333,6.0,5.0,0.8333333333333334,1.0,0.09090909090909091
334,24.0,24.0,1.0,0.0,0.0
335,5.0,5.0,1.0,0.0,0.0
336,12.0,12.0,1.0,0.0,0.0
337,1.0,3.0,0.3333333333333333,2.0,0.5
338,17.0,17.0,1.0,0.0,0.0
339,7.0,9.0,0.7777777777777778,2.0,0.125
340,5.0,4.0,0.8,1.0,0.1111111111111111
341,4.0,4.0,1.0,0.0,0.0
342,10.0,10.0,1.0,0.0,0.0
343,3.0,3.0,1.0,0.0,0.0
344,15.0,15.0,1.0,0.0,0.0
345,5.0,5.0,1.0,0.0,0.0
346,17.0,17.0,1.0,0.0,0.0
347,6.0,6.0,1.0,0.0,0.0
348,2.0,2.0,1.0,0.0,0.0
349,13.0,13.0,1.0,0.0,0.0
350,1.0,1.0,1.0,0.0,0.0
351,1.0,5.0,0.2,4.0,0.6666666666666666
352,10.0,3.0,0.3,7.0,0.5384615384615384
353,2.0,1.0,0.5,1.0,0.3333333333333333
354,11.0,11.0,1.0,0.0,0.0
355,4.0,4.0,1.0,0.0,0.0
356,9.0,9.0,1.0,0.0,0.0
357,11.0,6.0,0.5454545454545455,5.0,0.29411764705882354
358,6.0,7.0,0.8571428571428571,1.0,0.07692307692307693
359,4.0,4.0,1.0,0.0,0.0
360,1.0,2.0,0.5,1.0,0.3333333333333333
361,11.0,11.0,1.0,0.0,0.0
362,4.0,4.0,1.0,0.0,0.0
363,1.0,1.0,1.0,0.0,0.0
364,14.0,14.0,1.0,0.0,0.0
365,4.0,4.0,1.0,0.0,0.0
366,1.0,1.0,1.0,0.0,0.0
367,10.0,10.0,1.0,0.0,0.0
368,3.0,1.0,0.3333333333333333,2.0,0.5
369,1.0,2.0,0.5,1.0,0.3333333333333333
370,9.0,9.0,1.0,0.0,0.0
371,7.0,7.0,1.0,0.0,0.0
372,5.0,5.0,1.0,0.0,0.0
373,1.0,1.0,1.0,0.0,0.0
374,14.0,14.0,1.0,0.0,0.0
375,12.0,11.0,0.9166666666666667,1.0,0.043478260869565216
376,8.0,8.0,1.0,0.0,0.0
377,1.0,25.0,0.04,24.0,0.9230769230769231
378,1.0,1.0,1.0,0.0,0.0
379,4.0,5.0,0.8,1.0,0.1111111111111111
380,25.0,25.0,1.0,0.0,0.0
381,1.0,1.0,1.0,0.0,0.0
382,1.0,1.0,1.0,0.0,0.0
383,2.0,4.0,0.5,2.0,0.3333333333333333
384,6.0,6.0,1.0,0.0,0.0
385,1.0,1.0,1.0,0.0,0.0
386,8.0,8.0,1.0,0.0,0.0
387,1.0,11.0,0.09090909090909091,10.0,0.8333333333333334
388,1.0,1.0,1.0,0.0,0.0
389,1.0,1.0,1.0,0.0,0.0
390,18.0,18.0,1.0,0.0,0.0
391,5.0,5.0,1.0,0.0,0.0
392,6.0,6.0,1.0,0.0,0.0
393,11.0,11.0,1.0,0.0,0.0
394,1.0,1.0,1.0,0.0,0.0
395,1.0,1.0,1.0,0.0,0.0
396,5.0,5.0,1.0,0.0,0.0
397,1.0,1.0,1.0,0.0,0.0
398,6.0,6.0,1.0,0.0,0.0
399,1.0,1.0,1.0,0.0,0.0
400,6.0,,,,
401,6.0,6.0,1.0,0.0,0.0
402,2.0,1.0,0.5,1.0,0.3333333333333333
403,1.0,1.0,1.0,0.0,0.0
404,1.0,1.0,1.0,0.0,0.0
405,4.0,4.0,1.0,0.0,0.0
406,18.0,18.0,1.0,0.0,0.0
407,1.0,1.0,1.0,0.0,0.0
408,3.0,2.0,0.6666666666666666,1.0,0.2
409,6.0,6.0,1.0,0.0,0.0
410,1.0,3.0,0.3333333333333333,2.0,0.5
411,5.0,11.0,0.45454545454545453,6.0,0.375
412,1.0,1.0,1.0,0.0,0.0
413,1.0,1.0,1.0,0.0,0.0
414,3.0,3.0,1.0,0.0,0.0
415,6.0,6.0,1.0,0.0,0.0
416,8.0,8.0,1.0,0.0,0.0
417,1.0,1.0,1.0,0.0,0.0
418,4.0,4.0,1.0,0.0,0.0
419,22.0,22.0,1.0,0.0,0.0
420,4.0,4.0,1.0,0.0,0.0
421,1.0,2.0,0.5,1.0,0.3333333333333333
422,22.0,20.0,0.9090909090909091,2.0,0.047619047619047616
423,1.0,1.0,1.0,0.0,0.0
424,1.0,1.0,1.0,0.0,0.0
425,1.0,1.0,1.0,0.0,0.0
426,1.0,1.0,1.0,0.0,0.0
427,,1.0,,,
428,3.0,2.0,0.6666666666666666,1.0,0.2
429,1.0,1.0,1.0,0.0,0.0
430,,28.0,,,
431,2.0,1.0,0.5,1.0,0.3333333333333333
432,6.0,6.0,1.0,0.0,0.0
433,19.0,19.0,1.0,0.0,0.0
434,6.0,6.0,1.0,0.0,0.0
435,13.0,4.0,0.3076923076923077,9.0,0.5294117647058824
436,1.0,1.0,1.0,0.0,0.0
437,6.0,6.0,1.0,0.0,0.0
438,1.0,1.0,1.0,0.0,0.0
439,5.0,8.0,0.625,3.0,0.23076923076923078
440,4.0,4.0,1.0,0.0,0.0
441,1.0,1.0,1.0,0.0,0.0
442,1.0,1.0,1.0,0.0,0.0
443,6.0,6.0,1.0,0.0,0.0
444,13.0,11.0,0.8461538461538461,2.0,0.08333333333333333
445,2.0,2.0,1.0,0.0,0.0
446,1.0,1.0,1.0,0.0,0.0
447,23.0,23.0,1.0,0.0,0.0
448,1.0,2.0,0.5,1.0,0.3333333333333333
449,10.0,10.0,1.0,0.0,0.0
450,1.0,3.0,0.3333333333333333,2.0,0.5
451,1.0,9.0,0.1111111111111111,8.0,0.8
452,1.0,1.0,1.0,0.0,0.0
453,10.0,10.0,1.0,0.0,0.0
454,2.0,2.0,1.0,0.0,0.0
455,5.0,5.0,1.0,0.0,0.0
456,7.0,7.0,1.0,0.0,0.0
457,1.0,1.0,1.0,0.0,0.0
458,8.0,8.0,1.0,0.0,0.0
459,11.0,11.0,1.0,0.0,0.0
460,1.0,1.0,1.0,0.0,0.0
461,10.0,9.0,0.8999999999999999,1.0,0.05263157894736842
462,13.0,23.0,0.5652173913043478,10.0,0.2777777777777778
463,10.0,3.0,0.3,7.0,0.5384615384615384
464,12.0,12.0,1.0,0.0,0.0
465,22.0,,,,
466,9.0,10.0,0.9,1.0,0.05263157894736842
467,4.0,4.0,1.0,0.0,0.0
468,1.0,2.0,0.5,1.0,0.3333333333333333
469,2.0,4.0,0.5,2.0,0.3333333333333333
470,2.0,5.0,0.4,3.0,0.42857142857142855
471,28.0,28.0,1.0,0.0,0.0
472,3.0,3.0,1.0,0.0,0.0
473,5.0,5.0,1.0,0.0,0.0
474,4.0,4.0,1.0,0.0,0.0
475,2.0,2.0,1.0,0.0,0.0
476,1.0,1.0,1.0,0.0,0.0
477,1.0,2.0,0.5,1.0,0.3333333333333333
478,2.0,3.0,0.6666666666666666,1.0,0.2
479,1.0,1.0,1.0,0.0,0.0
480,,5.0,,,
481,2.0,,,,
482,2.0,1.0,0.5,1.0,0.3333333333333333
483,1.0,1.0,1.0,0.0,0.0
484,5.0,7.0,0.7142857142857143,2.0,0.16666666666666666
485,21.0,21.0,1.0,0.0,0.0
486,7.0,4.0,0.5714285714285714,3.0,0.2727272727272727
487,11.0,11.0,1.0,0.0,0.0
488,10.0,14.0,0.7142857142857143,4.0,0.16666666666666666
489,1.0,1.0,1.0,0.0,0.0
490,4.0,3.0,0.75,1.0,0.14285714285714285
491,20.0,22.0,0.9090909090909091,2.0,0.047619047619047616
492,1.0,1.0,1.0,0.0,0.0
493,15.0,16.0,0.9375,1.0,0.03225806451612903
494,1.0,1.0,1.0,0.0,0.0
495,1.0,3.0,0.3333333333333333,2.0,0.5
496,1.0,1.0,1.0,0.0,0.0
497,7.0,7.0,1.0,0.0,0.0
498,9.0,1.0,0.1111111111111111,8.0,0.8
499,6.0,6.0,1.0,0.0,0.0
500,2.0,1.0,0.5,1.0,0.3333333333333333
501,9.0,9.0,1.0,0.0,0.0
502,7.0,7.0,1.0,0.0,0.0
503,5.0,5.0,1.0,0.0,0.0
504,2.0,2.0,1.0,0.0,0.0
505,1.0,1.0,1.0,0.0,0.0
506,17.0,17.0,1.0,0.0,0.0
507,2.0,2.0,1.0,0.0,0.0
508,1.0,1.0,1.0,0.0,0.0
509,11.0,11.0,1.0,0.0,0.0
510,3.0,2.0,0.6666666666666666,1.0,0.2
511,3.0,3.0,1.0,0.0,0.0
512,2.0,12.0,0.16666666666666666,10.0,0.7142857142857143
513,7.0,7.0,1.0,0.0,0.0
514,30.0,28.0,0.9333333333333333,2.0,0.034482758620689655
515,,3.0,,,
516,5.0,5.0,1.0,0.0,0.0
517,13.0,13.0,1.0,0.0,0.0
518,7.0,7.0,1.0,0.0,0.0
519,4.0,4.0,1.0,0.0,0.0
520,3.0,1.0,0.3333333333333333,2.0,0.5
521,5.0,13.0,0.38461538461538464,8.0,0.4444444444444444
522,1.0,1.0,1.0,0.0,0.0
523,1.0,1.0,1.0,0.0,0.0
524,1.0,1.0,1.0,0.0,0.0
525,3.0,2.0,0.6666666666666666,1.0,0.2
526,8.0,2.0,0.25,6.0,0.6
527,9.0,9.0,1.0,0.0,0.0
528,26.0,26.0,1.0,0.0,0.0
529,4.0,4.0,1.0,0.0,0.0
530,19.0,23.0,0.8260869565217391,4.0,0.09523809523809523
531,17.0,17.0,1.0,0.0,0.0
532,19.0,19.0,1.0,0.0,0.0
533,2.0,2.0,1.0,0.0,0.0
534,3.0,4.0,0.75,1.0,0.14285714285714285
535,2.0,2.0,1.0,0.0,0.0
536,5.0,1.0,0.2,4.0,0.6666666666666666
537,3.0,5.0,0.6,2.0,0.25
538,7.0,7.0,1.0,0.0,0.0
539,12.0,12.0,1.0,0.0,0.0
540,8.0,8.0,1.0,0.0,0.0
541,5.0,5.0,1.0,0.0,0.0
542,1.0,1.0,1.0,0.0,0.0
543,8.0,8.0,1.0,0.0,0.0
544,11.0,11.0,1.0,0.0,0.0
545,1.0,1.0,1.0,0.0,0.0
546,6.0,6.0,1.0,0.0,0.0
547,1.0,1.0,1.0,0.0,0.0
548,7.0,7.0,1.0,0.0,0.0
549,2.0,2.0,1.0,0.0,0.0
550,7.0,4.0,0.5714285714285714,3.0,0.2727272727272727
551,2.0,2.0,1.0,0.0,0.0
552,3.0,3.0,1.0,0.0,0.0
553,7.0,8.0,0.875,1.0,0.06666666666666667
554,10.0,9.0,0.8999999999999999,1.0,0.05263157894736842
555,1.0,1.0,1.0,0.0,0.0
556,8.0,5.0,0.625,3.0,0.23076923076923078
557,1.0,1.0,1.0,0.0,0.0
558,2.0,4.0,0.5,2.0,0.3333333333333333
559,20.0,24.0,0.8333333333333334,4.0,0.09090909090909091
560,4.0,2.0,0.5,2.0,0.3333333333333333
561,4.0,6.0,0.6666666666666666,2.0,0.2
562,1.0,1.0,1.0,0.0,0.0
563,4.0,1.0,0.25,3.0,0.6
564,2.0,1.0,0.5,1.0,0.3333333333333333
565,4.0,5.0,0.8,1.0,0.1111111111111111
566,20.0,20.0,1.0,0.0,0.0
567,1.0,1.0,1.0,0.0,0.0
568,14.0,14.0,1.0,0.0,0.0
569,1.0,1.0,1.0,0.0,0.0
570,1.0,1.0,1.0,0.0,0.0
571,9.0,10.0,0.9,1.0,0.05263157894736842
572,1.0,2.0,0.5,1.0,0.3333333333333333
573,2.0,2.0,1.0,0.0,0.0
574,1.0,2.0,0.5,1.0,0.3333333333333333
575,2.0,1.0,0.5,1.0,0.3333333333333333
576,9.0,10.0,0.9,1.0,0.05263157894736842
577,5.0,5.0,1.0,0.0,0.0
578,7.0,7.0,1.0,0.0,0.0
579,12.0,12.0,1.0,0.0,0.0
580,6.0,6.0,1.0,0.0,0.0
581,2.0,2.0,1.0,0.0,0.0
582,1.0,1.0,1.0,0.0,0.0
583,1.0,1.0,1.0,0.0,0.0
584,10.0,10.0,1.0,0.0,0.0
585,3.0,3.0,1.0,0.0,0.0
586,6.0,5.0,0.8333333333333334,1.0,0.09090909090909091
587,1.0,1.0,1.0,0.0,0.0
