,core1,core2,core3
379,2.0,5.0,9.0
380,39.0,44.0,47.0
381,0.0,1.0,4.0
382,0.0,4.0,1.0
383,1.0,2.0,5.0
384,3.0,9.0,14.0
385,0.0,6.0,1.0
386,8.0,15.0,11.0
387,0.0,1.0,27.0
388,0.0,1.0,4.0
389,0.0,1.0,5.0
390,22.0,31.0,29.0
391,4.0,5.0,5.0
392,6.0,15.0,7.0
393,12.0,14.0,17.0
394,0.0,1.0,10.0
395,0.0,5.0,1.0
396,4.0,7.0,5.0
397,0.0,5.0,4.0
398,6.0,7.0,8.0
399,0.0,4.0,1.0
400,5.0,8.0,7.0
401,5.0,7.0,10.0
402,0.0,6.0,1.0
403,0.0,1.0,4.0
404,0.0,5.0,1.0
405,4.0,20.0,5.0
406,25.0,29.0,31.0
407,0.0,4.0,1.0
408,2.0,7.0,4.0
409,6.0,11.0,7.0
410,0.0,1.0,19.0
411,4.0,6.0,18.0
412,0.0,5.0,1.0
413,0.0,4.0,1.0
414,2.0,5.0,4.0
415,5.0,6.0,11.0
416,7.0,8.0,8.0
417,0.0,6.0,1.0
418,4.0,5.0,5.0
419,25.0,27.0,34.0
420,3.0,7.0,4.0
421,0.0,1.0,5.0
422,19.0,33.0,23.0
423,0.0,1.0,13.0
424,0.0,1.0,6.0
425,0.0,6.0,1.0
426,0.0,4.0,1.0
427,0.0,6.0,1.0
428,1.0,4.0,2.0
429,0.0,1.0,4.0
430,29.0,32.0,31.0
431,0.0,4.0,1.0
432,6.0,7.0,7.0
433,20.0,21.0,24.0
434,8.0,9.0,9.0
435,3.0,16.0,8.0
436,0.0,4.0,1.0
437,4.0,30.0,10.0
438,0.0,5.0,1.0
439,4.0,6.0,16.0
440,3.0,4.0,5.0
441,0.0,1.0,4.0
442,0.0,1.0,4.0
443,4.0,6.0,6.0
444,11.0,16.0,12.0
445,0.0,5.0,4.0
446,0.0,1.0,5.0
447,22.0,23.0,33.0
448,0.0,1.0,5.0
449,10.0,11.0,11.0
450,0.0,1.0,19.0
451,0.0,1.0,18.0
452,0.0,5.0,1.0
453,11.0,12.0,15.0
454,2.0,5.0,7.0
455,4.0,5.0,9.0
456,7.0,10.0,13.0
457,0.0,1.0,6.0
458,7.0,8.0,9.0
459,11.0,15.0,13.0
460,0.0,7.0,1.0
461,9.0,12.0,10.0
462,11.0,13.0,33.0
463,2.0,12.0,3.0
464,12.0,15.0,14.0
465,23.0,36.0,27.0
466,11.0,14.0,20.0
467,3.0,4.0,4.0
468,0.0,1.0,6.0
469,1.0,2.0,7.0
470,1.0,2.0,8.0
471,27.0,30.0,31.0
472,2.0,5.0,3.0
473,4.0,7.0,5.0
474,3.0,4.0,5.0
475,1.0,4.0,3.0
476,0.0,5.0,1.0
477,0.0,1.0,5.0
478,1.0,2.0,4.0
479,0.0,1.0,4.0
480,4.0,5.0,5.0
481,1.0,4.0,2.0
482,0.0,8.0,1.0
483,0.0,4.0,1.0
484,4.0,5.0,11.0
485,23.0,25.0,26.0
486,3.0,14.0,4.0
487,11.0,15.0,12.0
488,9.0,12.0,19.0
489,0.0,1.0,4.0
490,1.0,9.0,3.0
491,2.0,23.0,28.0
492,0.0,1.0,4.0
493,19.0,38.0,28.0
494,0.0,1.0,4.0
495,0.0,1.0,13.0
496,0.0,6.0,1.0
497,10.0,12.0,13.0
498,0.0,36.0,1.0
499,6.0,8.0,9.0
500,0.0,15.0,1.0
501,9.0,12.0,10.0
502,6.0,11.0,7.0
503,4.0,8.0,5.0
504,1.0,2.0,5.0
505,0.0,4.0,1.0
506,17.0,36.0,22.0
507,0.0,4.0,2.0
508,0.0,1.0,4.0
509,10.0,11.0,11.0
510,1.0,6.0,2.0
511,2.0,3.0,4.0
512,1.0,2.0,19.0
513,6.0,7.0,11.0
514,27.0,41.0,34.0
515,2.0,4.0,6.0
516,3.0,6.0,7.0
517,16.0,25.0,17.0
518,7.0,9.0,8.0
519,3.0,5.0,5.0
520,0.0,12.0,1.0
521,5.0,8.0,20.0
522,0.0,6.0,1.0
523,0.0,1.0,5.0
524,0.0,1.0,6.0
525,1.0,5.0,2.0
526,1.0,12.0,2.0
527,9.0,12.0,22.0
528,25.0,26.0,27.0
529,4.0,6.0,23.0
530,21.0,22.0,32.0
531,19.0,20.0,20.0
532,24.0,25.0,27.0
533,0.0,6.0,2.0
534,2.0,3.0,5.0
535,3.0,4.0,4.0
536,0.0,7.0,5.0
537,2.0,4.0,7.0
538,10.0,13.0,12.0
539,14.0,15.0,19.0
540,2.0,9.0,32.0
541,4.0,6.0,5.0
542,0.0,7.0,1.0
543,8.0,11.0,10.0
544,14.0,15.0,15.0
545,0.0,6.0,1.0
546,5.0,6.0,7.0
547,0.0,4.0,1.0
548,6.0,9.0,8.0
549,2.0,6.0,3.0
550,2.0,11.0,4.0
551,0.0,2.0,4.0
552,0.0,15.0,3.0
553,0.0,8.0,32.0
554,10.0,19.0,14.0
555,0.0,10.0,1.0
556,3.0,10.0,5.0
557,0.0,1.0,4.0
558,1.0,2.0,6.0
559,19.0,27.0,51.0
560,0.0,5.0,2.0
561,3.0,6.0,11.0
562,0.0,4.0,1.0
563,0.0,6.0,1.0
564,0.0,5.0,1.0
565,3.0,4.0,6.0
566,27.0,38.0,31.0
567,0.0,1.0,5.0
568,18.0,19.0,19.0
569,0.0,4.0,1.0
570,0.0,4.0,1.0
571,9.0,10.0,15.0
572,0.0,1.0,6.0
573,1.0,4.0,2.0
574,0.0,1.0,5.0
575,0.0,9.0,1.0
576,10.0,13.0,15.0
577,4.0,5.0,5.0
578,6.0,9.0,8.0
579,14.0,19.0,22.0
580,5.0,6.0,7.0
581,0.0,5.0,2.0
582,0.0,1.0,4.0
583,0.0,5.0,1.0
584,10.0,11.0,11.0
585,1.0,3.0,15.0
586,4.0,11.0,6.0
587,0.0,12.0,1.0
588,37.0,88.0,42.0
589,0.0,1.0,10.0
590,12.0,13.0,13.0
591,19.0,40.0,49.0
592,5.0,9.0,15.0
593,3.0,7.0,4.0
594,0.0,7.0,1.0
595,0.0,4.0,1.0
596,3.0,5.0,4.0
597,18.0,22.0,22.0
598,1.0,9.0,2.0
599,0.0,6.0,1.0
600,0.0,8.0,1.0
601,12.0,13.0,17.0
602,39.0,44.0,43.0
603,0.0,1.0,6.0
604,0.0,4.0,4.0
605,0.0,4.0,1.0
606,0.0,7.0,1.0
607,15.0,22.0,18.0
608,11.0,16.0,12.0
609,2.0,3.0,14.0
610,10.0,11.0,11.0
611,1.0,2.0,4.0
612,8.0,11.0,11.0
613,1.0,2.0,18.0
614,0.0,8.0,1.0
615,3.0,4.0,4.0
616,0.0,9.0,1.0
617,0.0,4.0,1.0
618,8.0,19.0,15.0
619,1.0,9.0,2.0
620,1.0,5.0,2.0
621,9.0,19.0,10.0
622,9.0,10.0,11.0
623,6.0,7.0,23.0
624,4.0,6.0,5.0
625,6.0,14.0,10.0
626,0.0,4.0,1.0
627,3.0,45.0,14.0
628,18.0,22.0,20.0
629,14.0,18.0,18.0
630,0.0,4.0,4.0
631,0.0,1.0,5.0
632,0.0,4.0,1.0
633,0.0,6.0,1.0
634,0.0,1.0,52.0
635,0.0,1.0,5.0
636,1.0,3.0,5.0
637,12.0,13.0,13.0
638,8.0,9.0,9.0
639,0.0,1.0,11.0
640,12.0,29.0,15.0
641,0.0,2.0,7.0
642,0.0,20.0,1.0
643,9.0,14.0,18.0
644,0.0,1.0,8.0
645,3.0,13.0,9.0
646,5.0,7.0,17.0
647,5.0,6.0,6.0
648,0.0,8.0,1.0
649,1.0,6.0,2.0
650,0.0,1.0,13.0
651,0.0,2.0,24.0
652,0.0,1.0,33.0
653,0.0,4.0,1.0
654,24.0,32.0,25.0
655,0.0,1.0,4.0
656,0.0,5.0,2.0
657,5.0,22.0,6.0
658,3.0,28.0,8.0
659,0.0,5.0,1.0
660,11.0,13.0,25.0
661,13.0,15.0,22.0
662,30.0,50.0,49.0
663,0.0,1.0,4.0
664,0.0,11.0,1.0
665,1.0,6.0,2.0
666,2.0,3.0,4.0
667,0.0,4.0,1.0
668,0.0,2.0,7.0
669,3.0,4.0,4.0
670,5.0,7.0,13.0
671,24.0,49.0,41.0
672,3.0,5.0,6.0
673,0.0,8.0,1.0
674,3.0,4.0,6.0
675,0.0,6.0,2.0
676,5.0,6.0,8.0
677,0.0,2.0,13.0
678,0.0,29.0,1.0
679,1.0,4.0,2.0
680,0.0,1.0,5.0
681,3.0,8.0,4.0
682,5.0,6.0,6.0
683,2.0,9.0,5.0
684,0.0,2.0,5.0
685,0.0,4.0,1.0
686,0.0,7.0,2.0
687,14.0,16.0,26.0
688,6.0,11.0,8.0
689,24.0,38.0,31.0
690,0.0,1.0,7.0
691,10.0,21.0,11.0
692,1.0,8.0,2.0
693,0.0,1.0,5.0
694,0.0,4.0,1.0
695,27.0,30.0,31.0
696,8.0,12.0,9.0
697,1.0,5.0,21.0
698,0.0,1.0,12.0
699,0.0,1.0,7.0
700,1.0,2.0,5.0
701,1.0,2.0,22.0
702,4.0,5.0,8.0
703,3.0,7.0,8.0
704,12.0,15.0,13.0
705,0.0,1.0,19.0
706,3.0,9.0,4.0
707,0.0,1.0,11.0
708,4.0,11.0,15.0
709,2.0,6.0,5.0
710,19.0,22.0,22.0
711,10.0,13.0,12.0
712,5.0,8.0,9.0
713,7.0,8.0,13.0
714,7.0,18.0,11.0
715,15.0,31.0,17.0
716,0.0,1.0,5.0
717,1.0,5.0,2.0
718,4.0,5.0,5.0
719,0.0,4.0,1.0
720,10.0,23.0,13.0
721,5.0,6.0,8.0
722,19.0,34.0,28.0
723,0.0,4.0,2.0
724,0.0,1.0,5.0
725,11.0,12.0,13.0
726,3.0,4.0,13.0
727,4.0,6.0,5.0
728,11.0,12.0,19.0
729,0.0,1.0,5.0
730,0.0,4.0,1.0
731,4.0,6.0,6.0
732,0.0,1.0,6.0
733,0.0,1.0,5.0
734,14.0,15.0,15.0
735,12.0,16.0,16.0
736,5.0,12.0,7.0
737,0.0,5.0,1.0
738,0.0,1.0,14.0
739,14.0,16.0,20.0
740,0.0,30.0,2.0
741,0.0,1.0,4.0
742,6.0,7.0,8.0
743,0.0,8.0,3.0
744,0.0,1.0,7.0
745,14.0,45.0,15.0
746,1.0,2.0,4.0
747,5.0,7.0,6.0
748,11.0,22.0,13.0
749,2.0,3.0,7.0
750,0.0,1.0,4.0
751,0.0,4.0,8.0
752,0.0,4.0,1.0
753,0.0,1.0,16.0
754,0.0,1.0,6.0
755,0.0,1.0,12.0
756,3.0,4.0,4.0
757,0.0,4.0,1.0
758,23.0,27.0,24.0
759,18.0,21.0,25.0
760,7.0,8.0,8.0
761,0.0,6.0,1.0
762,0.0,5.0,1.0
763,19.0,24.0,49.0
764,0.0,7.0,1.0
765,6.0,11.0,8.0
766,1.0,6.0,3.0
767,4.0,5.0,5.0
768,5.0,8.0,7.0
769,14.0,30.0,17.0
770,15.0,18.0,22.0
771,5.0,6.0,8.0
772,18.0,20.0,22.0
773,4.0,11.0,6.0
774,0.0,1.0,6.0
775,0.0,1.0,4.0
776,18.0,20.0,20.0
777,26.0,27.0,27.0
778,0.0,1.0,4.0
779,0.0,1.0,18.0
780,30.0,32.0,32.0
781,9.0,19.0,15.0
782,4.0,7.0,5.0
783,0.0,1.0,4.0
784,3.0,5.0,12.0
785,0.0,5.0,5.0
786,12.0,13.0,22.0
787,2.0,7.0,5.0
788,0.0,1.0,4.0
789,1.0,6.0,5.0
790,1.0,2.0,5.0
791,0.0,1.0,8.0
792,0.0,1.0,4.0
793,0.0,4.0,1.0
794,1.0,12.0,3.0
795,0.0,1.0,5.0
796,0.0,2.0,4.0
797,0.0,1.0,6.0
798,0.0,1.0,5.0
799,4.0,6.0,6.0
800,0.0,4.0,1.0
801,0.0,5.0,1.0
802,8.0,9.0,11.0
803,10.0,15.0,12.0
804,5.0,7.0,6.0
805,0.0,1.0,6.0
806,0.0,1.0,10.0
807,10.0,16.0,11.0
808,5.0,27.0,7.0
809,10.0,31.0,16.0
810,8.0,11.0,31.0
811,28.0,49.0,31.0
812,4.0,5.0,5.0
813,5.0,21.0,6.0
814,0.0,8.0,4.0
815,5.0,19.0,10.0
816,2.0,4.0,8.0
817,25.0,26.0,27.0
818,0.0,1.0,5.0
819,1.0,2.0,15.0
820,18.0,23.0,50.0
821,5.0,6.0,7.0
822,5.0,7.0,7.0
823,0.0,4.0,1.0
824,6.0,7.0,11.0
825,20.0,27.0,66.0
826,2.0,4.0,4.0
827,3.0,4.0,8.0
828,0.0,1.0,6.0
829,11.0,12.0,19.0
830,0.0,4.0,2.0
831,0.0,6.0,1.0
832,0.0,4.0,5.0
833,0.0,7.0,10.0
834,14.0,17.0,16.0
835,12.0,13.0,14.0
836,11.0,15.0,15.0
837,8.0,11.0,11.0
838,1.0,2.0,5.0
839,0.0,4.0,14.0
840,1.0,2.0,4.0
841,4.0,6.0,5.0
842,0.0,1.0,5.0
843,0.0,1.0,5.0
844,0.0,1.0,17.0
845,0.0,5.0,61.0
846,13.0,16.0,15.0
847,0.0,6.0,1.0
848,2.0,6.0,3.0
849,0.0,2.0,146.0
850,5.0,6.0,6.0
851,4.0,5.0,11.0
852,21.0,38.0,53.0
853,0.0,2.0,7.0
854,0.0,14.0,1.0
855,0.0,5.0,1.0
856,3.0,4.0,5.0
857,9.0,11.0,11.0
858,12.0,13.0,13.0
859,9.0,11.0,12.0
860,0.0,1.0,4.0
861,0.0,4.0,1.0
862,1.0,2.0,5.0
863,13.0,20.0,15.0
864,10.0,12.0,11.0
865,0.0,4.0,26.0
866,0.0,1.0,5.0
867,3.0,4.0,6.0
868,3.0,4.0,4.0
869,9.0,16.0,12.0
870,0.0,5.0,1.0
871,0.0,2.0,4.0
872,0.0,1.0,4.0
873,17.0,25.0,24.0
874,3.0,5.0,8.0
875,3.0,4.0,5.0
876,0.0,6.0,1.0
877,0.0,1.0,20.0
878,0.0,1.0,6.0
879,0.0,4.0,1.0
880,0.0,5.0,6.0
881,25.0,26.0,27.0
882,1.0,56.0,2.0
883,0.0,1.0,5.0
884,2.0,4.0,4.0
885,5.0,7.0,6.0
886,4.0,8.0,5.0
887,12.0,13.0,17.0
888,1.0,3.0,7.0
889,0.0,13.0,5.0
890,1.0,5.0,2.0
891,6.0,8.0,7.0
892,3.0,9.0,4.0
893,0.0,4.0,1.0
894,0.0,1.0,6.0
895,10.0,12.0,11.0
896,6.0,7.0,7.0
897,3.0,13.0,4.0
898,0.0,1.0,5.0
899,9.0,11.0,11.0
900,3.0,4.0,14.0
901,0.0,1.0,4.0
902,3.0,5.0,5.0
903,24.0,27.0,37.0
904,13.0,23.0,39.0
905,0.0,1.0,6.0
906,0.0,7.0,1.0
907,5.0,6.0,6.0
908,8.0,12.0,14.0
909,6.0,10.0,7.0
910,29.0,31.0,32.0
911,20.0,22.0,23.0
912,21.0,42.0,35.0
913,3.0,4.0,6.0
914,5.0,6.0,7.0
915,8.0,13.0,12.0
916,4.0,5.0,5.0
917,10.0,17.0,13.0
918,1.0,2.0,4.0
919,7.0,8.0,13.0
920,0.0,4.0,1.0
921,18.0,20.0,20.0
922,10.0,16.0,13.0
923,1.0,2.0,4.0
924,33.0,40.0,34.0
925,0.0,1.0,29.0
926,0.0,8.0,1.0
927,0.0,7.0,15.0
928,0.0,1.0,5.0
929,0.0,1.0,6.0
930,0.0,1.0,4.0
931,1.0,6.0,9.0
932,4.0,43.0,5.0
933,0.0,6.0,1.0
934,16.0,18.0,17.0
935,31.0,41.0,40.0
936,8.0,10.0,9.0
937,4.0,6.0,13.0
938,0.0,1.0,5.0
939,0.0,1.0,5.0
940,0.0,1.0,8.0
941,10.0,17.0,11.0
942,0.0,1.0,4.0
943,1.0,4.0,18.0
944,2.0,3.0,4.0
945,0.0,1.0,7.0
946,9.0,17.0,14.0
947,1.0,4.0,2.0
948,2.0,16.0,3.0
949,4.0,6.0,8.0
950,1.0,15.0,46.0
951,3.0,7.0,4.0
952,0.0,11.0,1.0
953,20.0,22.0,23.0
954,0.0,2.0,25.0
955,1.0,8.0,5.0
956,0.0,1.0,5.0
957,3.0,4.0,6.0
958,1.0,2.0,4.0
959,0.0,1.0,4.0
960,0.0,6.0,1.0
961,0.0,1.0,4.0
962,1.0,8.0,2.0
963,9.0,11.0,13.0
964,13.0,25.0,16.0
965,4.0,8.0,8.0
966,4.0,8.0,5.0
967,1.0,4.0,5.0
968,2.0,6.0,5.0
969,0.0,10.0,1.0
970,15.0,16.0,19.0
971,32.0,36.0,36.0
972,0.0,4.0,1.0
973,1.0,6.0,9.0
974,3.0,7.0,4.0
975,14.0,16.0,16.0
976,0.0,4.0,1.0
977,14.0,29.0,20.0
978,5.0,7.0,7.0
979,5.0,6.0,9.0
980,0.0,4.0,26.0
981,18.0,21.0,21.0
982,2.0,3.0,4.0
983,0.0,8.0,1.0
984,5.0,6.0,9.0
985,0.0,2.0,7.0
986,0.0,4.0,1.0
987,5.0,6.0,7.0
988,0.0,4.0,1.0
989,1.0,6.0,8.0
990,0.0,1.0,7.0
991,9.0,13.0,11.0
992,12.0,34.0,15.0
993,0.0,5.0,2.0
994,0.0,7.0,1.0
995,0.0,1.0,4.0
996,1.0,7.0,2.0
997,0.0,4.0,1.0
