,q1_neigh,q2_neigh,common_neigh,distinct_neigh,clique_size,shortest_path
93,1.0,13.0,0.0,14.0,2.0,10.0
94,5.0,4.0,3.0,6.0,5.0,2.0
95,31.0,32.0,29.0,34.0,27.0,2.0
96,8.0,1.0,0.0,9.0,2.0,10.0
97,4.0,5.0,3.0,6.0,5.0,2.0
98,8.0,9.0,7.0,10.0,6.0,2.0
99,6.0,6.0,5.0,7.0,6.0,2.0
100,4.0,1.0,0.0,5.0,3.0,10.0
101,44.0,30.0,26.0,48.0,25.0,2.0
102,4.0,30.0,0.0,34.0,3.0,3.0
103,2.0,4.0,1.0,5.0,3.0,2.0
104,6.0,1.0,0.0,7.0,2.0,10.0
105,9.0,1.0,0.0,10.0,3.0,10.0
106,6.0,6.0,5.0,7.0,7.0,2.0
107,1.0,4.0,0.0,5.0,2.0,10.0
108,4.0,1.0,0.0,5.0,2.0,10.0
109,6.0,1.0,0.0,7.0,2.0,10.0
110,15.0,15.0,13.0,17.0,9.0,2.0
111,2.0,30.0,1.0,31.0,3.0,2.0
112,11.0,14.0,10.0,15.0,12.0,2.0
113,11.0,10.0,8.0,13.0,8.0,2.0
114,4.0,4.0,1.0,7.0,3.0,2.0
115,1.0,7.0,0.0,8.0,2.0,10.0
116,18.0,56.0,8.0,66.0,10.0,2.0
117,1.0,4.0,0.0,5.0,2.0,10.0
118,1.0,8.0,0.0,9.0,2.0,10.0
119,6.0,2.0,1.0,7.0,5.0,2.0
120,1.0,7.0,0.0,8.0,2.0,10.0
121,13.0,1.0,0.0,14.0,2.0,10.0
122,5.0,4.0,3.0,6.0,5.0,2.0
123,6.0,16.0,5.0,17.0,7.0,2.0
124,49.0,38.0,35.0,52.0,26.0,2.0
125,12.0,8.0,7.0,13.0,8.0,2.0
126,1.0,4.0,0.0,5.0,2.0,10.0
127,1.0,5.0,0.0,6.0,2.0,10.0
128,2.0,5.0,0.0,7.0,2.0,3.0
129,6.0,6.0,3.0,9.0,5.0,2.0
130,8.0,4.0,3.0,9.0,6.0,2.0
131,7.0,10.0,0.0,17.0,3.0,3.0
132,15.0,20.0,12.0,23.0,12.0,2.0
133,1.0,4.0,0.0,5.0,2.0,10.0
134,11.0,12.0,10.0,13.0,12.0,2.0
135,4.0,3.0,2.0,5.0,4.0,2.0
136,28.0,31.0,23.0,36.0,12.0,2.0
137,1.0,4.0,0.0,5.0,2.0,10.0
138,2.0,5.0,0.0,7.0,2.0,10.0
139,26.0,1.0,0.0,27.0,6.0,10.0
140,8.0,7.0,4.0,11.0,6.0,2.0
141,4.0,5.0,0.0,9.0,2.0,10.0
142,5.0,5.0,3.0,7.0,5.0,2.0
143,2.0,15.0,0.0,17.0,2.0,3.0
144,5.0,1.0,0.0,6.0,2.0,10.0
145,13.0,8.0,7.0,14.0,8.0,2.0
146,4.0,4.0,0.0,8.0,2.0,10.0
147,1.0,8.0,0.0,9.0,2.0,10.0
148,41.0,41.0,30.0,52.0,31.0,2.0
149,11.0,10.0,9.0,12.0,9.0,2.0
150,1.0,4.0,0.0,5.0,2.0,10.0
151,19.0,16.0,10.0,25.0,11.0,2.0
152,6.0,14.0,5.0,15.0,6.0,2.0
153,5.0,7.0,3.0,9.0,4.0,2.0
154,4.0,1.0,0.0,5.0,2.0,10.0
155,1.0,7.0,0.0,8.0,2.0,10.0
156,12.0,12.0,11.0,13.0,13.0,2.0
157,14.0,10.0,8.0,16.0,11.0,2.0
158,1.0,5.0,0.0,6.0,2.0,10.0
159,2.0,8.0,0.0,10.0,2.0,3.0
160,1.0,19.0,0.0,20.0,2.0,10.0
161,14.0,13.0,12.0,15.0,13.0,2.0
162,23.0,8.0,7.0,24.0,15.0,2.0
163,7.0,9.0,5.0,11.0,6.0,2.0
164,1.0,4.0,0.0,5.0,2.0,10.0
165,27.0,17.0,12.0,32.0,19.0,2.0
166,2.0,4.0,1.0,5.0,3.0,2.0
167,11.0,13.0,10.0,14.0,11.0,2.0
168,4.0,1.0,0.0,5.0,2.0,10.0
169,19.0,2.0,1.0,20.0,3.0,2.0
170,4.0,16.0,0.0,20.0,2.0,3.0
171,2.0,4.0,1.0,5.0,3.0,2.0
172,45.0,28.0,19.0,54.0,20.0,2.0
173,5.0,4.0,3.0,6.0,5.0,2.0
174,7.0,1.0,0.0,8.0,2.0,10.0
175,1.0,4.0,0.0,5.0,2.0,10.0
176,26.0,25.0,23.0,28.0,22.0,2.0
177,25.0,27.0,23.0,29.0,24.0,2.0
178,19.0,18.0,16.0,21.0,15.0,2.0
179,20.0,22.0,19.0,23.0,15.0,2.0
180,1.0,7.0,0.0,8.0,2.0,10.0
181,2.0,4.0,1.0,5.0,3.0,2.0
182,2.0,5.0,0.0,7.0,2.0,10.0
183,3.0,6.0,2.0,7.0,4.0,2.0
184,9.0,1.0,0.0,10.0,2.0,10.0
185,26.0,37.0,19.0,44.0,12.0,2.0
186,44.0,1.0,0.0,45.0,11.0,10.0
187,10.0,7.0,5.0,12.0,6.0,2.0
188,4.0,11.0,0.0,15.0,2.0,3.0
189,6.0,7.0,4.0,9.0,5.0,2.0
190,7.0,22.0,6.0,23.0,8.0,2.0
191,29.0,41.0,25.0,45.0,23.0,2.0
192,4.0,1.0,0.0,5.0,2.0,10.0
193,7.0,8.0,6.0,9.0,8.0,2.0
194,1.0,4.0,0.0,5.0,2.0,10.0
195,6.0,5.0,3.0,8.0,5.0,2.0
196,19.0,12.0,11.0,20.0,12.0,2.0
197,5.0,5.0,3.0,7.0,4.0,2.0
198,1.0,10.0,0.0,11.0,2.0,10.0
199,18.0,16.0,10.0,24.0,10.0,2.0
200,9.0,11.0,8.0,12.0,9.0,2.0
201,19.0,1.0,0.0,20.0,3.0,10.0
202,10.0,10.0,8.0,12.0,8.0,2.0
203,8.0,1.0,0.0,9.0,3.0,10.0
204,5.0,7.0,4.0,8.0,6.0,2.0
205,4.0,5.0,3.0,6.0,5.0,2.0
206,6.0,1.0,0.0,7.0,6.0,10.0
207,4.0,4.0,3.0,5.0,5.0,2.0
208,10.0,10.0,8.0,12.0,7.0,2.0
209,1.0,8.0,0.0,9.0,2.0,10.0
210,3.0,16.0,2.0,17.0,4.0,2.0
211,2.0,28.0,0.0,30.0,2.0,3.0
212,7.0,7.0,0.0,14.0,7.0,3.0
213,10.0,10.0,9.0,11.0,11.0,2.0
214,4.0,6.0,1.0,9.0,3.0,2.0
215,1.0,6.0,0.0,7.0,2.0,10.0
216,24.0,11.0,6.0,29.0,9.0,2.0
217,5.0,4.0,3.0,6.0,5.0,2.0
218,4.0,1.0,0.0,5.0,2.0,10.0
219,9.0,6.0,5.0,10.0,6.0,2.0
220,17.0,17.0,16.0,18.0,13.0,2.0
221,14.0,15.0,12.0,17.0,12.0,2.0
222,2.0,5.0,0.0,7.0,2.0,10.0
223,9.0,1.0,0.0,10.0,4.0,10.0
224,17.0,22.0,14.0,25.0,15.0,2.0
225,33.0,33.0,32.0,34.0,27.0,2.0
226,1.0,7.0,0.0,8.0,2.0,10.0
227,5.0,6.0,1.0,10.0,3.0,2.0
228,5.0,4.0,2.0,7.0,4.0,2.0
229,4.0,4.0,3.0,5.0,5.0,2.0
230,5.0,1.0,0.0,6.0,2.0,10.0
231,4.0,1.0,0.0,5.0,2.0,10.0
232,4.0,11.0,0.0,15.0,4.0,3.0
233,7.0,10.0,6.0,11.0,7.0,2.0
234,19.0,15.0,14.0,20.0,15.0,2.0
235,4.0,5.0,2.0,7.0,3.0,2.0
236,144.0,34.0,32.0,146.0,24.0,2.0
237,1.0,4.0,0.0,5.0,2.0,10.0
238,7.0,9.0,5.0,11.0,7.0,2.0
239,6.0,7.0,3.0,10.0,5.0,2.0
240,5.0,1.0,0.0,6.0,2.0,10.0
241,6.0,6.0,5.0,7.0,6.0,2.0
242,5.0,6.0,4.0,7.0,6.0,2.0
243,6.0,4.0,3.0,7.0,5.0,2.0
244,12.0,13.0,11.0,14.0,13.0,2.0
245,6.0,7.0,2.0,11.0,3.0,2.0
246,40.0,47.0,31.0,56.0,28.0,2.0
247,1.0,6.0,0.0,7.0,2.0,10.0
248,1.0,4.0,0.0,5.0,2.0,10.0
249,5.0,1.0,0.0,6.0,2.0,10.0
250,12.0,18.0,10.0,20.0,11.0,2.0
251,4.0,7.0,3.0,8.0,5.0,2.0
252,4.0,4.0,3.0,5.0,5.0,2.0
253,2.0,6.0,1.0,7.0,3.0,2.0
254,19.0,18.0,17.0,20.0,18.0,2.0
255,5.0,20.0,0.0,25.0,5.0,3.0
256,8.0,8.0,7.0,9.0,9.0,2.0
257,7.0,1.0,0.0,8.0,2.0,10.0
258,10.0,13.0,9.0,14.0,11.0,2.0
259,6.0,9.0,2.0,13.0,3.0,2.0
260,24.0,27.0,23.0,28.0,23.0,2.0
261,30.0,23.0,20.0,33.0,23.0,2.0
262,1.0,19.0,0.0,20.0,2.0,10.0
263,5.0,7.0,0.0,12.0,2.0,5.0
264,4.0,1.0,0.0,5.0,2.0,10.0
265,19.0,1.0,0.0,20.0,6.0,10.0
266,1.0,38.0,0.0,39.0,2.0,10.0
267,14.0,2.0,0.0,16.0,2.0,3.0
268,24.0,21.0,20.0,25.0,17.0,2.0
269,7.0,1.0,0.0,8.0,3.0,10.0
270,52.0,22.0,14.0,60.0,9.0,2.0
271,4.0,4.0,2.0,6.0,4.0,2.0
272,4.0,2.0,1.0,5.0,3.0,2.0
273,25.0,19.0,16.0,28.0,18.0,2.0
274,7.0,1.0,0.0,8.0,3.0,10.0
275,36.0,20.0,14.0,42.0,12.0,2.0
276,8.0,12.0,3.0,17.0,5.0,2.0
277,19.0,15.0,11.0,23.0,15.0,2.0
278,5.0,6.0,4.0,7.0,6.0,2.0
279,1.0,4.0,0.0,5.0,2.0,10.0
280,7.0,5.0,4.0,8.0,6.0,2.0
281,1.0,7.0,0.0,8.0,2.0,10.0
282,1.0,4.0,0.0,5.0,2.0,10.0
283,12.0,24.0,11.0,25.0,12.0,2.0
284,16.0,12.0,11.0,17.0,13.0,2.0
285,8.0,19.0,6.0,21.0,7.0,2.0
286,29.0,32.0,24.0,37.0,23.0,2.0
287,8.0,1.0,0.0,9.0,2.0,10.0
288,12.0,13.0,11.0,14.0,12.0,2.0
289,8.0,1.0,0.0,9.0,2.0,10.0
290,1.0,5.0,0.0,6.0,2.0,10.0
291,13.0,19.0,12.0,20.0,13.0,2.0
292,22.0,5.0,3.0,24.0,8.0,2.0
293,2.0,6.0,1.0,7.0,3.0,2.0
294,4.0,3.0,2.0,5.0,4.0,2.0
295,4.0,2.0,1.0,5.0,4.0,2.0
296,1.0,16.0,0.0,17.0,2.0,10.0
297,1.0,6.0,0.0,7.0,2.0,10.0
298,4.0,4.0,2.0,6.0,4.0,2.0
299,2.0,7.0,0.0,9.0,2.0,3.0
300,5.0,4.0,3.0,6.0,5.0,2.0
301,6.0,1.0,0.0,7.0,3.0,10.0
302,4.0,7.0,0.0,11.0,2.0,10.0
303,1.0,6.0,0.0,7.0,2.0,10.0
304,34.0,25.0,19.0,40.0,19.0,2.0
305,49.0,17.0,13.0,53.0,20.0,2.0
306,10.0,11.0,3.0,18.0,4.0,2.0
307,1.0,18.0,0.0,19.0,2.0,10.0
308,4.0,9.0,3.0,10.0,5.0,2.0
309,1.0,5.0,0.0,6.0,2.0,10.0
310,25.0,20.0,18.0,27.0,13.0,2.0
311,14.0,24.0,9.0,29.0,12.0,2.0
312,12.0,9.0,8.0,13.0,10.0,2.0
313,6.0,7.0,4.0,9.0,6.0,2.0
314,7.0,8.0,6.0,9.0,8.0,2.0
315,32.0,41.0,16.0,57.0,17.0,2.0
316,5.0,4.0,2.0,7.0,4.0,2.0
317,1.0,18.0,0.0,19.0,2.0,10.0
318,24.0,21.0,20.0,25.0,17.0,2.0
319,21.0,12.0,9.0,24.0,11.0,2.0
320,7.0,1.0,0.0,8.0,2.0,10.0
321,24.0,14.0,12.0,26.0,13.0,2.0
322,6.0,1.0,0.0,7.0,2.0,10.0
323,16.0,2.0,0.0,18.0,2.0,3.0
324,15.0,17.0,8.0,24.0,6.0,2.0
325,4.0,4.0,3.0,5.0,5.0,2.0
326,6.0,7.0,5.0,8.0,7.0,2.0
327,9.0,9.0,7.0,11.0,9.0,2.0
328,7.0,6.0,5.0,8.0,6.0,2.0
329,16.0,8.0,7.0,17.0,11.0,2.0
330,2.0,9.0,0.0,11.0,2.0,3.0
331,13.0,13.0,12.0,14.0,14.0,2.0
332,5.0,3.0,2.0,6.0,5.0,2.0
333,7.0,5.0,4.0,8.0,7.0,2.0
334,51.0,41.0,24.0,68.0,25.0,2.0
335,5.0,5.0,4.0,6.0,6.0,2.0
336,17.0,17.0,14.0,20.0,13.0,2.0
337,1.0,40.0,0.0,41.0,2.0,10.0
338,20.0,22.0,17.0,25.0,17.0,2.0
339,9.0,13.0,6.0,16.0,8.0,2.0
340,10.0,8.0,6.0,12.0,6.0,2.0
341,4.0,4.0,3.0,5.0,5.0,2.0
342,14.0,13.0,12.0,15.0,10.0,2.0
343,26.0,20.0,2.0,44.0,3.0,2.0
344,19.0,21.0,16.0,24.0,15.0,2.0
345,7.0,9.0,5.0,11.0,6.0,2.0
346,23.0,23.0,14.0,32.0,10.0,2.0
347,9.0,10.0,8.0,11.0,7.0,2.0
348,7.0,2.0,1.0,8.0,3.0,2.0
349,20.0,25.0,14.0,31.0,14.0,2.0
350,4.0,4.0,0.0,8.0,2.0,10.0
351,1.0,26.0,0.0,27.0,2.0,10.0
352,12.0,3.0,1.0,14.0,9.0,2.0
353,5.0,1.0,0.0,6.0,3.0,10.0
354,12.0,20.0,10.0,22.0,10.0,2.0
355,4.0,4.0,3.0,5.0,5.0,2.0
356,11.0,11.0,10.0,12.0,10.0,2.0
357,15.0,8.0,6.0,17.0,12.0,2.0
358,6.0,8.0,5.0,9.0,7.0,2.0
359,9.0,4.0,3.0,10.0,5.0,2.0
360,1.0,7.0,0.0,8.0,2.0,10.0
361,15.0,12.0,11.0,16.0,12.0,2.0
362,4.0,4.0,3.0,5.0,5.0,2.0
363,4.0,1.0,0.0,5.0,2.0,10.0
364,18.0,18.0,17.0,19.0,15.0,2.0
365,7.0,5.0,4.0,8.0,5.0,2.0
366,1.0,7.0,0.0,8.0,2.0,10.0
367,10.0,12.0,9.0,13.0,10.0,2.0
368,11.0,1.0,0.0,12.0,4.0,10.0
369,1.0,77.0,0.0,78.0,2.0,10.0
370,14.0,14.0,12.0,16.0,10.0,2.0
371,7.0,7.0,6.0,8.0,8.0,2.0
372,8.0,7.0,5.0,10.0,5.0,2.0
373,1.0,5.0,0.0,6.0,2.0,10.0
374,20.0,16.0,13.0,23.0,15.0,2.0
375,25.0,16.0,13.0,28.0,12.0,2.0
376,12.0,10.0,7.0,15.0,9.0,2.0
377,1.0,49.0,0.0,50.0,2.0,10.0
378,1.0,4.0,0.0,5.0,2.0,10.0
379,5.0,9.0,2.0,12.0,4.0,2.0
380,44.0,47.0,39.0,52.0,26.0,2.0
381,1.0,4.0,0.0,5.0,2.0,10.0
382,4.0,1.0,0.0,5.0,2.0,10.0
383,2.0,5.0,1.0,6.0,3.0,2.0
384,9.0,14.0,3.0,20.0,6.0,2.0
385,6.0,1.0,0.0,7.0,2.0,10.0
386,15.0,11.0,8.0,18.0,8.0,2.0
387,1.0,27.0,0.0,28.0,2.0,10.0
388,1.0,4.0,0.0,5.0,2.0,10.0
389,1.0,5.0,0.0,6.0,2.0,10.0
390,31.0,29.0,22.0,38.0,17.0,2.0
391,5.0,5.0,4.0,6.0,6.0,2.0
392,15.0,7.0,6.0,16.0,7.0,2.0
393,14.0,17.0,12.0,19.0,11.0,2.0
394,1.0,10.0,0.0,11.0,2.0,10.0
395,5.0,1.0,0.0,6.0,2.0,10.0
396,7.0,5.0,4.0,8.0,6.0,2.0
397,5.0,4.0,0.0,9.0,2.0,10.0
398,7.0,8.0,6.0,9.0,7.0,2.0
399,4.0,1.0,0.0,5.0,2.0,10.0
400,8.0,7.0,5.0,10.0,7.0,2.0
401,7.0,10.0,5.0,12.0,6.0,2.0
402,6.0,1.0,0.0,7.0,3.0,10.0
403,1.0,4.0,0.0,5.0,2.0,10.0
404,5.0,1.0,0.0,6.0,2.0,10.0
405,20.0,5.0,4.0,21.0,5.0,2.0
406,29.0,31.0,25.0,35.0,19.0,2.0
407,4.0,1.0,0.0,5.0,2.0,10.0
408,7.0,4.0,2.0,9.0,4.0,2.0
409,11.0,7.0,6.0,12.0,7.0,2.0
410,1.0,19.0,0.0,20.0,2.0,10.0
411,6.0,18.0,4.0,20.0,6.0,2.0
412,5.0,1.0,0.0,6.0,2.0,10.0
413,4.0,1.0,0.0,5.0,2.0,10.0
414,5.0,4.0,2.0,7.0,4.0,2.0
415,6.0,11.0,5.0,12.0,7.0,2.0
416,8.0,8.0,7.0,9.0,9.0,2.0
417,6.0,1.0,0.0,7.0,2.0,10.0
418,5.0,5.0,4.0,6.0,5.0,2.0
419,27.0,34.0,25.0,36.0,23.0,2.0
420,7.0,4.0,3.0,8.0,5.0,2.0
421,1.0,5.0,0.0,6.0,2.0,10.0
422,33.0,23.0,19.0,37.0,23.0,2.0
423,1.0,13.0,0.0,14.0,2.0,10.0
424,1.0,6.0,0.0,7.0,2.0,10.0
425,6.0,1.0,0.0,7.0,2.0,10.0
426,4.0,1.0,0.0,5.0,2.0,10.0
427,6.0,1.0,0.0,7.0,2.0,10.0
428,4.0,2.0,1.0,5.0,4.0,2.0
429,1.0,4.0,0.0,5.0,2.0,10.0
430,32.0,31.0,29.0,34.0,27.0,2.0
431,4.0,1.0,0.0,5.0,3.0,10.0
432,7.0,7.0,6.0,8.0,7.0,2.0
433,21.0,24.0,20.0,25.0,20.0,2.0
434,9.0,9.0,8.0,10.0,7.0,2.0
435,16.0,8.0,3.0,21.0,11.0,2.0
436,4.0,1.0,0.0,5.0,2.0,10.0
437,30.0,10.0,4.0,36.0,6.0,2.0
438,5.0,1.0,0.0,6.0,2.0,10.0
439,6.0,16.0,4.0,18.0,6.0,2.0
440,4.0,5.0,3.0,6.0,5.0,2.0
441,1.0,4.0,0.0,5.0,2.0,10.0
442,1.0,4.0,0.0,5.0,2.0,10.0
443,6.0,6.0,4.0,8.0,6.0,2.0
444,16.0,12.0,11.0,17.0,14.0,2.0
445,5.0,4.0,0.0,9.0,2.0,4.0
446,1.0,5.0,0.0,6.0,2.0,10.0
447,23.0,33.0,22.0,34.0,24.0,2.0
448,1.0,5.0,0.0,6.0,2.0,10.0
449,11.0,11.0,10.0,12.0,11.0,2.0
450,1.0,19.0,0.0,20.0,2.0,10.0
451,1.0,18.0,0.0,19.0,2.0,10.0
452,5.0,1.0,0.0,6.0,2.0,10.0
453,12.0,15.0,11.0,16.0,11.0,2.0
454,5.0,7.0,2.0,10.0,3.0,2.0
455,5.0,9.0,4.0,10.0,6.0,2.0
456,10.0,13.0,7.0,16.0,8.0,2.0
457,1.0,6.0,0.0,7.0,2.0,10.0
458,8.0,9.0,7.0,10.0,9.0,2.0
459,15.0,13.0,11.0,17.0,12.0,2.0
460,7.0,1.0,0.0,8.0,2.0,10.0
461,12.0,10.0,9.0,13.0,11.0,2.0
462,13.0,33.0,11.0,35.0,13.0,2.0
463,12.0,3.0,2.0,13.0,11.0,2.0
464,15.0,14.0,12.0,17.0,13.0,2.0
465,36.0,27.0,23.0,40.0,23.0,2.0
466,14.0,20.0,11.0,23.0,8.0,2.0
467,4.0,4.0,3.0,5.0,5.0,2.0
468,1.0,6.0,0.0,7.0,2.0,10.0
469,2.0,7.0,1.0,8.0,3.0,2.0
470,2.0,8.0,1.0,9.0,3.0,2.0
471,30.0,31.0,27.0,34.0,27.0,2.0
472,5.0,3.0,2.0,6.0,4.0,2.0
473,7.0,5.0,4.0,8.0,6.0,2.0
474,4.0,5.0,3.0,6.0,5.0,2.0
475,4.0,3.0,1.0,6.0,3.0,2.0
476,5.0,1.0,0.0,6.0,2.0,10.0
477,1.0,5.0,0.0,6.0,2.0,10.0
478,2.0,4.0,1.0,5.0,3.0,2.0
479,1.0,4.0,0.0,5.0,2.0,10.0
480,5.0,5.0,4.0,6.0,6.0,2.0
481,4.0,2.0,1.0,5.0,3.0,2.0
482,8.0,1.0,0.0,9.0,3.0,10.0
483,4.0,1.0,0.0,5.0,2.0,10.0
484,5.0,11.0,4.0,12.0,6.0,2.0
485,25.0,26.0,23.0,28.0,22.0,2.0
486,14.0,4.0,3.0,15.0,8.0,2.0
487,15.0,12.0,11.0,16.0,12.0,2.0
488,12.0,19.0,9.0,22.0,11.0,2.0
489,1.0,4.0,0.0,5.0,2.0,10.0
490,9.0,3.0,1.0,11.0,5.0,2.0
491,23.0,27.0,2.0,48.0,21.0,2.0
492,1.0,4.0,0.0,5.0,2.0,10.0
493,38.0,28.0,19.0,47.0,15.0,2.0
494,1.0,4.0,0.0,5.0,2.0,10.0
495,1.0,13.0,0.0,14.0,2.0,10.0
496,6.0,1.0,0.0,7.0,2.0,10.0
497,12.0,13.0,10.0,15.0,8.0,2.0
498,36.0,1.0,0.0,37.0,10.0,10.0
499,8.0,9.0,6.0,11.0,7.0,2.0
500,15.0,1.0,0.0,16.0,3.0,10.0
501,12.0,10.0,9.0,13.0,10.0,2.0
502,11.0,7.0,6.0,12.0,8.0,2.0
503,8.0,5.0,4.0,9.0,6.0,2.0
504,2.0,5.0,1.0,6.0,3.0,2.0
505,4.0,1.0,0.0,5.0,2.0,10.0
506,36.0,22.0,17.0,41.0,18.0,2.0
507,4.0,2.0,0.0,6.0,2.0,3.0
508,1.0,4.0,0.0,5.0,2.0,10.0
509,11.0,11.0,10.0,12.0,12.0,2.0
510,6.0,2.0,1.0,7.0,4.0,2.0
511,3.0,4.0,2.0,5.0,4.0,2.0
512,2.0,19.0,1.0,20.0,3.0,2.0
513,7.0,11.0,6.0,12.0,8.0,2.0
514,41.0,34.0,27.0,48.0,31.0,2.0
515,4.0,6.0,2.0,8.0,4.0,2.0
516,6.0,7.0,3.0,10.0,5.0,2.0
517,25.0,17.0,16.0,26.0,14.0,2.0
518,9.0,8.0,7.0,10.0,7.0,2.0
519,5.0,5.0,3.0,7.0,5.0,2.0
520,12.0,1.0,0.0,13.0,3.0,10.0
521,8.0,20.0,5.0,23.0,6.0,2.0
522,6.0,1.0,0.0,7.0,2.0,10.0
523,1.0,5.0,0.0,6.0,2.0,10.0
524,1.0,6.0,0.0,7.0,2.0,10.0
525,5.0,2.0,1.0,6.0,3.0,2.0
526,12.0,2.0,1.0,13.0,8.0,2.0
527,12.0,22.0,9.0,25.0,10.0,2.0
528,26.0,27.0,25.0,28.0,27.0,2.0
529,6.0,23.0,4.0,25.0,5.0,2.0
530,22.0,32.0,21.0,33.0,20.0,2.0
531,20.0,20.0,19.0,21.0,17.0,2.0
532,25.0,27.0,24.0,28.0,20.0,2.0
533,6.0,2.0,0.0,8.0,2.0,3.0
534,3.0,5.0,2.0,6.0,4.0,2.0
