q1_pr,q2_pr
6.006319688789594e-06,2.8480029663379847e-05
1.7624298925551642e-05,1.7624266858403443e-05
2.1904194709057694e-05,1.742529996045858e-05
1.0736815212867934e-05,4.817949502721076e-05
1.5164438406595136e-05,6.005064953241854e-05
7.848463298184557e-06,0.00011848026539716214
1.8637886471227463e-05,1.7483497566138605e-05
2.4589588136366497e-05,1.004356412815531e-05
1.5262448056122332e-05,1.8736059625569237e-05
1.1122940161343868e-05,4.036602692109119e-05
4.181626539606509e-05,2.8370360699673195e-05
1.2576110101461581e-05,2.3595775687829483e-05
2.102351483561922e-05,2.6273996721632632e-05
4.042344555929221e-05,1.1138012553871636e-05
8.496139471537916e-05,1.0085466387525189e-05
1.77108157599266e-05,6.515490677316234e-05
1.0692257656040074e-05,1.9162442167099634e-05
3.068476874016972e-05,2.012878425352234e-05
1.9333107997152185e-05,1.575600578537888e-05
6.389830106057152e-05,1.0307109787020012e-05
1.1142079707410874e-05,4.044258510535921e-05
2.2229570810859215e-05,2.153660099785403e-05
3.0029873884788043e-05,3.2061528143170484e-05
2.5938388030974463e-05,2.2887523096559056e-05
2.262947472973166e-05,2.9824395210493124e-05
7.373436286909893e-06,3.973863694201761e-05
1.2974945696360982e-05,2.4343381508510043e-05
1.7606350345480593e-05,4.429361781784074e-05
1.2872247020743353e-05,2.3469391093274954e-05
6.737389622878889e-05,8.910686027841862e-06
2.4588353878184804e-05,3.45780349687855e-05
0.00014431441732155818,5.33592252532487e-06
2.239459925846996e-05,1.615347060994874e-05
1.9567636858054436e-05,5.347567122180188e-05
2.2869294100330553e-05,2.820959839430951e-05
2.461628306181716e-05,0.00010707621124017404
1.9298054259353294e-05,2.539752046686745e-05
4.042344555929221e-05,1.1138012553871636e-05
1.7607349947318393e-05,1.981061715633284e-05
1.1122940161343868e-05,4.036602692109119e-05
2.853825987088658e-05,2.520652938145684e-05
3.477002823577395e-05,1.9739122875578055e-05
2.2545463795609165e-05,2.254310341223652e-05
7.162642609603213e-06,5.4285081921555104e-05
2.389499592384406e-05,2.201678029838113e-05
2.0789338061956006e-05,2.48347712482036e-05
0.00013746026387131586,8.697568493080908e-06
2.595140197648931e-05,2.622617752638203e-05
3.946714253460306e-05,6.741345263791329e-06
1.8951517751124558e-05,2.8966856908231987e-05
1.6799338859985068e-05,2.091907864659933e-05
1.8813710448115994e-05,5.21355816750101e-06
1.6986869150146937e-05,1.6986869150146937e-05
2.383979782657945e-05,2.4419284490485336e-05
1.016557562739031e-05,7.169454357523077e-05
7.147724857362446e-06,2.8090674231853688e-05
1.0343841080410403e-05,0.00011542240510412682
2.0077196275778194e-05,1.9705550052406765e-05
1.7840164974086406e-05,1.7840095720958092e-05
2.6992778793563864e-05,4.0626582956641104e-05
1.0489645951892614e-05,5.605846291320405e-05
3.329554168024791e-05,1.838168814642483e-05
2.0387672817436218e-05,1.7041646928203155e-05
4.03851664671582e-05,1.112856943959887e-05
3.087316669458062e-05,2.0400968170349533e-05
2.6426129769540407e-05,2.642580825010009e-05
2.125166997910294e-05,2.3321913672004092e-05
1.6186185788215874e-05,4.2874970869249364e-05
4.9251904871503336e-05,7.1995991659418e-06
2.5315735607995426e-05,3.094155354212072e-05
2.008856886494543e-05,2.0088523595834443e-05
6.556666754533331e-06,3.3012299616563556e-05
2.9323448007288843e-05,2.6471981553497482e-05
2.7749874280606846e-05,2.2755127424219757e-05
1.6986869150146937e-05,1.6986869150146937e-05
4.817949502721076e-05,1.073854452714787e-05
2.8943016531764338e-05,8.698074894110518e-06
1.6258599101775868e-05,5.2672059590255744e-05
2.2613478043154007e-05,3.6911125916495356e-05
2.518636092078968e-05,2.049145895969877e-05
2.8326246388560548e-05,3.563989028402719e-05
0.0004990593462122858,4.0332090879455944e-05
8.503123402730171e-06,2.802396720097944e-05
1.6401230357172937e-05,2.0352441437325547e-05
2.0526430977437304e-05,2.5371388583888528e-05
4.815907951140595e-05,1.073201156209033e-05
1.8809046757694453e-05,1.880888117193167e-05
1.903016917523525e-05,2.3923325685087502e-05
2.5950615613064917e-05,1.749382808344402e-05
1.8130341342932954e-05,1.955771018608173e-05
2.3588884055075797e-05,2.6740676237639275e-05
3.09548577228869e-05,4.3595469005715414e-05
9.684151254714126e-06,5.0372617991944136e-05
9.997564552932954e-06,3.505663143722783e-05
4.125092867704436e-05,9.560688247619583e-06
2.2883934622005674e-05,3.2469742895158446e-05
1.6517339484683666e-05,2.943521789301077e-05
1.799821248395955e-05,1.799834519898167e-05
1.2243880893356436e-05,3.4902447567599836e-05
2.3957647363856065e-05,2.2785895695545707e-05
1.1159587737243222e-05,2.512556372762546e-05
1.893877147674973e-05,1.8938853902645255e-05
6.374518469203546e-05,1.0285236020086288e-05
2.276136593542686e-05,2.8970904352479352e-05
4.412220075449942e-05,6.679608599871024e-05
2.435213676952337e-05,2.708957819555562e-05
2.2668113900147256e-05,1.7489716870196717e-05
5.705011508306618e-06,7.056781362341996e-05
3.025505490180479e-05,4.477955245677313e-05
2.8943016531764338e-05,8.698074894110518e-06
9.438909320178125e-05,6.77051411104508e-06
4.571710192351558e-06,9.046957893529294e-05
8.383030449072833e-05,1.2551375448911775e-05
2.721947384786318e-05,2.0966682964385965e-05
4.1325504960423995e-05,7.566637066802593e-06
0.0001761206808778233,4.815536329322916e-05
1.741151195136497e-05,1.7576182547205937e-05
2.4317684277484763e-05,1.295995990052383e-05
2.3641799807092842e-05,1.8617635887839307e-05
5.580485772825847e-05,9.323417191683516e-06
9.930486887022059e-05,3.123267268675932e-05
1.5070628817477212e-05,2.208156794902591e-05
2.231248953810982e-05,1.9539843039668504e-05
1.7413232034005424e-05,2.0655948176760636e-05
1.1122940161343868e-05,4.036602692109119e-05
2.783569620281514e-05,1.9040603068303148e-05
4.704002192378265e-06,1.7754433161378744e-05
1.0371746583804059e-05,3.681748805309185e-05
1.0882921248596595e-05,1.9207509635369432e-05
3.504562553187814e-05,2.04645630820353e-05
2.7672046685805255e-05,8.683717578649813e-05
2.2213710003917332e-05,1.9459801756805713e-05
7.158289622317322e-05,1.0152186154507526e-05
1.751079005783517e-05,1.8794770165188738e-05
7.167221410481924e-05,1.0163203121159086e-05
8.753041457276232e-06,3.649972096764726e-05
1.8373424769702822e-05,2.6646516887570084e-05
7.301312091383487e-05,1.7537524293973615e-05
1.108540005337333e-05,2.99745239589045e-05
1.882196669099569e-05,1.4567934965416121e-05
1.8054618789753754e-05,1.0221292217480264e-05
8.415727941080166e-06,0.00011045245484975249
9.269124333566118e-06,4.744301619560525e-05
2.2043194133927513e-05,2.3490435345600773e-05
1.406743300612275e-05,4.327736275398436e-05
2.394628106480695e-05,1.8466988312834294e-05
4.323982643239256e-05,8.67367245044432e-06
3.0167174359202082e-05,5.7666131853015404e-05
7.976768113401774e-06,3.8320501700327535e-05
2.321658665566283e-05,1.7602114484545733e-05
3.9902194524098616e-05,1.4178899122633027e-05
3.988140490235839e-05,2.9349033863853402e-05
5.259802546182923e-06,5.742576367752457e-05
1.625574315953468e-05,3.80787298929076e-05
1.0745485802521503e-05,4.822032605882037e-05
3.424454442570003e-05,2.4849495649062475e-05
2.9582484246491663e-05,7.940555054149644e-05
2.5058415728028987e-05,1.9289086396345086e-05
1.7082770507939776e-05,2.0103609700724932e-05
1.5885441734986247e-05,1.81099780695122e-05
3.6012796534856736e-05,4.696529415866204e-05
2.6973656805769895e-05,2.3490435345600773e-05
7.713293080034995e-06,0.00010937938859676761
2.721947384786318e-05,2.095347561818492e-05
3.375912170877348e-05,2.1560073474667445e-05
6.385455352670409e-05,1.0301797586478965e-05
3.0288728686648306e-05,1.917684463596678e-05
5.5994664426314036e-05,1.0479732167410195e-05
0.00010095182734257337,1.2932327205192961e-05
2.692590381950037e-05,3.070082735097536e-05
1.8489145354547817e-05,1.8489592078484512e-05
1.6229268222153774e-05,1.8572792186358003e-05
2.5978304484445996e-05,2.7401297636160615e-05
2.6494160091509752e-05,2.173116196398248e-05
3.5150447018582836e-05,1.919361288452189e-05
1.3435251946826323e-05,5.719729725430276e-05
1.6986869150146937e-05,1.6986869150146937e-05
2.3260870792378713e-05,1.4412102384386654e-05
1.6889362528032808e-05,1.2752476555766373e-05
3.228838626095906e-05,2.5397487093889455e-05
1.6986869150146937e-05,1.6986869150146937e-05
2.6268528984058983e-05,2.5405174756979736e-05
7.75608075605107e-06,0.0002450847239307779
2.0033581089958147e-05,2.257866305104527e-05
2.1770944832075415e-05,2.3699670471847676e-05
3.449738945019084e-05,3.0011211509019288e-05
1.7994441698372377e-05,1.799480848974991e-05
2.656235013559163e-05,2.4893891786304e-05
0.00015238529907671123,0.00011848087835383643
2.4594069958832546e-05,2.6453577329158078e-05
2.096246473333912e-05,3.237058232206524e-05
2.3222243423621946e-05,2.2251347195005196e-05
2.2176741303623476e-05,2.4514205406141785e-05
3.9878118164676706e-05,1.230029217610553e-05
2.4435943913943317e-05,2.8963104041349887e-05
3.682813542438595e-05,3.682842508320896e-05
7.1577348491607e-06,0.0001410027251677707
1.7649588476899558e-05,6.3251070394526794e-06
3.94965894334143e-05,9.261184751726936e-06
2.090637876862465e-05,3.242512175193165e-05
1.7995152512081878e-05,1.7994441698372377e-05
1.9975424163339676e-05,1.997541826423657e-05
2.522646065113519e-05,1.4524796007801366e-05
1.531482785032201e-05,1.9810875665798463e-05
5.0342420211331775e-05,1.9684078939462477e-05
9.308264036641773e-06,5.56667734594889e-05
3.241243857461912e-05,2.572996158190357e-05
1.878416990888178e-05,1.878350020026076e-05
4.036602692109119e-05,1.1122940161343868e-05
2.4416835906359835e-05,2.4416637900352564e-05
3.35661875706747e-05,2.382136649458699e-05
1.0307109787020012e-05,6.389830106057152e-05
2.1831613374967288e-05,2.5671388425967574e-05
5.223510195381714e-05,6.584379159862456e-06
8.216301340450172e-06,0.0005134786641534896
2.6243029870212006e-05,2.7987364294767314e-05
1.426751178328279e-05,1.4267512862869504e-05
1.8348370928493678e-05,1.6358705880781515e-05
1.0752427077895135e-05,4.826115709042997e-05
2.9208665803145285e-05,2.4532165347529053e-05
3.424556289843372e-05,2.1338927242560712e-05
3.1071681933679475e-05,2.3204325292310883e-05
3.5094537562299165e-06,5.5423230354924576e-05
9.76356480239756e-06,3.3957437798991314e-05
1.7861888532675585e-05,3.128604887129157e-05
3.016233287543244e-05,3.2457143628313925e-05
1.1138012553871636e-05,4.042344555929221e-05
4.042344555929221e-05,1.1138012553871636e-05
7.467531777502753e-06,1.41322244219672e-05
2.0471391882486945e-05,3.6951538609729156e-05
5.595213210172068e-05,1.0471392495921303e-05
2.3638175128782888e-05,1.8019439176079324e-05
4.72300508865076e-06,6.909440868485401e-05
1.1138012553871636e-05,4.042344555929221e-05
1.074895644020832e-05,4.8240741574625165e-05
2.8009853272299062e-05,2.882483620656362e-05
1.8145730431613343e-05,1.8146484801228173e-05
3.0307248877536282e-05,1.4314301731324915e-05
1.752674748386422e-05,2.09386658583665e-05
9.67963700929345e-06,8.38789653692977e-05
4.826115709042997e-05,1.0752427077895135e-05
3.0673766168051165e-05,2.045888687045928e-05
4.2722326758605845e-05,3.2095869407369194e-05
1.6702776742371316e-05,1.8868795502167577e-05
4.03851664671582e-05,1.112856943959887e-05
2.8142071243250183e-05,2.5145333379557834e-05
1.4314301731324915e-05,1.9662429593053312e-05
3.855499439654861e-05,8.009987912033094e-06
1.1133945400332396e-05,4.04043060132252e-05
4.4861622591437656e-05,1.01720359820901e-05
8.10000403902239e-05,1.8119127005183884e-05
4.5649902882975574e-05,4.870980006223468e-05
4.03851664671582e-05,1.112856943959887e-05
3.2898379467815334e-05,1.950708598511107e-05
2.556097025646663e-05,1.685546343593554e-05
7.1224214784411805e-06,0.00010225109530878079
1.3092772866583595e-05,3.0577279342088315e-05
3.8514728573929124e-05,9.095534230089992e-06
4.04043060132252e-05,1.113419871785387e-05
2.458537552693483e-05,1.8572624798320846e-05
1.6379323276947855e-05,3.3026111848511984e-05
1.9742057248675203e-05,1.97417176797909e-05
4.952522617679414e-05,9.564104080901211e-06
2.0045456532022298e-05,2.0045410266327274e-05
1.9753472029726408e-05,2.429806689141463e-05
3.061232152090724e-05,1.809469710532296e-05
9.417196435967862e-06,4.040685919674013e-05
2.3623389930651462e-05,1.748986673401412e-05
9.788661472226021e-06,0.0001107390638778256
1.0471392495921303e-05,5.595213210172068e-05
5.603719675090739e-05,1.0486633245567254e-05
4.044258510535921e-05,1.1142079707410874e-05
5.605846291320405e-05,1.0489645951892614e-05
2.4025378767414763e-05,1.3400529339737323e-05
9.862653192598146e-06,3.442175444741696e-05
1.943876616374777e-05,1.886329301894846e-05
3.242371415577418e-05,9.438559161001914e-06
1.9195309728737603e-05,1.9196025030219133e-05
2.3964849327774353e-05,2.7698024326447505e-05
2.2705107245748e-05,2.2704555172479577e-05
2.0499094512648214e-05,2.4650917954804996e-05
4.04043060132252e-05,1.1133945400332396e-05
0.00014871495944645947,2.8362659029986006e-05
4.817949502721076e-05,1.073854452714787e-05
1.8813710448115994e-05,4.1780247660289164e-05
1.7995475178786008e-05,2.3388975586051184e-05
1.1122940161343868e-05,4.036602692109119e-05
9.610393669686877e-06,3.323490925455692e-05
1.5843460102746834e-05,1.5843489490830492e-05
1.983635542463362e-05,1.482214814822291e-05
3.407652555707972e-05,2.4013284923218352e-05
1.0742015164834686e-05,4.819991054301556e-05
1.712926820006644e-05,2.4247979517530085e-05
7.799846010841233e-06,3.089303316658348e-05
2.0772358235464253e-05,2.077221352841283e-05
8.102264461851948e-06,0.0001241534678791391
5.259802546182923e-06,5.742576367752457e-05
4.0184049214096184e-05,9.379318738918391e-06
2.1774017069507363e-05,2.8924420656648345e-05
3.285731884076308e-05,4.258554577688576e-05
2.0361317217874737e-05,4.2008440443116354e-05
1.8217409648123052e-05,2.2840445114176483e-05
1.0488071838899087e-05,5.603719675090739e-05
1.9103973947154486e-05,2.144284758089985e-05
2.3321913672004092e-05,1.984035174864563e-05
6.37889322259029e-05,1.0292588546786699e-05
1.7069691111393678e-05,1.4468688723743454e-05
1.1257440690082005e-05,2.4247841134766578e-05
2.4661652500032836e-05,7.806512405819946e-06
2.3483894820670433e-05,2.1156742467227177e-05
2.553726635591064e-05,2.028873135417977e-05
1.9945943371598893e-05,2.6400454371638873e-05
1.7996931288095254e-05,1.799714353499516e-05
7.734844134689138e-06,3.661280302706187e-05
1.0211431911987774e-05,3.207450842063396e-05
8.675170042899487e-06,2.831263786536359e-05
1.841419547744625e-05,1.889263993916674e-05
2.261536570397696e-05,1.41122317121481e-05
2.4711180316034593e-05,1.7636857966482946e-05
1.9197852127802723e-05,2.4811765999359222e-05
2.7697904923164403e-05,2.122108251408231e-05
4.826115709042997e-05,1.0752427077895135e-05
9.036739493189293e-06,3.816879683429392e-05
1.105980963164828e-05,2.002818528265767e-05
1.1133945400332396e-05,4.04043060132252e-05
1.6986869150146937e-05,1.6986869150146937e-05
2.8296340601672807e-05,1.4611618558266607e-05
5.8894694698514774e-05,8.804381829528884e-06
4.03851664671582e-05,1.112856943959887e-05
1.2667713048411624e-05,2.453796523716271e-05
2.1449006038480165e-05,2.231648582942349e-05
2.763117395069029e-05,9.308645398488945e-06
2.6822599028353137e-05,2.0731059081499125e-05
1.7023190025753016e-05,2.6062733448329274e-05
1.0291613198209058e-05,3.64403897679389e-05
3.857050971240402e-05,1.3702746327027333e-05
1.6202158163415577e-05,1.9199567206374642e-05
1.1142079707410874e-05,4.044258510535921e-05
9.046957893529294e-05,3.590151526263545e-05
9.347353967825717e-06,3.1993930492390045e-05
6.626088586180801e-06,6.237030209125162e-05
5.595213210172068e-05,1.0471392495921303e-05
2.4569775581630313e-05,2.660392174282309e-05
0.00014271828910125833,5.917571929613831e-06
2.318118290780854e-05,2.633327267501716e-05
9.636824286512388e-05,8.008375424851417e-06
2.5458248279789224e-05,2.0828010794085922e-05
2.453763608841079e-05,1.6008706205014097e-05
2.7771403338842325e-05,1.5995802227278322e-05
9.026814867344362e-06,2.11150169988184e-05
4.03851664671582e-05,1.112856943959887e-05
3.537243890212473e-05,2.1307887043919096e-05
1.9584220502925144e-05,8.099056337446488e-06
1.1133945400332396e-05,4.04043060132252e-05
2.1180268867007855e-05,2.118045837787521e-05
2.765764139051625e-05,1.0686472821587014e-05
1.408121390558261e-05,1.814513813496397e-05
7.066181514619748e-06,3.694096636311456e-05
2.06058159680878e-05,3.4302825515057474e-05
3.146401265207336e-05,2.6862490338093257e-05
2.0867087015478602e-05,3.499762130713595e-05
1.930787569253004e-05,2.5872673805346085e-05
2.8963104041349887e-05,2.0149069568939703e-05
2.3184742129045148e-05,2.0701600510514064e-05
1.5857164797411693e-05,1.5927833704659445e-05
6.10597852194604e-05,6.873098492233819e-06
1.2026477251099264e-05,2.4435943913943317e-05
5.607972907550074e-05,1.0492658658217979e-05
9.95639762495152e-06,4.3578630896644e-05
1.0486633245567254e-05,5.603719675090739e-05
2.5519817595062898e-05,1.129591714021895e-05
3.6442730845742806e-05,7.678279759246678e-06
2.685107351690034e-05,6.61169187579781e-05
1.7022122597326372e-05,1.7692031147665223e-05
2.4548007075031265e-05,0.00011699121315063151
1.673990411453541e-05,2.3586204567873557e-05
2.0001547328260897e-05,2.0001343407366434e-05
1.8919654597721852e-05,2.008202395904821e-05
3.27083107109639e-05,1.012102112896006e-05
1.3324264254289273e-05,2.097413177665067e-05
2.35899725130008e-05,2.358929776161055e-05
3.146358047610834e-05,3.56276934675785e-05
1.3338582071466854e-05,1.755933038847208e-05
3.0058726283923914e-05,2.8730618023519454e-05
2.0990017119634046e-05,2.840455444847856e-05
2.0207380328437345e-05,0.00013047620601965135
2.391061166898222e-05,1.901954215390689e-05
6.0909669543878e-05,9.944204531421512e-06
2.554786027066496e-05,2.4605540310774474e-05
2.4883519213986854e-05,2.488273297299908e-05
5.601593058861071e-05,1.0483620539241893e-05
1.6311389511663802e-05,1.882084089024186e-05
4.03851664671582e-05,1.112856943959887e-05
2.7564772609256837e-05,2.4877157714830185e-05
3.9608475093858444e-05,1.9847105369617696e-05
1.3498970283036036e-05,6.703235479437812e-06
1.2666121858637417e-05,2.5966782681316004e-05
7.690743517965054e-05,1.5986370708696886e-05
2.0017970593778968e-05,0.00013047620601965135
3.404648205735197e-05,2.623431799712237e-05
8.449583074397757e-05,9.730175985760134e-06
2.239680763263348e-05,1.2190128714003614e-05
1.112856943959887e-05,4.03851664671582e-05
1.193425510825595e-05,2.9320864075091762e-05
1.9002793105825916e-05,3.475889951513814e-05
1.701075917996679e-05,7.804937847650997e-06
1.9091905654033268e-05,2.9129173704501292e-05
4.04043060132252e-05,1.113419871785387e-05
3.063105948388112e-05,6.8872850818558934e-06
3.510096926791036e-05,8.515195148066801e-06
1.4558779972897394e-05,2.071829482634869e-05
2.5181089278794117e-05,2.1494282002690572e-05
1.0745485802521503e-05,4.822032605882037e-05
2.651376377010357e-05,2.6516853322075156e-05
4.042344555929221e-05,1.1139827996108874e-05
4.04043060132252e-05,1.113419871785387e-05
1.8619013685596638e-05,2.7909786825154344e-05
9.316440637743282e-06,4.777701363685582e-05
2.1564249880628778e-05,1.238943516435266e-05
7.578153611731565e-06,2.9588960230644254e-05
7.173336369234051e-05,9.32275371497134e-06
2.1887957195358073e-05,2.4340683714506524e-05
1.9038749034583534e-05,1.903936036637036e-05
1.968758972867055e-05,1.776065239930997e-05
2.984493981283949e-05,3.455949955865212e-05
1.7418195411477352e-05,1.9933254180594606e-05
2.9605585729503516e-05,1.2978685575374594e-05
1.1122940161343868e-05,4.036602692109119e-05
4.815907951140595e-05,1.073201156209033e-05
2.4619641579551577e-05,2.4618818480815577e-05
1.476553404397963e-05,7.15524675927004e-05
2.556097025646663e-05,1.68391704451087e-05
9.684767301762509e-05,9.406575865083352e-06
0.00020082908734674537,3.26273049358983e-05
4.720358326289904e-06,2.555679945609251e-05
2.3601806828060664e-05,2.3601883864742114e-05
2.9365026290972896e-05,3.065442451309468e-05
1.707690276744979e-05,2.738824093938185e-05
2.080067076769663e-05,1.2919429816359827e-05
6.374518469203546e-05,1.0285236020086288e-05
2.5878114246257876e-05,8.04712964985184e-06
2.4515009894924166e-05,1.976612579391123e-05
2.7654765054633767e-05,2.5325706194603123e-05
3.254138022156097e-05,9.409043885644443e-06
2.7925389385386257e-05,6.504127202118427e-06
7.169454357523077e-05,1.016557562739031e-05
2.877255104542534e-05,3.7730895737383503e-05
3.566560224687069e-05,3.283473493516673e-05
7.28444555032919e-06,3.343351890216811e-05
3.680655102297472e-05,3.680954290947139e-05
4.03851664671582e-05,1.112856943959887e-05
6.381080599283665e-05,1.029648538593792e-05
2.708556108213889e-05,2.4624587296280615e-05
3.504562553187814e-05,2.0464714027993357e-05
7.827224437227434e-06,2.958396068837867e-05
