,3gram_cooccurence,3gram_distinct,3gram_nostpwrd_cooccurence,3gram_nostpwrd_distinct
170,11.0,22.0,3.0,2.0
171,4.0,155.0,4.0,43.0
172,6.0,104.0,2.0,39.0
173,5.0,22.0,3.0,0.0
174,9.0,111.0,2.0,19.0
175,11.0,76.0,5.0,17.0
176,4.0,20.0,4.0,8.0
177,0.0,44.0,0.0,13.0
178,5.0,44.0,7.0,11.0
179,14.0,25.0,4.0,0.0
180,4.0,51.0,5.0,5.0
181,7.0,22.0,6.0,4.0
182,15.0,39.0,7.0,7.0
183,6.0,7.0,0.0,1.0
184,0.0,47.0,0.0,11.0
185,7.0,312.0,4.0,77.0
186,0.0,57.0,4.0,7.0
187,1.0,25.0,1.0,7.0
188,16.0,42.0,10.0,12.0
189,8.0,26.0,3.0,6.0
190,10.0,22.0,8.0,8.0
191,2.0,11.0,1.0,1.0
192,8.0,10.0,2.0,0.0
193,6.0,17.0,5.0,0.0
194,4.0,0.0,2.0,0.0
195,0.0,14.0,2.0,0.0
196,7.0,32.0,2.0,1.0
197,4.0,77.0,4.0,19.0
198,5.0,3.0,1.0,0.0
199,15.0,101.0,6.0,23.0
200,7.0,41.0,5.0,14.0
201,25.0,110.0,13.0,20.0
202,8.0,21.0,6.0,7.0
203,6.0,139.0,7.0,37.0
204,2.0,4.0,0.0,0.0
205,8.0,89.0,8.0,44.0
206,0.0,13.0,0.0,3.0
207,2.0,10.0,1.0,0.0
208,6.0,24.0,6.0,5.0
209,5.0,160.0,5.0,46.0
210,8.0,13.0,3.0,0.0
211,0.0,31.0,0.0,8.0
212,0.0,51.0,0.0,15.0
213,11.0,21.0,7.0,7.0
214,6.0,3.0,4.0,0.0
215,0.0,44.0,1.0,6.0
216,8.0,33.0,3.0,10.0
217,9.0,126.0,7.0,9.0
218,3.0,12.0,1.0,8.0
219,5.0,48.0,3.0,4.0
220,4.0,19.0,5.0,9.0
221,12.0,89.0,6.0,34.0
222,2.0,51.0,0.0,24.0
223,8.0,89.0,5.0,14.0
224,1.0,18.0,1.0,2.0
225,23.0,72.0,11.0,12.0
226,5.0,17.0,5.0,3.0
227,3.0,29.0,1.0,15.0
228,11.0,8.0,3.0,0.0
229,5.0,9.0,4.0,0.0
230,3.0,4.0,1.0,0.0
231,11.0,43.0,7.0,0.0
232,1.0,7.0,1.0,3.0
233,10.0,12.0,4.0,0.0
234,12.0,60.0,4.0,10.0
235,10.0,75.0,8.0,19.0
236,16.0,29.0,7.0,2.0
237,0.0,28.0,0.0,4.0
238,1.0,94.0,1.0,6.0
239,6.0,16.0,2.0,4.0
240,0.0,34.0,0.0,11.0
241,5.0,49.0,1.0,20.0
242,6.0,17.0,4.0,4.0
243,3.0,0.0,0.0,0.0
244,4.0,14.0,4.0,3.0
245,7.0,159.0,5.0,81.0
246,4.0,9.0,4.0,1.0
247,2.0,82.0,2.0,29.0
248,3.0,143.0,1.0,50.0
249,29.0,370.0,19.0,103.0
250,1.0,20.0,0.0,2.0
251,10.0,87.0,10.0,34.0
252,11.0,92.0,5.0,22.0
253,4.0,21.0,0.0,5.0
254,2.0,8.0,0.0,4.0
255,9.0,9.0,4.0,0.0
256,8.0,45.0,8.0,23.0
257,0.0,27.0,0.0,4.0
258,9.0,22.0,5.0,4.0
259,0.0,64.0,4.0,3.0
260,0.0,20.0,0.0,15.0
261,6.0,6.0,1.0,0.0
262,9.0,36.0,5.0,9.0
263,21.0,92.0,15.0,44.0
264,16.0,39.0,11.0,0.0
265,5.0,4.0,2.0,0.0
266,12.0,22.0,4.0,4.0
267,17.0,42.0,7.0,2.0
268,7.0,13.0,1.0,3.0
269,2.0,11.0,3.0,0.0
270,24.0,74.0,14.0,10.0
271,3.0,40.0,6.0,4.0
272,5.0,6.0,1.0,0.0
273,0.0,35.0,1.0,8.0
274,14.0,212.0,5.0,75.0
275,2.0,6.0,2.0,0.0
276,11.0,101.0,8.0,32.0
277,5.0,25.0,3.0,10.0
278,5.0,18.0,0.0,1.0
279,5.0,4.0,2.0,0.0
280,1.0,3.0,0.0,0.0
281,10.0,34.0,3.0,0.0
282,0.0,35.0,0.0,3.0
283,1.0,87.0,2.0,23.0
284,5.0,14.0,1.0,0.0
285,9.0,41.0,4.0,9.0
286,24.0,175.0,11.0,46.0
287,8.0,52.0,8.0,10.0
288,13.0,52.0,6.0,13.0
289,9.0,14.0,4.0,0.0
290,0.0,3.0,1.0,0.0
291,6.0,16.0,3.0,4.0
292,2.0,7.0,1.0,1.0
293,12.0,28.0,10.0,4.0
294,5.0,8.0,3.0,2.0
295,4.0,44.0,1.0,0.0
296,7.0,11.0,5.0,0.0
297,0.0,39.0,0.0,12.0
298,0.0,60.0,1.0,20.0
299,7.0,30.0,5.0,4.0
300,9.0,76.0,5.0,9.0
301,13.0,78.0,4.0,5.0
302,2.0,9.0,2.0,1.0
303,0.0,98.0,0.0,21.0
304,12.0,156.0,8.0,64.0
305,5.0,138.0,6.0,82.0
306,8.0,40.0,4.0,7.0
307,9.0,242.0,4.0,68.0
308,16.0,114.0,4.0,22.0
309,7.0,16.0,3.0,0.0
310,11.0,36.0,5.0,9.0
311,4.0,20.0,1.0,1.0
312,2.0,7.0,3.0,2.0
313,4.0,65.0,0.0,10.0
314,2.0,39.0,3.0,4.0
315,7.0,3.0,5.0,1.0
316,10.0,55.0,6.0,26.0
317,1.0,58.0,0.0,10.0
318,9.0,10.0,3.0,2.0
319,7.0,34.0,3.0,5.0
320,5.0,47.0,2.0,2.0
321,4.0,89.0,4.0,13.0
322,7.0,36.0,5.0,2.0
323,4.0,5.0,3.0,0.0
324,9.0,146.0,9.0,66.0
325,13.0,20.0,3.0,0.0
326,3.0,23.0,1.0,1.0
327,0.0,3.0,0.0,0.0
328,10.0,12.0,4.0,0.0
329,0.0,5.0,0.0,0.0
330,5.0,4.0,4.0,0.0
331,0.0,68.0,1.0,17.0
332,4.0,38.0,4.0,3.0
333,7.0,21.0,5.0,3.0
334,1.0,13.0,2.0,0.0
335,0.0,0.0,1.0,0.0
336,3.0,164.0,1.0,52.0
337,0.0,55.0,1.0,10.0
338,6.0,34.0,0.0,15.0
339,10.0,36.0,11.0,7.0
340,6.0,18.0,1.0,0.0
341,7.0,8.0,2.0,0.0
342,1.0,17.0,1.0,0.0
343,2.0,17.0,1.0,4.0
344,14.0,45.0,8.0,9.0
345,8.0,38.0,5.0,3.0
346,14.0,264.0,7.0,74.0
347,13.0,52.0,5.0,8.0
348,39.0,122.0,13.0,14.0
349,4.0,27.0,1.0,3.0
350,1.0,12.0,1.0,2.0
351,1.0,95.0,0.0,10.0
352,10.0,119.0,8.0,38.0
353,6.0,199.0,1.0,59.0
354,3.0,24.0,1.0,4.0
355,5.0,21.0,1.0,0.0
356,4.0,11.0,3.0,2.0
357,8.0,8.0,2.0,1.0
358,10.0,6.0,3.0,0.0
359,5.0,28.0,1.0,5.0
360,6.0,82.0,4.0,26.0
361,1.0,41.0,1.0,11.0
362,1.0,0.0,0.0,0.0
363,0.0,10.0,0.0,2.0
364,13.0,27.0,5.0,4.0
365,7.0,37.0,3.0,7.0
366,1.0,86.0,1.0,21.0
367,6.0,118.0,4.0,41.0
368,8.0,82.0,1.0,15.0
369,25.0,121.0,13.0,25.0
370,8.0,62.0,4.0,6.0
371,11.0,22.0,6.0,1.0
372,10.0,61.0,9.0,7.0
373,3.0,6.0,0.0,0.0
374,9.0,24.0,7.0,11.0
375,4.0,27.0,1.0,6.0
376,2.0,36.0,2.0,3.0
377,0.0,167.0,0.0,36.0
378,7.0,40.0,6.0,2.0
379,7.0,69.0,4.0,20.0
380,8.0,136.0,7.0,22.0
381,5.0,4.0,2.0,0.0
382,0.0,4.0,0.0,0.0
383,7.0,15.0,4.0,0.0
384,7.0,24.0,7.0,5.0
385,6.0,119.0,4.0,42.0
386,5.0,66.0,1.0,13.0
387,5.0,82.0,1.0,18.0
388,0.0,51.0,0.0,26.0
389,6.0,12.0,1.0,2.0
390,13.0,185.0,9.0,47.0
391,7.0,16.0,1.0,2.0
392,10.0,40.0,9.0,11.0
393,15.0,258.0,7.0,40.0
394,0.0,42.0,0.0,8.0
395,0.0,50.0,0.0,10.0
396,7.0,17.0,0.0,1.0
397,0.0,29.0,0.0,4.0
398,7.0,37.0,5.0,1.0
399,1.0,24.0,0.0,11.0
400,1.0,127.0,1.0,44.0
401,2.0,45.0,3.0,16.0
402,23.0,90.0,11.0,12.0
403,0.0,83.0,0.0,27.0
404,1.0,58.0,2.0,7.0
405,7.0,21.0,3.0,2.0
406,4.0,6.0,5.0,0.0
407,23.0,90.0,13.0,20.0
408,0.0,20.0,0.0,1.0
409,2.0,9.0,1.0,0.0
410,5.0,140.0,6.0,8.0
411,4.0,26.0,3.0,5.0
412,5.0,59.0,1.0,0.0
413,16.0,42.0,10.0,9.0
414,2.0,12.0,3.0,0.0
415,4.0,20.0,2.0,5.0
416,4.0,7.0,2.0,0.0
417,6.0,48.0,0.0,3.0
418,0.0,25.0,0.0,12.0
419,10.0,23.0,6.0,1.0
420,2.0,9.0,5.0,1.0
421,10.0,29.0,1.0,6.0
422,3.0,36.0,1.0,3.0
423,4.0,35.0,0.0,7.0
424,0.0,49.0,0.0,8.0
425,2.0,17.0,2.0,6.0
426,4.0,113.0,4.0,29.0
427,3.0,23.0,1.0,2.0
428,2.0,104.0,2.0,28.0
429,0.0,114.0,0.0,42.0
430,24.0,175.0,11.0,46.0
431,9.0,23.0,3.0,0.0
432,4.0,43.0,4.0,13.0
433,0.0,12.0,2.0,0.0
434,3.0,25.0,1.0,6.0
435,6.0,30.0,4.0,3.0
436,4.0,133.0,4.0,17.0
437,0.0,41.0,1.0,9.0
438,9.0,10.0,5.0,0.0
439,1.0,7.0,0.0,2.0
440,14.0,30.0,10.0,9.0
441,5.0,8.0,1.0,0.0
442,4.0,42.0,0.0,4.0
443,5.0,88.0,4.0,29.0
444,4.0,69.0,4.0,14.0
445,8.0,20.0,5.0,1.0
446,12.0,259.0,11.0,39.0
447,4.0,47.0,5.0,10.0
448,4.0,36.0,1.0,2.0
449,0.0,6.0,2.0,4.0
450,8.0,15.0,5.0,3.0
451,16.0,148.0,12.0,47.0
452,15.0,38.0,6.0,1.0
453,3.0,17.0,6.0,0.0
454,4.0,4.0,4.0,0.0
455,7.0,12.0,5.0,0.0
456,4.0,17.0,6.0,0.0
457,0.0,15.0,0.0,8.0
458,10.0,38.0,5.0,1.0
459,6.0,83.0,1.0,26.0
460,22.0,118.0,12.0,33.0
461,0.0,13.0,2.0,0.0
462,1.0,15.0,4.0,2.0
463,6.0,12.0,4.0,4.0
464,0.0,31.0,1.0,10.0
465,2.0,35.0,0.0,7.0
466,9.0,90.0,9.0,39.0
467,5.0,48.0,6.0,2.0
468,3.0,108.0,1.0,45.0
469,0.0,3.0,1.0,0.0
470,3.0,56.0,3.0,24.0
471,23.0,72.0,11.0,12.0
472,3.0,2.0,5.0,1.0
473,1.0,10.0,0.0,2.0
474,0.0,61.0,1.0,11.0
475,6.0,6.0,2.0,0.0
476,6.0,2.0,0.0,0.0
477,6.0,22.0,0.0,3.0
478,6.0,15.0,1.0,0.0
479,0.0,19.0,0.0,4.0
480,5.0,15.0,5.0,1.0
481,8.0,6.0,2.0,0.0
482,7.0,91.0,5.0,19.0
483,7.0,35.0,6.0,1.0
484,3.0,96.0,1.0,39.0
485,4.0,17.0,4.0,4.0
486,2.0,33.0,5.0,16.0
487,7.0,21.0,3.0,2.0
488,2.0,7.0,3.0,2.0
489,1.0,4.0,1.0,0.0
490,7.0,52.0,4.0,3.0
491,9.0,30.0,6.0,5.0
492,6.0,6.0,6.0,0.0
493,12.0,27.0,4.0,6.0
494,12.0,16.0,6.0,2.0
495,1.0,20.0,4.0,0.0
496,5.0,53.0,3.0,6.0
497,4.0,33.0,4.0,6.0
498,0.0,7.0,0.0,2.0
499,3.0,33.0,2.0,0.0
500,0.0,65.0,0.0,14.0
501,1.0,20.0,0.0,5.0
502,22.0,106.0,13.0,31.0
503,4.0,79.0,4.0,31.0
504,1.0,15.0,0.0,4.0
505,2.0,3.0,2.0,0.0
506,1.0,30.0,3.0,2.0
507,7.0,41.0,5.0,6.0
508,6.0,12.0,5.0,4.0
509,8.0,33.0,4.0,0.0
510,1.0,12.0,1.0,2.0
511,9.0,60.0,1.0,4.0
512,9.0,30.0,5.0,10.0
513,6.0,140.0,4.0,11.0
514,4.0,19.0,6.0,3.0
515,9.0,36.0,1.0,6.0
516,4.0,62.0,4.0,22.0
517,7.0,26.0,1.0,1.0
518,13.0,82.0,3.0,7.0
519,5.0,11.0,0.0,2.0
520,31.0,170.0,13.0,20.0
521,2.0,17.0,0.0,2.0
522,0.0,19.0,0.0,1.0
523,1.0,41.0,0.0,11.0
524,11.0,27.0,8.0,7.0
525,8.0,53.0,1.0,7.0
526,5.0,10.0,4.0,0.0
527,1.0,65.0,0.0,9.0
528,11.0,16.0,7.0,4.0
529,14.0,377.0,6.0,86.0
530,6.0,86.0,8.0,9.0
531,3.0,47.0,0.0,24.0
532,5.0,15.0,1.0,3.0
533,6.0,2.0,6.0,1.0
534,3.0,26.0,3.0,11.0
535,7.0,29.0,1.0,2.0
536,7.0,9.0,3.0,0.0
537,0.0,4.0,0.0,1.0
538,5.0,13.0,4.0,0.0
539,9.0,22.0,5.0,4.0
540,8.0,72.0,7.0,20.0
541,11.0,18.0,7.0,2.0
542,4.0,24.0,4.0,2.0
543,7.0,27.0,2.0,7.0
544,3.0,8.0,4.0,0.0
545,4.0,35.0,3.0,0.0
546,1.0,5.0,2.0,0.0
547,9.0,5.0,5.0,0.0
548,11.0,167.0,12.0,18.0
549,12.0,34.0,9.0,14.0
550,2.0,263.0,0.0,114.0
551,8.0,34.0,4.0,0.0
552,25.0,110.0,13.0,20.0
553,9.0,46.0,5.0,16.0
554,16.0,64.0,5.0,17.0
555,0.0,22.0,0.0,3.0
556,13.0,43.0,4.0,4.0
557,8.0,19.0,6.0,1.0
558,3.0,17.0,2.0,2.0
559,4.0,11.0,1.0,1.0
560,15.0,269.0,14.0,112.0
561,5.0,78.0,2.0,5.0
562,7.0,28.0,2.0,0.0
563,2.0,67.0,2.0,10.0
564,1.0,22.0,1.0,6.0
565,12.0,23.0,6.0,5.0
566,8.0,47.0,7.0,17.0
567,0.0,32.0,0.0,8.0
568,7.0,8.0,6.0,0.0
569,0.0,106.0,0.0,36.0
570,2.0,36.0,2.0,7.0
571,1.0,25.0,0.0,7.0
572,7.0,39.0,8.0,8.0
573,9.0,9.0,5.0,1.0
574,9.0,12.0,3.0,0.0
575,8.0,182.0,8.0,70.0
576,5.0,42.0,1.0,9.0
577,0.0,23.0,1.0,2.0
578,0.0,20.0,1.0,1.0
579,4.0,61.0,2.0,18.0
580,7.0,61.0,6.0,11.0
581,23.0,112.0,13.0,32.0
582,6.0,15.0,4.0,4.0
583,7.0,8.0,1.0,0.0
584,6.0,34.0,4.0,9.0
585,19.0,56.0,7.0,2.0
586,1.0,14.0,1.0,1.0
587,11.0,16.0,10.0,9.0
588,5.0,28.0,3.0,7.0
589,5.0,3.0,1.0,0.0
590,6.0,18.0,5.0,2.0
591,3.0,8.0,2.0,2.0
592,2.0,83.0,6.0,30.0
593,3.0,1.0,3.0,0.0
594,0.0,11.0,1.0,0.0
595,4.0,30.0,4.0,7.0
596,6.0,57.0,2.0,19.0
597,6.0,20.0,2.0,1.0
598,14.0,43.0,8.0,7.0
599,16.0,51.0,6.0,4.0
600,39.0,122.0,13.0,14.0
601,0.0,20.0,1.0,0.0
602,3.0,19.0,3.0,2.0
603,2.0,0.0,1.0,0.0
604,7.0,36.0,1.0,7.0
605,1.0,12.0,0.0,3.0
606,12.0,145.0,12.0,61.0
607,4.0,27.0,7.0,5.0
608,4.0,15.0,2.0,0.0
609,13.0,90.0,1.0,22.0
610,9.0,24.0,9.0,3.0
611,0.0,14.0,0.0,3.0
612,13.0,91.0,6.0,19.0
613,3.0,57.0,1.0,16.0
614,1.0,46.0,4.0,9.0
615,8.0,11.0,4.0,1.0
616,42.0,172.0,14.0,12.0
617,9.0,84.0,6.0,17.0
618,8.0,106.0,7.0,21.0
619,11.0,34.0,3.0,1.0
620,6.0,67.0,4.0,16.0
621,5.0,16.0,1.0,0.0
622,0.0,4.0,1.0,0.0
623,1.0,26.0,1.0,4.0
624,0.0,42.0,0.0,15.0
625,5.0,35.0,5.0,11.0
626,9.0,14.0,5.0,4.0
627,4.0,11.0,5.0,0.0
628,6.0,40.0,0.0,20.0
629,1.0,15.0,1.0,1.0
630,0.0,17.0,0.0,11.0
631,8.0,4.0,4.0,0.0
632,1.0,0.0,0.0,0.0
633,6.0,28.0,4.0,2.0
634,10.0,379.0,6.0,82.0
635,10.0,95.0,9.0,14.0
636,2.0,0.0,2.0,0.0
637,13.0,44.0,4.0,15.0
638,6.0,31.0,7.0,8.0
639,1.0,1.0,1.0,0.0
640,14.0,99.0,11.0,42.0
641,23.0,106.0,13.0,26.0
642,4.0,26.0,4.0,9.0
643,1.0,25.0,5.0,2.0
644,0.0,33.0,0.0,4.0
645,9.0,9.0,3.0,0.0
646,11.0,22.0,3.0,2.0
647,14.0,113.0,4.0,12.0
648,5.0,28.0,7.0,5.0
649,5.0,19.0,1.0,0.0
650,11.0,23.0,7.0,4.0
651,41.0,346.0,17.0,58.0
652,21.0,72.0,9.0,6.0
653,0.0,39.0,0.0,7.0
654,4.0,4.0,4.0,2.0
655,0.0,17.0,2.0,3.0
656,42.0,429.0,16.0,77.0
657,6.0,10.0,5.0,2.0
658,8.0,11.0,3.0,0.0
659,2.0,117.0,4.0,10.0
660,5.0,9.0,1.0,4.0
661,12.0,71.0,6.0,10.0
662,7.0,11.0,5.0,1.0
663,0.0,39.0,1.0,10.0
664,6.0,103.0,7.0,22.0
665,0.0,6.0,0.0,2.0
666,3.0,24.0,1.0,12.0
667,9.0,52.0,6.0,5.0
668,4.0,13.0,3.0,0.0
669,6.0,10.0,4.0,0.0
670,0.0,7.0,1.0,0.0
671,4.0,6.0,4.0,0.0
672,10.0,115.0,8.0,37.0
673,31.0,178.0,11.0,16.0
674,8.0,24.0,4.0,0.0
675,15.0,30.0,7.0,2.0
676,7.0,16.0,3.0,2.0
677,4.0,77.0,1.0,8.0
678,7.0,4.0,3.0,0.0
679,0.0,10.0,1.0,3.0
680,4.0,514.0,0.0,160.0
681,2.0,8.0,2.0,0.0
682,11.0,69.0,6.0,7.0
683,7.0,31.0,3.0,9.0
684,21.0,86.0,11.0,16.0
685,6.0,30.0,0.0,5.0
686,31.0,152.0,11.0,12.0
687,14.0,18.0,7.0,0.0
688,2.0,37.0,1.0,2.0
689,0.0,23.0,0.0,5.0
690,0.0,53.0,0.0,11.0
691,11.0,85.0,6.0,22.0
692,20.0,110.0,10.0,30.0
693,13.0,32.0,4.0,0.0
694,1.0,2.0,1.0,0.0
695,23.0,72.0,11.0,12.0
696,11.0,49.0,5.0,9.0
697,0.0,45.0,0.0,5.0
698,0.0,45.0,0.0,14.0
699,6.0,38.0,1.0,7.0
700,11.0,10.0,5.0,0.0
701,0.0,78.0,0.0,28.0
702,5.0,17.0,3.0,1.0
703,1.0,15.0,0.0,0.0
704,5.0,18.0,3.0,0.0
705,2.0,91.0,0.0,30.0
706,0.0,2.0,0.0,0.0
707,0.0,76.0,0.0,13.0
708,2.0,27.0,1.0,4.0
709,5.0,33.0,3.0,10.0
710,11.0,32.0,4.0,0.0
711,20.0,97.0,7.0,11.0
712,3.0,20.0,1.0,4.0
713,10.0,202.0,8.0,58.0
714,4.0,53.0,5.0,2.0
715,8.0,89.0,6.0,36.0
716,6.0,12.0,0.0,0.0
717,9.0,19.0,3.0,7.0
718,7.0,5.0,2.0,0.0
719,49.0,306.0,17.0,34.0
720,6.0,17.0,4.0,2.0
721,1.0,40.0,1.0,2.0
722,17.0,179.0,8.0,38.0
723,7.0,8.0,5.0,4.0
724,5.0,6.0,3.0,0.0
725,4.0,60.0,4.0,15.0
726,1.0,4.0,0.0,0.0
727,3.0,40.0,7.0,11.0
728,6.0,12.0,3.0,2.0
729,0.0,14.0,0.0,0.0
730,4.0,16.0,0.0,5.0
731,6.0,28.0,2.0,2.0
732,8.0,75.0,9.0,18.0
733,4.0,139.0,0.0,23.0
734,10.0,12.0,6.0,2.0
735,15.0,199.0,7.0,39.0
736,10.0,50.0,9.0,6.0
737,0.0,11.0,0.0,2.0
738,7.0,33.0,5.0,7.0
739,9.0,18.0,5.0,6.0
740,41.0,346.0,17.0,58.0
741,25.0,90.0,19.0,19.0
742,6.0,13.0,5.0,1.0
743,11.0,12.0,5.0,0.0
744,0.0,21.0,0.0,6.0
745,8.0,132.0,6.0,45.0
746,11.0,62.0,7.0,18.0
747,6.0,64.0,4.0,15.0
748,17.0,39.0,3.0,0.0
749,2.0,25.0,1.0,4.0
750,8.0,9.0,5.0,0.0
751,37.0,98.0,11.0,4.0
752,0.0,44.0,0.0,12.0
753,8.0,78.0,5.0,7.0
754,0.0,12.0,0.0,6.0
755,1.0,66.0,0.0,17.0
756,9.0,14.0,4.0,0.0
757,29.0,184.0,19.0,74.0
758,0.0,20.0,0.0,8.0
759,7.0,33.0,3.0,5.0
760,1.0,10.0,2.0,0.0
761,30.0,140.0,13.0,20.0
762,13.0,37.0,5.0,3.0
763,11.0,117.0,7.0,41.0
764,3.0,7.0,3.0,7.0
765,4.0,4.0,4.0,0.0
766,1.0,14.0,2.0,0.0
767,5.0,22.0,3.0,7.0
768,6.0,30.0,1.0,3.0
769,7.0,24.0,1.0,8.0
770,1.0,3.0,1.0,0.0
771,4.0,8.0,5.0,0.0
